contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar Capelle,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,CDA,GROENLINKS,JEZUS LEEFT
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Het Kinderlab,0502::SB16,2907 WD,1994,842,3,5,0,1,0,777,75,0,0,2,0,1,852,387,70,55,46,95,24,45,53,57,10
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Wooncomplex Spinoza,0502::SB17,2907 KE,2022,637,1,3,0,0,0,582,59,0,0,0,0,0,641,267,45,67,37,77,4,30,33,64,13
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Ontmoetingsruimte De Vogeltuinen,0502::SB18,2908 CC,1573,1102,4,3,0,1,0,1003,107,0,0,1,0,0,1110,484,87,104,87,107,22,56,56,88,11
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Het Subudhuis,0502::SB19,2908 BG,1411,293,2,0,0,0,0,272,23,0,0,0,0,0,295,136,27,13,31,23,8,23,16,16,0
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,"Stembureau Serviceflat Bermensteyn,",0502::SB20,2907 GH,1379,810,2,0,0,1,0,748,66,1,0,2,0,0,814,351,77,59,73,57,14,59,52,61,7
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Buurtcentrum (hoofdingang),0502::SB21,2907 BD,1661,713,3,1,0,0,0,644,73,0,0,0,0,0,717,297,84,59,45,70,13,37,45,55,8
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Buurtcentrum (hoofdingang),0502::SB22,2907 BD,1475,877,2,3,0,1,0,818,65,0,0,1,0,0,883,393,98,82,70,66,22,39,37,60,10
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Ref.basisschool Rehoboth,0502::SB23,2907 TK,1771,501,3,1,0,1,0,445,61,0,0,1,0,0,506,199,32,41,31,40,54,45,24,30,5
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Kerkgebouw  De Voorhof,0502::SB24,2907 LA,1210,517,0,5,1,0,0,463,58,0,1,0,0,0,521,91,53,14,87,17,137,57,35,21,5
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Schenkelkerk,0502::SB25,2906 LA,1610,777,4,6,0,0,0,682,105,0,0,0,0,0,787,168,68,34,99,37,190,65,77,33,6
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Serviceflat Schinckelhove,0502::SB26,2906 AA,1468,673,4,3,0,0,0,617,63,0,0,0,0,0,680,200,51,49,43,45,155,50,44,30,6
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Buurthuis de Wel,0502::SB27,2906 VK,1214,1008,2,4,4,0,0,927,83,0,4,0,0,0,1010,310,105,99,98,102,40,87,74,79,14
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Verpleeghuis Rijckehove,0502::SB28,2901 HM,1833,1466,13,1,0,1,0,1309,172,0,0,1,0,0,1481,550,179,100,249,79,48,86,103,66,6
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Wijkcentrum De Harp,0502::SB29,2901 CN,1934,700,2,0,0,0,0,618,84,0,0,0,0,0,702,214,66,43,124,39,64,62,50,33,5
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau O.B.S. West,0502::SB30,2901 GA,1687,1149,4,2,0,0,0,1012,143,0,0,0,0,0,1155,368,173,84,259,49,28,47,63,74,4
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau Moriakerk,0502::SB31,2901 AJ,1844,875,6,1,0,1,0,755,126,0,1,0,0,0,881,251,54,50,111,50,188,64,70,29,8
,Capelle aan den IJssel,GR2018_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2018,0502,Capelle aan den IJssel,2018-03-21,Stembureau MFC Fascinatio,0502::SB32,2909 PK,2051,926,11,7,0,0,0,795,149,0,0,0,0,0,944,177,299,83,147,37,16,37,59,66,5
