contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ONS,Partij van de Arbeid (P.v.d.A.),VVD,Trots op Nederland (TROTS),CDA,Lokaal Onafhankelijk Bernisse (LOB),Democraten 66 (D66),ChristenUnie-SGP,Forza! Nissewaard,PVV (Partij voor de Vrijheid),Nissewaard Lokaal
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Vogelenzang,1930::SB12,3208 AK,1224,563,3,5,0,0,0,520,51,0,0,0,0,0,571,162,126,27,4,20,5,14,19,11,109,66
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Tandem,1930::SB13,3208 PA,1825,678,2,3,0,0,0,627,56,0,0,0,0,0,683,224,95,35,3,32,11,23,20,21,108,106
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Wijkcentrum De Akkers,1930::SB14,3206 TB,2019,938,7,5,0,2,0,877,71,0,2,0,0,0,948,249,165,42,6,48,13,35,35,30,177,138
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Vogelenzang,1930::SB15,3206 RD,2027,709,1,1,0,1,0,640,70,0,1,0,0,0,710,271,101,36,3,14,13,17,34,29,98,93
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Wijkcentrum de Kreek,1930::SB16,3206 HK,2730,1059,6,11,0,1,0,951,126,0,0,1,0,0,1077,364,145,49,9,39,15,30,59,29,180,140
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School Toermalijn/De Bron,1930::SB17,3204 GS,2423,923,10,3,0,0,0,840,96,0,0,0,0,0,936,295,162,42,7,28,17,22,26,17,185,122
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Dorpshuis Hekelingen,1930::SB19,3209 AT,1258,783,0,0,0,0,0,700,83,0,0,0,0,0,783,273,136,89,0,23,19,29,32,4,105,73
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Duif,1930::SB20,3205 TG,2147,1068,1,3,0,0,0,944,128,0,0,0,0,0,1072,353,167,113,0,44,8,44,46,17,138,138
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Veenvlinder,1930::SB21,3205 EB,1771,825,7,4,0,0,0,728,108,0,0,0,0,0,836,296,133,50,2,15,7,27,28,17,133,117
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Wegwijzer/De Kameleon,1930::SB22,3205 CK,1776,741,1,6,0,0,0,663,85,0,0,0,0,0,748,255,117,40,6,26,8,20,36,11,128,94
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Piramide,1930::SB24,3207 PE,1326,618,0,5,0,0,0,570,53,0,0,0,0,0,623,177,140,37,12,33,8,22,9,12,91,77
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Hoeksteen,1930::SB25,3207 AC,2266,1316,1,1,0,0,0,1180,138,0,0,0,0,0,1318,471,136,115,10,77,18,40,40,27,195,187
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Wijkcentrum Maaswijk,1930::SB26,3207 EJ,1785,831,5,0,0,0,0,721,115,0,0,0,0,0,836,314,105,53,6,27,12,34,26,20,107,127
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School Annie M.G. Schmidt,1930::SB27,3207 WB,1415,769,0,6,0,0,0,675,100,0,0,0,0,0,775,316,87,79,7,23,6,30,15,16,105,85
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Maasoever,1930::SB28,3207 HA,1356,824,9,1,0,1,0,737,98,0,0,1,0,0,835,338,102,79,5,19,6,29,13,8,120,105
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Maasoever,1930::SB29,3207 HS,2688,992,1,3,0,0,0,856,143,3,0,3,0,0,999,381,117,103,5,32,17,42,28,20,132,115
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Recreatieruimte Boezemvrienden,1930::SB30,3201 KM,948,507,1,1,0,0,0,470,39,0,0,0,0,0,509,175,61,53,7,52,18,24,16,7,52,42
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Jan Broekhuishal stadhuis,1930::SB31,3201 EL,1068,933,6,2,0,0,0,862,79,0,0,0,0,0,941,265,181,59,8,38,11,56,34,14,127,140
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Mobielstembureau,1930::SB32,,0,152,1,0,0,0,0,140,13,0,0,0,0,0,153,25,49,9,1,11,2,6,8,5,21,15
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Wijkcentrum Groenewoud,1930::SB38,3203 BM,1890,888,5,6,0,0,0,828,71,0,0,0,0,0,899,263,145,65,12,63,8,45,39,16,108,124
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Jongerencentrum Maaswijk,1930::SB46,3207 HX,1674,1035,8,2,0,0,0,911,134,0,0,0,0,0,1045,347,97,166,5,49,13,41,39,26,108,144
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Elementenhuis,1930::SB52,3201 LW,1709,957,0,4,0,0,0,874,89,2,0,2,0,0,963,406,148,87,4,35,8,35,22,18,93,101
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Voormalig gemeentehuis Abbenbroek,1930::SB63,3216 AG,1035,617,1,1,0,0,0,560,59,0,0,0,0,0,619,178,43,93,0,43,139,17,33,9,47,15
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School Markenburg,1930::SB64,3211 AV,1399,864,9,2,0,0,0,798,77,0,0,0,0,0,875,309,111,117,4,59,61,54,33,4,85,27
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Tweespan,1930::SB65,3218 XA,2081,1183,9,7,0,0,0,1086,113,0,0,0,0,0,1199,352,127,197,2,57,166,61,34,15,133,39
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau De Hoeksteen,1930::SB68,3212 LZ,438,229,3,0,0,0,0,202,30,0,0,0,0,0,232,55,18,37,0,23,18,15,19,0,34,10
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Bernissesteyn,1930::SB69,3214 DA,1073,798,1,2,0,0,0,739,62,0,0,0,0,0,801,181,61,66,1,203,99,24,58,6,60,39
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School de Vlasbloem,1930::SB70,3214 GA,1495,707,0,0,0,0,0,649,58,0,0,0,0,0,707,315,35,91,3,97,50,18,27,6,55,10
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Aanwas,1930::SB71,3214 XE,1754,1069,1,3,0,0,0,986,87,0,0,0,0,0,1073,286,69,103,3,240,156,15,86,12,71,28
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Zomertuinen/De Es,1930::SB72,3203 LH,1426,527,3,0,0,0,0,477,53,0,0,0,0,0,530,174,71,36,8,24,11,15,15,8,93,72
