contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),CDA,ChristenUnie,Gemeente Belangen,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Burgerbelangen,Democratische Kiezers Ede,65pluspartij,Evenwicht,GROENLINKS,Gereformeerde Beginsel Partij (GBP)
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Basisschool De Lettertuin,0228::SB11,,1723,1115,1,0,0,0,0,1024,92,0,0,0,0,0,1116,210,123,174,156,98,69,53,79,21,15,4,112,1
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Cultura,0228::SB12,,1751,1419,4,1,0,1,0,1324,103,0,0,3,0,0,1427,144,189,226,246,132,96,66,99,27,37,10,146,1
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau de Proosdijkerk (aan de rotonde),0228::SB13,,1689,751,3,6,0,0,0,699,61,0,0,0,0,0,760,69,69,154,131,46,26,55,61,47,19,5,65,4
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Buurtcentrum De Kolk,0228::SB14,,1613,917,3,3,0,1,0,833,91,0,0,1,0,0,924,92,89,116,203,83,54,50,80,23,17,8,100,2
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Speeltuin De Korenbloem,0228::SB15,,1829,825,2,0,0,0,0,730,98,0,0,1,0,0,828,100,99,114,147,96,47,32,83,22,11,3,67,4
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Verzorgingshuis Het Maanderzand,0228::SB16,,1492,898,5,1,0,0,0,825,79,0,0,0,0,0,904,63,135,148,126,97,86,38,42,26,10,5,121,1
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau De Gelderhorst,0228::SB17,,1485,863,5,2,0,0,0,805,65,0,0,0,0,0,870,42,120,142,116,141,70,45,59,14,25,4,85,0
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Kerkelijk Centrum Emmaüs,0228::SB18,,2925,1663,3,3,0,6,0,1523,152,0,0,6,0,0,1675,81,236,283,309,178,150,80,110,30,24,9,171,2
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Vilente De Pleinen,0228::SB20,,1782,887,16,3,0,0,0,795,111,0,0,0,0,0,906,58,61,136,114,63,79,112,89,57,22,6,89,1
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Kantoor Nationale Nederlanden,0228::SB21,,1845,719,1,2,0,0,0,679,41,0,2,0,0,0,720,53,74,157,108,59,51,53,67,13,12,5,60,7
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Ons Eigen Honk,0228::SB22,,1677,944,0,0,0,5,0,844,105,0,0,5,0,0,949,53,86,180,143,66,58,75,87,71,28,4,92,1
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau De Ark,0228::SB23,,1694,1146,4,4,0,0,0,1047,107,0,0,0,0,0,1154,50,152,286,125,92,106,71,77,18,15,9,139,6
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Wijkcentrum De Velder,0228::SB24,,1662,1026,2,2,0,1,0,983,48,0,0,1,0,0,1031,55,102,193,158,67,94,81,118,31,21,7,99,0
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau De Open Hof,0228::SB26,,1573,909,2,2,0,0,0,845,68,0,0,0,0,0,913,26,130,164,138,76,79,57,69,16,16,11,126,1
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Het Kernhuis,0228::SB29,,1970,878,3,6,0,0,0,826,61,0,0,0,0,0,887,67,60,189,110,48,57,89,71,84,10,3,89,1
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau de Bethelkerk,0228::SB30,,1325,1205,3,2,0,0,0,1111,108,0,0,9,0,0,1219,104,155,241,159,96,91,53,90,24,7,12,171,2
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Poortgebouw Enka,0228::SB31,,1318,653,0,0,0,0,0,579,74,0,0,0,0,0,653,32,58,157,65,74,90,24,38,15,3,0,97,0
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau de Koepelschool,0228::SB33,,1959,639,1,3,0,1,0,592,50,0,1,0,0,0,642,55,67,142,61,41,37,39,62,67,3,6,55,4
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau De Meerpaal,0228::SB34,,1819,1053,4,6,0,0,0,941,122,0,0,0,0,0,1063,33,109,138,169,78,86,67,91,147,13,3,118,1
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau de Koningin Beatrixschool,0228::SB35,,1806,928,1,10,0,3,0,851,91,0,0,3,0,0,942,55,110,148,179,55,74,55,88,42,26,2,93,1
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau ROC A12,0228::SB36,,1722,906,6,1,0,1,0,823,91,0,0,1,0,0,914,75,108,197,121,55,70,49,62,17,16,5,126,5
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Dependance Beatrixschool,0228::SB37,,1529,668,0,1,0,1,0,597,71,0,1,0,0,0,668,26,88,116,113,71,57,24,69,19,9,4,72,0
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Cultura Stadspoort,0228::SB38,,1656,1058,7,2,0,1,0,928,140,0,0,1,0,0,1068,76,104,168,160,91,98,63,79,57,20,2,137,3
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Ziekenhuis Gelderse Vallei,0228::SB39,,2,497,0,1,0,1,0,444,55,0,0,1,0,0,499,44,56,87,64,50,47,24,33,17,11,1,63,0
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau 't Kerkheem,0228::SB40,,1597,1504,5,2,0,2,0,1390,119,0,2,0,0,0,1509,79,251,230,196,182,159,76,43,29,13,3,240,3
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau De Ontmoeting,0228::SB41,,1812,1203,5,3,0,3,0,1099,109,0,3,0,0,0,1208,52,139,136,137,167,157,80,44,49,3,7,227,5
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau De Edelzanger,0228::SB42,,1730,1142,3,1,0,0,0,1051,96,1,0,1,0,0,1147,71,132,114,174,162,97,49,73,40,11,5,210,4
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Walraven,0228::SB43,,1538,876,4,0,0,0,0,799,81,0,0,0,0,0,880,78,159,114,121,104,70,32,44,27,9,2,116,0
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau De Brink,0228::SB45,,1803,1237,3,1,0,0,0,1110,129,0,2,0,0,0,1239,118,207,176,207,91,102,70,52,21,16,3,173,1
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau CNS-basisschool Juliana,0228::SB46,,1694,1185,7,3,0,1,4,1099,93,0,0,1,0,0,1196,82,214,168,182,92,80,48,96,26,11,10,176,0
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Tennishal Keltenwoud,0228::SB47,,1233,628,0,2,0,0,0,573,57,0,0,0,0,0,630,72,95,94,83,87,60,25,28,13,6,1,63,1
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau de School met de Bijbel,0228::SB49,,975,702,1,3,0,0,0,605,101,0,0,0,0,0,706,219,211,149,17,38,9,2,23,3,2,1,24,4
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau De Honskamp,0228::SB50,,1778,1206,1,5,0,0,0,1064,150,0,0,2,0,0,1214,320,324,132,65,134,32,12,41,23,18,40,46,19
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau School met de Bijbel De Bron,0228::SB51,,1660,1199,4,3,0,1,0,1063,144,0,0,1,0,0,1207,394,355,181,59,71,24,7,26,8,11,29,31,3
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Het Westhoffhuis,0228::SB52,,1973,1321,3,2,0,0,0,1203,123,0,0,0,0,0,1326,287,356,139,95,105,51,27,66,38,27,49,72,9
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Buurtcentrum De Schakel,0228::SB53,,1218,619,2,2,0,1,0,590,34,0,0,1,0,0,624,145,157,70,76,24,15,15,32,17,17,11,33,7
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Hotel-Bistro De Wormshoef,0228::SB55,,1340,1022,3,0,0,2,0,878,145,0,2,0,0,0,1023,410,246,106,33,75,21,7,36,10,13,23,28,14
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau de Nederwoudschool,0228::SB58,,1047,729,1,1,0,0,0,629,101,0,1,0,0,0,730,452,92,68,14,29,2,2,14,4,3,22,6,21
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Basisschool De Valk,0228::SB59,,1090,882,0,2,0,0,0,730,155,1,0,1,0,0,885,515,94,54,22,51,10,5,24,7,2,14,11,73
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Dorpshuis De Zicht,0228::SB60,,3176,2135,2,5,1,0,0,1798,345,0,0,1,0,0,2143,1088,284,308,111,121,24,10,32,16,12,31,20,78
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Wijkservicecentrum Metje,0228::SB70,,1119,683,2,1,0,1,0,600,87,0,0,1,0,0,687,301,58,25,127,49,8,9,29,1,11,0,20,45
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Dorpscentrum De Spil,0228::SB71,,1408,816,0,3,0,0,0,701,118,0,0,0,0,0,819,430,71,49,107,53,7,2,21,4,1,4,13,54
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Kulturhus Wekerom,0228::SB80,,1996,1282,2,6,0,0,0,1052,238,0,0,0,0,0,1290,771,77,86,64,60,20,13,23,12,22,3,29,102
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Dorpshuis De Aanloop,0228::SB90,,1770,1187,1,5,0,1,0,1069,125,0,0,1,0,0,1194,130,126,94,273,316,25,19,77,16,7,8,83,13
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau NS-station Ede-Wageningen,0228::SB98,,1,399,4,1,0,0,0,373,31,0,0,0,0,0,404,15,26,76,39,38,62,17,17,9,6,1,92,1
,Ede,GR2018_Ede,Gemeenteraad Ede 2018,0228,Ede,2018-03-21,Stembureau Hotel-Restaurant Buitenlust,0228::SB99,,69,59,0,0,0,0,0,45,14,0,0,0,0,0,59,21,1,1,2,13,5,2,3,0,2,2,7,0
