contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Senioren Partij Maastricht (SPM),CDA,Democraten 66 (D66),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),GROENLINKS,Partij Veilig Maastricht (PVM),VVD,Maastrichtse Volkspartij,Liberale Partij Maastricht,M:OED,50PLUS,SAB (Sociaal Actieve Burgerpartij),PVV (Partij voor de Vrijheid)
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau AZM Herstelzorg,0935::SB11,,1274,673,2,10,0,0,0,647,41,3,0,3,0,0,688,55,74,104,35,61,134,11,73,6,27,61,10,16,6
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Wijkcombinatiegebouw La Bellettsa,0935::SB12,,2251,800,6,6,0,0,0,744,68,0,0,0,0,0,812,88,60,58,73,96,62,188,42,5,12,35,15,11,55
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Buurtcentrum Sint Pieter,0935::SB13,,1121,806,2,5,0,0,0,727,86,0,0,0,0,0,813,112,104,150,29,70,116,6,112,2,22,52,8,6,17
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Bernard Lievegoed School BO,0935::SB14,,1555,787,4,4,0,1,0,727,67,0,1,0,0,0,794,64,101,119,66,63,155,28,54,11,15,36,29,20,26
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Pieterkelderke,0935::SB15,,1447,877,0,6,0,0,0,881,1,0,1,0,1,0,882,151,138,130,42,64,110,28,86,5,26,56,10,6,25
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Stichting Moetiara Maloekoe,0935::SB16,,1841,644,0,3,0,2,0,565,80,0,2,0,0,0,645,47,84,62,66,87,46,50,14,24,21,19,39,34,51
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Sportcafé Jekerdal,0935::SB17,,1032,607,4,1,0,1,0,558,53,0,1,0,0,0,611,65,61,113,40,51,126,15,55,1,18,27,12,7,16
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Envida locatie Croonenhoff,0935::SB18,,1619,889,4,2,0,0,0,800,95,0,0,0,0,0,895,112,179,65,81,58,74,42,121,24,14,25,37,20,37
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,"Stembureau St. Gerlachus, Mosae Zorggroep",0935::SB19,,1410,824,2,1,0,0,0,734,93,0,0,0,0,0,827,82,122,140,39,76,133,18,119,0,15,48,16,8,8
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Bernard Lievegoed School VO,0935::SB20,,1627,622,2,2,0,0,0,562,64,0,0,0,0,0,626,69,62,82,58,40,79,53,35,13,13,39,27,17,35
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,"Stembureau Campagne, Mosae Zorggroep",0935::SB21,,1172,648,4,2,0,0,0,586,68,0,0,0,0,0,654,103,123,73,24,56,63,29,88,8,14,18,13,11,25
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Gemeenschapshuis Aen de Wan,0935::SB22,,2036,1040,5,5,0,1,0,954,95,0,1,0,0,0,1049,157,227,77,83,75,72,52,61,32,23,33,56,29,63
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Basisschool Petrus en Paulus,0935::SB23,,1199,737,4,2,0,5,0,666,82,0,0,5,0,0,748,105,116,84,45,71,92,56,83,9,11,21,21,8,15
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Basisschool Anne Frank,0935::SB24,,1801,938,3,5,0,1,0,846,98,0,2,0,1,0,944,88,134,120,69,63,115,66,79,26,29,38,39,34,38
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,"Stembureau Daalhof, Mosae Zorggroep",0935::SB25,,2553,1087,2,6,0,1,0,978,116,0,1,0,0,0,1094,171,125,75,139,99,71,117,37,14,27,18,51,58,85
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Envida locatie La Valence,0935::SB26,,2333,762,7,3,0,5,0,694,83,0,0,5,0,0,777,66,100,76,64,70,66,79,61,24,40,21,31,34,30
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau vm. Basisschool Fons Olterdissen,0935::SB27,,2757,1112,3,4,0,0,0,1011,108,0,0,0,0,0,1119,218,133,84,98,94,59,99,62,21,37,11,70,35,91
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau vm. Basisschool De Schans,0935::SB28,,1694,693,5,2,0,1,0,629,70,0,1,0,0,0,699,115,50,44,81,47,61,67,14,10,30,23,31,45,75
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Buurtcentrum Ut Förtsje,0935::SB29,,1462,760,1,0,0,1,0,688,72,0,1,0,0,0,760,185,101,70,55,53,36,63,63,5,24,14,30,28,33
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Basisschool de Kring,0935::SB30,,1681,855,4,3,0,0,0,764,98,0,0,0,0,0,862,109,115,67,92,71,96,65,37,12,28,34,23,54,52
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Kindcentrum Dynamiek,0935::SB31,,1519,747,1,3,0,0,0,670,81,0,0,0,0,0,751,129,114,74,50,53,49,50,81,8,25,23,26,25,40
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Harmoniezaal Kon. Harmonie Heer,0935::SB32,,1919,944,7,8,0,3,0,854,102,0,3,0,0,0,956,113,131,128,73,78,96,47,94,38,20,46,31,19,30
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Buurtcentrum Mariaberg,0935::SB33,,1468,608,6,2,0,0,0,563,53,0,0,0,0,0,616,69,45,45,83,50,67,57,26,17,20,28,17,19,65
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Sint Maartenscollege,0935::SB34,,2028,984,3,3,0,0,0,878,112,0,0,0,0,0,990,106,154,140,47,71,150,37,144,7,19,30,30,12,37
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Flat Elisabeth Gruytersstraat,0935::SB35,,2414,790,1,7,0,0,0,729,69,0,0,0,0,0,798,174,108,66,45,48,58,38,57,21,18,15,54,33,55
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Nutsschool Maastricht,0935::SB36,,1761,609,5,3,0,0,0,566,51,0,0,0,0,0,617,44,68,107,46,51,114,24,58,5,10,52,10,6,14
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Schoolgebouw Elisabeth Strouvenlaan,0935::SB37,,2586,741,5,3,0,0,0,695,54,0,0,0,0,0,749,72,63,63,88,74,101,43,42,21,19,49,14,15,77
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Trefcentrum Wittevrouwenveld,0935::SB38,,1395,737,3,4,0,1,0,672,73,0,0,1,0,0,745,73,45,60,51,54,99,182,23,3,14,28,11,18,76
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Stichting 't Gilde,0935::SB39,,1718,848,6,3,0,0,0,781,76,0,0,0,0,0,857,75,93,91,57,111,177,20,45,2,38,91,6,31,11
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Maris Stella,0935::SB40,,1271,385,0,3,0,0,0,330,58,0,0,0,0,0,388,36,33,25,34,34,29,74,18,6,9,10,9,17,51
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Zaaltje St. Annakerk,0935::SB41,,1498,534,4,8,1,0,0,494,53,0,0,1,0,0,547,91,75,45,27,46,71,26,24,7,19,36,12,16,39
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Parochiecentrum Amby,0935::SB42,,1305,794,1,2,0,0,0,699,98,0,0,0,0,0,797,107,173,83,48,60,68,45,76,8,32,19,21,24,30
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Buurtcentrum De Romein,0935::SB43,,1996,671,4,6,0,0,0,594,86,0,1,0,1,0,680,119,75,19,42,54,53,53,32,9,16,12,39,62,86
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Envida locatie De Zeven Bronnen,0935::SB44,,2225,942,6,3,0,4,0,851,96,0,4,0,0,0,947,224,181,84,69,48,80,46,52,12,35,11,32,18,50
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Bibliotheeksteunpunt Malpertuis,0935::SB45,,1754,555,5,5,0,0,0,482,84,1,0,1,0,0,566,101,61,18,60,42,31,63,25,7,19,9,18,30,71
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Envida locatie Hagerpoort,0935::SB46,,1591,955,3,4,0,0,0,853,109,0,0,0,0,0,962,279,223,86,48,58,81,28,65,6,16,16,22,9,18
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau De Wiemerink,0935::SB47,,2651,796,8,9,0,0,0,709,104,0,0,0,0,0,813,99,86,28,77,59,70,97,22,13,24,22,26,64,109
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Buurtcentrum Nazareth,0935::SB48,,2701,852,5,8,0,0,0,762,103,0,0,0,0,0,865,97,111,49,83,52,61,102,25,12,25,38,34,30,133
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,"Stembureau Scharwyerveld, Mosae Zorggroep",0935::SB49,,2014,614,4,2,0,1,0,555,66,0,0,1,0,0,621,99,80,13,55,40,25,104,19,13,16,7,24,27,92
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Gemeenschapshuis Kap. Lochtmanhuis,0935::SB50,,1792,695,1,0,0,1,0,634,61,0,1,0,0,0,695,50,138,59,46,42,41,95,53,8,11,49,13,21,69
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Centre Manjefiek Malberg,0935::SB51,,2997,705,3,12,0,1,0,633,86,0,1,0,0,0,719,105,61,32,80,54,36,110,39,15,19,6,28,27,93
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Basisschool De Maasköpkes,0935::SB52,,1502,762,1,3,0,0,0,690,76,0,0,0,0,0,766,110,161,32,59,45,64,54,33,7,15,22,28,24,108
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Centre Manjefiek Malberg,0935::SB53,,0,671,1,7,0,0,0,589,90,0,0,0,0,0,679,102,62,33,79,62,21,100,24,11,19,6,22,31,99
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Sint Martinushoes,0935::SB54,,805,436,3,2,0,0,0,399,42,0,0,0,0,0,441,21,64,19,28,22,170,23,25,8,1,4,10,6,35
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Wijkcentrum De Luibe,0935::SB55,,1164,700,6,0,0,0,0,651,55,0,0,0,0,0,706,101,119,55,43,51,63,53,80,11,28,20,26,15,35
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau OBS de Perroen,0935::SB56,,1548,681,4,0,0,0,0,634,51,0,0,0,0,0,685,92,67,57,69,57,84,59,33,15,38,20,29,32,29
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Buurtcentrum Boschpoort,0935::SB57,,1416,703,4,2,0,4,0,635,70,0,4,0,0,0,705,52,53,37,106,44,56,51,27,7,8,29,18,158,57
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,"Stembureau AZM, serrehal",0935::SB58,,0,1110,5,8,0,0,0,1046,77,0,0,0,0,0,1123,60,126,257,53,78,171,42,106,10,14,131,9,32,21
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Winkelcentrum Brusselse Poort,0935::SB59,,0,589,2,5,0,0,0,557,39,0,0,0,0,0,596,92,66,58,51,43,47,39,36,11,17,33,25,17,54
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau NS Centraal Station,0935::SB60,,0,857,16,3,0,0,0,811,65,0,0,0,0,0,876,42,66,170,53,67,175,27,88,9,17,94,14,15,20
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau OBS de Regenboog,0935::SB61,,1312,689,1,3,0,1,0,611,83,0,0,1,0,0,694,46,79,143,42,59,133,25,59,8,7,46,14,10,18
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Mob. Stembur. Mondriaan/SSC-UM/Maasveld,0935::SB62,,0,179,0,4,0,0,1,175,7,0,0,0,0,0,183,6,15,24,15,18,41,3,13,2,2,34,0,4,2
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Mob. Stembureau Muziekgieterij,0935::SB63,,0,261,2,12,0,0,0,270,5,0,0,0,0,0,275,0,4,27,1,22,84,1,8,0,2,108,0,0,4
