contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,CDA,Arnhem Centraal,ChristenUnie,DENK Verenigd Arnhem,Arnhemse Ouderen Partij,Partij voor de Dieren,12,PVV (Partij voor de Vrijheid),Nederlandse Volks-Unie (NVU),Arnhem1,Gelderse Centrumdemocraten (Gelderse C.D.)
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Siza Dorp Groep,0202::SB13,6816 RP,1603,800,0,5,0,2,0,721,86,0,0,2,0,0,807,124,29,42,259,95,88,21,35,3,24,53,0,25,2,0,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Craneveer,0202::SB14,6815 GB,1085,677,5,5,0,0,0,641,46,0,0,0,0,0,687,109,41,72,126,123,60,19,40,0,20,39,0,20,2,5,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Rode Kruisgebouw,0202::SB15,6815 CD,1535,1171,1,4,0,0,0,1079,98,0,0,1,0,0,1177,189,64,126,239,210,76,32,58,0,71,65,1,31,0,7,2
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau ROC Rijn IJssel (Vaksch Wageningen),0202::SB16,6814 BS,1450,961,2,1,0,1,0,861,102,0,1,0,0,0,963,171,67,97,139,214,66,44,41,1,28,74,0,13,2,3,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Jan Ligthartschool (dependance),0202::SB18,6821 CJ,1498,910,3,0,0,1,0,844,68,0,1,0,0,0,912,178,37,101,113,252,27,48,33,15,12,74,1,10,2,6,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau De Nieuwe Hommel,0202::SB19,6821 CE,2042,1016,3,2,0,1,0,950,72,0,0,1,0,0,1022,167,69,94,110,284,26,56,24,43,12,102,1,14,3,11,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau MFC Klarendal,0202::SB21,6822 ET,1612,926,4,4,0,1,0,854,79,0,1,0,0,0,933,118,96,65,68,203,16,47,26,122,17,77,2,49,4,15,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Productiehuis Plaatsmaken,0202::SB22,6822 GC,2192,898,7,3,0,1,0,823,84,0,1,0,0,0,907,102,113,57,53,205,14,33,25,101,18,111,1,44,3,15,3
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Dansschool YA Salsa,0202::SB24,6822 ET,2313,742,4,2,0,1,0,680,67,0,1,0,0,0,747,112,68,50,55,203,22,24,27,45,10,80,1,33,2,10,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau ROC Rijn IJssel (Techniek & ICT),0202::SB25,6824 BG,1399,918,2,2,0,0,0,842,80,0,0,0,0,0,922,184,42,77,138,211,66,44,44,9,21,57,0,17,6,2,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Jozef Sartoschool,0202::SB26,6824 EG,1425,779,3,2,0,0,0,718,66,0,0,0,0,0,784,117,72,78,103,171,37,34,25,17,21,60,0,42,1,1,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Woonzorgcentrum Drie Gasthuizen,0202::SB27,6824 KK,1911,1334,3,3,0,1,0,1212,129,0,0,1,0,0,1341,254,62,141,290,226,133,24,45,9,43,71,0,33,1,2,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Opstandingskerk (hoofdingang),0202::SB29,6824 KL,1399,937,0,4,0,1,0,869,71,0,1,0,0,0,940,155,67,76,108,202,66,31,44,12,32,74,1,32,21,13,3
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau De Vlindertuin,0202::SB30,6823 DL,2176,860,2,3,0,1,0,790,76,0,0,1,0,0,866,100,100,83,70,151,48,39,39,18,35,74,0,66,26,11,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau MFC De Wetering,0202::SB32,6823 JC,2524,959,8,3,0,0,0,890,77,0,3,0,3,0,967,73,142,92,52,140,53,47,24,21,76,90,0,101,34,14,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Woonzorgcentrum De Paasberg,0202::SB34,6824 PJ,1463,1020,3,0,0,0,0,934,92,3,0,3,0,0,1026,186,48,111,172,203,77,37,35,2,32,66,1,38,8,4,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Woonzorgcentrum Vreedenhoff,0202::SB35,6824 LV,1077,518,3,2,0,0,0,482,41,0,0,0,0,0,523,53,43,58,85,81,75,14,23,4,25,34,1,14,0,5,3
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Dr. W. Dreesschool,0202::SB37,6825 JA,2545,1043,3,10,0,0,0,973,84,1,0,1,0,0,1057,84,106,96,99,100,94,91,58,106,87,37,0,64,15,6,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Kantine AV & AC Eendracht,0202::SB38,6825 EX,1548,612,4,3,0,0,0,586,33,0,0,0,0,0,619,61,68,61,64,72,50,28,28,34,44,37,0,62,2,1,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Kantine HAN,0202::SB39,6826 CC,657,502,3,0,0,1,0,466,40,0,0,1,0,0,506,81,23,30,109,68,61,30,11,7,21,31,1,27,1,1,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Dans- en Muziekschool El Ele,0202::SB42,6826 TJ,1850,462,3,2,0,0,0,418,49,0,0,0,0,0,467,28,58,19,25,39,21,42,14,124,18,10,2,51,6,5,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau MFC Presikhaven,0202::SB43,6826 HA,3503,1421,7,11,0,0,0,1279,158,0,2,0,2,0,1437,104,84,110,90,167,79,100,69,421,46,33,9,70,13,23,3
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Woonzorgcentrum Waalstaete,0202::SB47,6826 BR,1849,811,4,6,0,0,2,730,90,1,0,1,0,0,822,46,58,88,38,111,47,53,29,176,59,36,0,55,8,7,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Wijkcentrum Symfonie,0202::SB49,6828 RM,1684,850,3,1,0,4,0,787,63,0,4,0,0,0,850,81,59,53,43,120,22,28,22,289,18,48,6,35,7,19,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Hugo de Grootschool,0202::SB50,6828 TT,1315,567,0,0,0,11,0,507,49,0,11,0,0,0,556,73,33,53,33,124,19,20,23,70,18,49,3,40,1,8,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Basisschool De Sterrenkring,0202::SB51,6828 EW,1916,734,6,3,0,0,0,697,48,2,0,2,0,0,745,161,58,53,65,178,32,37,17,6,10,97,1,9,0,9,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Bizar-Bazar in voormalige Lutherse kerk,0202::SB52,6828 AS,1321,633,7,2,0,1,34,607,2,0,0,1,0,0,643,90,64,46,70,138,29,31,31,11,13,63,0,25,5,16,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Buurtcentrum De Lommerd,0202::SB53,6828 DC,2265,1352,3,3,1,0,0,1278,79,0,1,0,0,0,1357,207,92,123,132,409,51,60,31,17,11,164,2,31,1,20,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Stadskantoor Gemeente Arnhem,0202::SB55,6828 HZ,2173,530,1,0,0,0,0,477,54,0,0,0,0,0,531,64,43,47,59,112,41,35,21,32,17,32,0,22,2,3,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau MFC De Spil,0202::SB58,6841 GD,1436,654,3,1,0,2,0,592,68,0,0,2,0,0,660,41,75,61,46,132,30,39,47,66,26,45,3,31,3,9,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Kantine v.v. MASV,0202::SB59,6841 EE,1705,584,2,8,0,2,0,547,45,0,2,0,0,0,592,75,50,52,64,73,36,30,24,90,26,21,0,37,1,5,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau MFC De Malburcht (Margarethaschool),0202::SB60,6833 CE,2647,859,2,6,0,2,0,785,80,0,2,0,0,0,865,76,94,76,72,97,37,63,42,120,20,50,4,93,10,5,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Woonzorgcentrum Eilandstaete,0202::SB62,6833 LR,2083,792,3,4,0,0,0,721,81,3,0,3,0,0,802,100,46,67,106,90,43,72,36,80,27,37,9,66,6,7,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Basisschool Het Mozaïek,0202::SB64,6834 CZ,2388,710,5,10,0,0,0,645,82,2,0,2,0,0,727,29,83,89,55,76,23,59,23,107,44,33,21,51,10,7,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Basisschool Het Mozaïek,0202::SB65,6832 HG,2101,601,2,9,0,2,0,540,70,0,2,0,0,0,610,32,71,39,30,47,18,35,15,170,28,13,31,58,4,10,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Woonzorgcentrum Malburgstaete,0202::SB67,6832 AT,2279,881,3,4,0,0,0,801,87,0,0,0,0,0,888,67,79,92,44,108,66,49,47,128,64,35,9,72,7,13,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Basisschool De Piramide,0202::SB70,6835 HZ,1444,851,5,3,0,0,0,762,95,0,2,0,0,2,857,88,51,90,121,90,67,99,79,28,41,31,2,58,1,5,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau OBS Da Vinci Arnhem,0202::SB71,6835 CD,1628,632,2,1,0,1,0,585,51,0,0,1,0,0,636,45,65,59,49,82,29,73,54,62,32,27,1,40,0,12,2
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau SWOA De Petersborg,0202::SB72,6835 DX,1086,542,1,5,0,0,0,509,39,0,0,0,0,0,548,47,70,53,37,60,47,42,40,37,28,31,5,40,3,2,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Jongerencentrum De Madser,0202::SB74,6831 EJ,2630,868,6,11,0,0,0,819,67,1,0,1,0,0,886,67,120,49,62,88,44,88,43,53,85,43,11,92,7,16,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Dorpshuis Ons Gebouw Elden,0202::SB76,6842 BD,1978,1057,1,1,0,0,0,971,89,1,0,1,0,0,1060,110,61,74,196,120,116,126,57,2,72,36,0,76,4,5,2
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Wijkcentrum Elderveld,0202::SB77,6843 JM,1599,901,1,2,0,0,0,823,81,0,0,0,0,0,904,94,91,87,94,108,61,82,64,3,96,47,0,65,3,6,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Wijkcentrum Elderveld,0202::SB78,6843 JM,1304,548,0,2,0,0,0,497,53,0,0,0,0,0,550,69,44,63,59,78,25,54,39,1,50,36,0,24,0,6,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau SWOA De Gaanderij,0202::SB79,6843 AN,1444,644,1,1,0,0,0,585,61,0,0,0,0,0,646,40,64,50,50,78,45,73,34,16,85,39,0,54,2,14,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Wooncentrum Jan Hovingflat,0202::SB80,6843 GW,1460,737,4,4,2,0,0,678,69,0,0,2,0,0,747,49,67,80,65,48,52,97,61,12,86,30,1,72,7,9,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Kerkelijk Centrum De Kandelaar,0202::SB81,6843 LP,1448,724,1,4,0,1,0,683,45,0,1,0,0,0,728,46,51,77,60,53,63,87,59,15,81,41,0,77,5,5,4
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Brede School De Laar-West,0202::SB83,6844 GA,3363,1117,2,2,0,0,0,1004,117,0,0,0,0,0,1121,120,118,103,97,126,78,142,62,14,95,57,0,93,4,4,4
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Sport&Ontmoetingscentr De Laar-West,0202::SB85,6844 GA,1405,835,2,6,0,0,0,772,72,1,0,1,0,0,844,76,65,91,109,69,61,99,52,25,53,49,1,73,2,10,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Brede School Het Startblok,0202::SB87,6845 JE,1704,1017,2,10,0,1,0,933,95,0,1,0,0,0,1028,112,79,82,121,108,78,156,51,18,73,57,3,62,7,10,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Wijkcentrum Boerderij De Kroon,0202::SB88,6845 AC,1617,721,11,6,0,0,0,675,63,0,0,0,0,0,738,61,69,73,67,93,30,109,57,12,56,42,1,42,3,5,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Basisschool Toermalijn,0202::SB89,6845 JE,1573,401,0,1,0,1,0,367,36,0,0,1,0,0,403,40,56,39,31,47,17,64,29,3,25,12,0,32,2,3,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Gemeenschapsruimte Rijkershof,0202::SB90,6836 HB,1949,675,2,2,0,0,0,629,50,0,0,0,0,0,679,46,69,55,93,69,40,103,29,32,51,26,4,50,1,7,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Sportcentrum Rijkerswoerd,0202::SB91,6836 BK,537,607,1,2,0,0,0,554,56,0,0,0,0,0,610,72,51,48,102,67,44,87,34,20,22,24,4,29,1,1,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Activiteitencentrum Rijkerswoerd (Siza),0202::SB92,6836 KS,2662,1362,6,6,0,0,0,1206,151,0,17,0,0,0,1357,185,70,135,231,103,97,174,68,90,67,50,2,71,7,12,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Woongemeenschap Bloemenburcht,0202::SB93,6836 RG,2824,753,1,2,0,1,0,669,86,0,1,0,0,0,755,88,66,64,94,83,51,92,34,13,62,39,1,57,4,5,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Evangelische Basisschool De Rank/Cosmicus,0202::SB94,6836 GA,1236,572,4,0,0,1,0,513,64,0,0,1,0,0,577,66,52,59,67,75,26,57,27,19,47,30,0,35,2,7,3
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Brede school De Salamander,0202::SB96,6846 HR,1976,1163,3,4,0,0,0,1044,126,0,0,0,0,0,1170,168,64,65,307,132,91,95,83,28,12,57,1,48,4,6,2
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau MFC De Omnibus,0202::SB97,6846 XA,2618,1360,10,7,0,0,0,1209,168,0,0,0,0,0,1377,226,74,112,255,168,111,142,50,43,28,62,1,69,7,9,3
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau De Buitenplaats (Siza),0202::SB98,6846 DX,2588,946,2,0,0,12,0,822,114,0,12,0,0,0,936,145,59,75,222,87,80,90,41,14,32,37,12,42,2,7,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,"Stembureau Station, ontvangsthal Arnhem CS",0202::SB105,6811 KL,0,1506,8,3,0,0,0,1434,70,0,13,0,13,0,1504,262,101,115,157,414,54,89,55,38,18,148,5,36,2,11,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Ziekenhuis Rijnstate (hal),0202::SB106,6815 AD,0,355,0,2,0,0,1,330,26,0,0,0,0,0,357,45,30,42,48,49,20,22,19,16,15,27,1,15,2,4,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Mobiel stembureau (stembus),0202::SB107,,0,349,4,0,0,0,0,329,26,2,0,2,0,0,355,37,26,25,50,58,32,20,24,4,30,24,1,16,0,2,0
