contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA,ChristenUnie,VVD,Partij van de Arbeid (P.v.d.A.),Lokaal Apeldoorn,GROENLINKS,Gemeentebelangen,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Progressief Sociaal Apeldoorn (PSA),Vrede en Recht,SP (Socialistische Partij),JEZUS LEEFT,50PLUS
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Wijkpost,0200::SB14,,1195,502,1,0,0,0,0,458,45,0,0,0,0,0,503,62,73,43,78,34,51,42,23,13,35,7,1,11,2,27
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Woon- en Zorgcentrum De Loohof,0200::SB15,,952,641,4,1,0,0,0,577,69,0,0,0,0,0,646,89,83,66,150,30,48,61,15,24,25,3,1,8,0,38
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Locatie Berkenhove (voorheen Spainkbosd),0200::SB16,,1171,1041,4,2,0,5,0,983,69,0,0,5,0,0,1052,162,124,73,141,84,90,127,30,28,64,12,2,33,2,69
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Serviceflat Lindenhove,0200::SB17,,1292,836,2,7,0,1,0,771,75,0,0,1,0,0,846,104,159,62,154,55,48,61,26,21,26,6,1,34,2,77
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Gereformeerde Kerk,0200::SB18,,1422,972,1,1,0,0,0,880,94,0,0,0,0,0,974,183,139,89,241,51,46,68,26,31,47,9,0,17,2,23
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Koningin Julianaschool,0200::SB19,,1510,1003,1,1,0,0,0,918,87,0,0,0,0,0,1005,136,136,111,147,49,101,89,45,19,64,3,2,46,2,53
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau CODA museum,0200::SB20,,1157,656,1,1,0,0,0,614,44,0,0,0,0,0,658,99,57,44,96,42,79,93,30,7,40,8,1,29,0,31
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Woon- en Zorgcentrum De Veenkamp,0200::SB21,,1535,933,5,3,0,0,0,870,71,0,0,0,0,0,941,115,121,97,117,53,104,93,26,25,55,16,2,48,2,59
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Wijkcentrum De Groene Hoven,0200::SB22,,1468,1112,2,2,0,0,0,1012,104,0,0,0,0,0,1116,122,173,142,144,83,111,84,39,31,40,19,5,35,4,80
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Open Hofkerk,0200::SB23,,1231,580,1,2,0,0,0,552,31,0,0,0,0,0,583,53,92,52,48,42,72,34,26,31,30,5,1,49,2,43
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Zorggroep Apeldoorn Casa Bonita,0200::SB24,,1524,731,10,0,0,0,0,677,64,0,0,0,0,0,741,80,84,107,95,39,80,56,25,40,28,11,4,35,2,45
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Sporthal Welgelegen(voorheen Dynamo),0200::SB25,,1122,518,3,3,0,0,0,478,46,0,0,0,0,0,524,46,70,32,74,28,91,61,31,7,22,14,0,18,1,23
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Prinses Beatrixschool,0200::SB26,,915,520,1,3,0,0,0,470,54,0,0,0,0,0,524,46,100,35,99,21,58,31,16,34,25,5,3,9,1,37
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Kantine WWNA,0200::SB27,,844,468,5,1,0,0,0,417,57,0,0,0,0,0,474,42,73,36,112,15,48,38,10,23,31,5,3,6,6,20
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau De Woonmensen,0200::SB28,,1605,821,2,1,0,1,0,768,57,0,0,1,0,0,825,97,88,70,151,53,79,57,53,20,37,15,2,25,3,71
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Zaal achter Julianakerk,0200::SB29,,941,905,2,0,0,0,0,825,82,0,0,0,0,0,907,75,113,77,128,41,141,101,29,40,46,10,3,32,1,68
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School De Zonnewende,0200::SB30,,1402,750,5,2,0,0,0,681,76,0,0,0,0,0,757,69,77,57,155,27,156,90,20,16,22,9,1,25,2,24
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Eben-Haezerkerk,0200::SB31,,1468,817,2,2,0,0,0,752,69,0,0,0,0,0,821,67,102,123,100,55,114,46,20,50,28,12,0,39,5,56
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Geref. Basisschool 't Schrijvertje,0200::SB32,,1415,512,8,6,0,0,0,479,47,0,0,0,0,0,526,35,32,91,21,43,66,47,13,26,31,3,5,50,2,47
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Veluwse College Mheenpark,0200::SB33,,1148,704,0,6,0,0,0,661,49,0,0,0,0,0,710,79,77,65,63,48,143,61,43,37,12,5,2,25,2,42
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Ichthusschool,0200::SB34,,1604,963,1,1,0,0,0,884,81,0,0,0,0,0,965,92,83,95,97,41,182,104,41,28,49,7,7,59,5,73
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau GGNet (Spatie),0200::SB35,,1769,925,4,1,0,0,0,830,100,0,0,0,0,0,930,41,101,81,229,32,199,61,39,44,17,20,3,24,3,31
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School De Bundel,0200::SB36,,1444,928,1,4,0,3,0,845,85,0,3,0,0,0,930,89,153,81,135,57,123,77,37,22,47,22,3,40,1,41
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Kantine ZVV,0200::SB37,,1415,456,3,1,0,0,0,417,43,0,0,0,0,0,460,32,71,38,60,18,55,34,21,24,18,10,0,31,6,38
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Woon-Zorgcentrum Kon. Wilhelmina,0200::SB38,,1164,550,3,2,0,0,0,500,55,0,0,0,0,0,555,54,70,72,49,32,71,44,16,42,16,7,2,26,4,45
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School De Zevensprong,0200::SB39,,1344,546,2,4,0,1,0,497,56,0,0,1,0,0,553,37,57,48,42,36,123,50,23,25,27,8,0,35,2,33
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Verzorgingshuis Talma Borgh,0200::SB40,,1512,1085,4,6,0,0,0,1016,79,0,0,0,0,0,1095,94,161,101,138,72,164,78,36,40,43,15,1,62,6,74
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Het Atrium,0200::SB41,,1277,542,3,3,0,3,0,506,45,0,0,3,0,0,551,50,45,32,42,62,94,53,17,14,30,14,3,55,1,30
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau PCBS De Regenboog-Woudhuis,0200::SB42,,1601,738,1,0,0,0,0,674,65,0,0,0,0,0,739,67,99,75,120,37,130,54,29,28,22,2,1,33,4,37
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Buurthuis Ons Huus,0200::SB43,,667,415,1,1,0,0,0,372,45,0,0,0,0,0,417,23,148,31,52,9,37,14,12,42,7,2,0,11,0,27
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School De Horst,0200::SB44,,1410,820,4,1,0,0,0,759,66,0,0,0,0,0,825,59,72,107,68,59,115,64,50,23,53,15,0,67,9,59
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Klootschietvereniging Het Woudhuis,0200::SB45,,1627,894,0,0,0,0,0,810,84,0,0,0,0,0,894,114,123,60,192,35,140,68,28,31,24,6,2,27,0,44
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Jeugd- en jongerencentrum De Dreven,0200::SB46,,1482,723,1,3,0,0,0,682,45,0,0,0,0,0,727,51,58,69,59,55,102,89,39,23,43,11,3,63,2,56
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Woon- en Zorgcentrum Berghorst,0200::SB47,,541,539,2,2,0,0,0,498,45,0,0,0,0,0,543,53,55,53,65,44,56,36,28,24,28,9,1,33,2,52
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau OBS De Kosmos,0200::SB48,,1719,863,1,1,0,0,0,796,69,0,0,0,0,0,865,79,78,66,104,62,118,104,41,17,30,17,4,57,4,82
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Schakel- RK-school loc.Muntersdonk,0200::SB49,,1381,690,2,1,0,0,0,628,64,0,1,0,0,0,692,51,82,98,55,38,119,44,32,20,21,11,7,59,4,49
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School De Regenboog Osseveld,0200::SB50,,1466,866,7,4,0,0,0,801,77,1,0,1,0,0,878,85,84,65,185,44,148,71,27,27,31,15,2,28,6,48
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School De Bongerd,0200::SB51,,1301,682,1,8,0,0,0,624,67,0,0,0,0,0,691,60,78,69,49,58,103,57,31,31,31,9,1,34,5,66
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School Het Gilde,0200::SB52,,1073,524,0,0,0,0,0,474,50,0,0,0,0,0,524,32,45,52,46,35,81,38,23,26,21,9,3,48,9,56
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School De Schakel,0200::SB53,,1532,723,0,0,0,0,0,663,60,0,0,0,0,0,723,64,71,73,83,65,86,66,48,13,20,10,0,54,1,69
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School De Terebint,0200::SB54,,1280,881,1,3,0,0,0,815,70,0,0,0,0,0,885,93,101,94,73,35,152,69,53,33,28,19,0,52,4,75
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Wijkcentrum De Stolp,0200::SB55,,1371,847,0,4,0,0,0,818,33,0,0,0,0,0,851,85,79,98,59,54,122,93,34,16,62,11,3,59,5,67
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Woon- en Zorgcentrum De Matenhof,0200::SB56,,1543,686,2,1,0,0,0,638,51,0,0,0,0,0,689,59,69,89,57,45,101,62,27,16,18,13,5,58,6,61
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau SV Groen Wit '62,0200::SB57,,1633,733,1,1,0,0,0,680,55,0,0,0,0,0,735,78,99,59,66,43,94,62,37,41,29,15,3,43,4,60
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School De Marke,0200::SB58,,1534,922,3,3,0,0,0,867,62,0,0,1,0,0,929,90,97,87,99,59,128,91,54,17,51,8,2,71,1,67
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School De Ploeg,0200::SB59,,1450,764,1,0,0,0,0,698,67,0,0,0,0,0,765,48,118,85,100,48,105,66,37,14,16,9,1,44,9,64
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Veluws College Cortenbosch,0200::SB60,,1577,612,2,1,0,0,0,563,52,0,0,0,0,0,615,81,61,36,82,38,72,72,27,9,32,16,7,31,2,46
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Buurthuis Ugchelens Belang,0200::SB61,,1514,1045,1,0,0,4,0,974,76,0,0,4,0,0,1050,91,186,86,165,47,135,100,45,23,49,7,2,28,8,73
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School De Steenbeek,0200::SB62,,1219,883,2,2,0,0,0,795,92,0,0,0,0,0,887,93,146,75,168,52,83,90,36,25,29,9,0,25,1,51
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Woon- en Zorgcentrum Sprengenhof,0200::SB63,,1494,873,1,0,0,0,0,783,91,0,0,0,0,0,874,69,133,83,148,56,89,63,42,30,36,11,0,36,11,66
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Zorggroep Apeldoorn locatie Randerode,0200::SB64,,977,686,1,0,0,2,0,640,45,0,2,0,0,0,685,67,106,61,101,57,88,56,23,11,27,9,0,27,7,46
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Verkeersschool Frank Schuurman,0200::SB65,,953,357,1,1,0,0,0,326,34,1,0,1,0,0,360,27,40,40,48,21,43,23,16,6,20,12,0,28,1,32
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Zaal Vrijzicht,0200::SB66,,1496,743,0,0,0,0,0,695,48,0,0,0,0,0,743,68,72,56,74,64,102,57,46,9,47,17,5,60,4,62
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau De Rietendakschool,0200::SB67,,1222,594,2,0,0,0,0,546,50,0,0,0,0,0,596,56,55,36,66,30,114,66,34,12,32,8,2,33,4,46
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School De Eendracht,0200::SB68,,1298,819,5,0,0,0,0,742,82,0,0,0,0,0,824,79,87,52,92,46,133,64,35,45,52,9,7,60,6,52
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Lokaal bij As Soena Moskee,0200::SB69,,1430,665,4,1,0,0,0,618,52,0,0,0,0,0,670,66,73,59,91,58,73,62,37,11,27,13,4,39,2,50
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Duivensportcentrum,0200::SB70,,1496,720,3,1,0,0,0,665,58,0,1,0,0,0,723,73,80,63,104,46,109,53,35,17,36,2,3,45,5,49
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Meester Lugtmeijerschool,0200::SB71,,1206,706,2,1,0,1,0,655,55,0,0,1,0,0,710,74,81,51,57,47,119,60,39,15,41,11,3,39,4,65
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Woon- zorgcentrum Avondzon,0200::SB72,,1450,567,4,2,0,0,0,530,43,0,0,0,0,0,573,36,43,47,43,64,73,49,35,18,33,9,5,48,4,60
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Koningin Emmaschool,0200::SB73,,1332,564,5,5,0,1,0,527,46,0,1,0,0,0,573,58,42,30,27,49,100,40,33,11,35,4,11,64,3,57
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Kleverwal Schilderwerken,0200::SB74,,972,195,2,0,0,1,0,184,12,0,1,0,0,0,196,20,16,16,11,18,25,18,10,5,7,5,5,18,0,21
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau ROC Aventus,0200::SB75,,1737,540,4,3,0,0,0,499,48,0,0,0,0,0,547,68,46,40,54,37,74,65,27,6,33,9,4,39,0,38
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Nieuw Zuidzicht,0200::SB76,,1245,326,2,0,0,0,0,306,22,0,0,0,0,0,328,23,33,20,30,32,38,25,24,0,16,4,6,31,1,43
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Woonmensen locatie Elizabethshof,0200::SB77,,985,601,3,2,0,0,0,559,47,0,0,0,0,0,606,38,100,51,54,41,88,54,41,15,19,1,0,42,6,51
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Apeldoornse Boys,0200::SB78,,990,233,3,1,0,0,0,227,10,0,0,0,0,0,237,15,26,18,33,23,30,16,16,3,11,2,0,15,0,25
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Buurthuis Maasstraat,0200::SB79,,1288,808,3,6,0,0,0,739,78,0,0,0,0,0,817,47,87,79,64,74,116,85,47,25,39,11,4,51,1,78
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau De Hofstad,0200::SB80,,1482,584,4,7,0,0,0,542,53,0,0,0,0,0,595,58,75,63,54,29,98,38,23,24,16,7,8,29,2,60
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Dok Zuid,0200::SB81,,1286,810,7,1,0,0,0,746,72,0,0,0,0,0,818,70,77,75,59,72,141,63,44,29,44,14,4,59,6,53
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Dorpshuis Het Blanke Schot,0200::SB82,,1815,1253,1,2,0,0,0,1059,197,0,0,0,0,0,1256,24,95,105,76,10,11,17,10,858,12,1,1,11,9,13
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Kamp Nieuw Milligen gebouw 20,0200::SB83,,345,199,1,0,0,0,0,169,31,0,0,0,0,0,200,6,19,16,36,5,8,7,2,83,10,1,0,1,0,5
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Brandweerkazerne Hoog Soeren,0200::SB84,,315,246,0,0,0,0,0,226,20,0,0,0,0,0,246,33,32,12,52,11,14,40,6,4,18,1,0,9,0,14
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Chr. Geref. Andreaskerk,0200::SB85,,1615,899,1,2,0,0,0,814,88,0,0,0,0,0,902,70,106,118,135,44,137,75,20,89,24,9,2,35,5,30
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Het Dorpshuus,0200::SB86,,1118,613,7,1,0,1,0,570,52,0,0,1,0,0,622,45,84,33,120,29,91,48,33,8,38,3,2,34,0,45
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Het Zonnehuis,0200::SB87,,1258,736,6,2,0,0,0,681,63,0,0,0,0,0,744,59,126,89,87,41,55,48,40,81,30,6,3,30,6,35
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Zorgcentrum De Vier Dorpen,0200::SB88,,1638,656,2,4,0,0,0,602,60,0,0,0,0,0,662,51,103,37,140,33,66,43,31,25,38,8,3,19,3,56
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Zaal achter Gereformeerde Kerk,0200::SB89,,1036,613,1,2,0,0,0,563,53,0,0,0,0,0,616,42,154,74,71,19,65,21,18,83,15,3,0,20,1,27
