contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Belangen Buitengebied Coevorden,VVD,CDA,Partij van de Arbeid (P.v.d.A.),PAC,Democraten 66 (D66),Gemeentebelangen
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Selkersgoorn Dalen,0109::SB13,7751 CZ,1519,836,2,0,0,0,0,779,59,0,0,0,0,0,838,339,168,55,147,51,37,39
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Dorpshuis De Kom Wachtum,0109::SB14,7754 MA,290,216,0,1,0,0,0,203,14,0,0,0,0,0,217,116,50,16,15,5,8,6
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau De Etgaarde Oosterhesselen,0109::SB15,7861 BT,1511,1028,4,2,0,1,0,954,81,0,0,1,0,0,1035,470,161,108,128,99,41,21
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Het Pluspunt Gees,0109::SB16,7863 PP,740,494,0,3,0,0,0,448,50,0,0,1,0,0,498,151,78,141,60,24,21,19
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau De Tiphof Geesbrug,0109::SB17,7917 PE,1102,442,0,1,0,0,0,395,48,0,0,0,0,0,443,190,82,79,47,17,5,22
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau MFC De Brink Sleen,0109::SB18,7841 CE,1805,1265,5,1,0,0,1,1139,131,0,0,0,0,0,1271,395,244,265,189,33,72,67
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau OBS De Vlinderhof Noord Sleen,0109::SB19,7846 TA,668,480,0,0,0,0,0,434,46,0,0,0,0,0,480,179,100,85,58,28,16,14
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Het Ellertsveld Schoonoord,0109::SB20,7848 BP,1766,854,1,1,0,0,0,783,73,0,0,0,0,0,856,447,62,90,136,26,31,62
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Dorpshuis De Kiel,0109::SB21,7849 PC,322,229,0,1,0,0,0,204,26,0,0,0,0,0,230,142,18,24,27,7,5,6
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau d' Aol Schoelstee Wezuperbrug,0109::SB22,7853 TA,340,212,0,1,0,0,0,192,21,0,0,0,0,0,213,105,31,20,13,11,31,1
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Steakhouse Route 34 Erm,0109::SB23,7843 PJ,804,411,0,2,0,0,0,375,38,0,0,0,0,0,413,116,80,100,59,27,16,13
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau De Korenhof Aalden,0109::SB24,7854 NA,1787,1291,4,4,0,0,0,1215,84,0,0,0,0,0,1299,859,90,130,85,37,80,10
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Brasserie Tramlokaal Meppen,0109::SB25,7855 PH,326,262,0,1,0,0,0,243,20,0,0,0,0,0,263,170,23,25,21,11,11,1
