contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,ChristenUnie,SP (Socialistische Partij),Eérste Lokale Partij (ELP),VVD,Democraten 66 (D66),Smallingerlands Belang,FNP,GROENLINKS,Staatkundig Gereformeerde Partij (SGP)
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Verzorgingscentrum Rispinge,0090::SB12,9203 ZG,1862,960,3,4,0,0,0,894,73,0,0,0,0,0,967,139,155,127,88,162,59,52,98,24,36,20
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Verzorgingscentrum De Warrenhove,0090::SB13,9203 HT,1362,790,3,3,0,0,0,739,57,0,0,0,0,0,796,124,155,104,49,115,52,28,54,28,39,42
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Buurthuis De Skûle,0090::SB14,9203 ND,1630,1174,4,3,0,0,0,1099,82,0,0,0,0,0,1181,132,133,172,62,246,114,87,98,29,78,23
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau MOS - Brede School De Drait (A),0090::SB15,9204 JT,1192,850,0,6,0,0,0,801,55,0,0,0,0,0,856,102,88,84,40,235,79,85,49,16,60,12
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau MOS - Brede School De Drait (B),0090::SB16,9204 JT,931,1066,3,1,0,0,0,974,96,0,0,0,0,0,1070,113,115,132,45,316,72,77,81,19,80,16
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Tienersoos Place 2 B (Dr.vaart),0090::SB17,9204 LM,1719,1018,2,3,0,0,0,928,95,0,0,0,0,0,1023,96,94,83,39,264,193,100,63,17,58,11
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Wijkcentrum De Skammel,0090::SB18,9205 DE,1707,909,2,3,0,0,0,869,46,1,0,1,0,0,915,100,59,111,78,202,61,64,112,33,70,19
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Basisschool 't Tweespan,0090::SB19,9205 BN,1988,1155,2,5,0,0,0,1045,118,0,0,1,0,0,1163,128,112,155,69,242,105,111,74,19,119,21
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Dorpshuis 't Bynt Boornbergum,0090::SB20,9212 PK,1428,939,1,0,0,0,0,875,65,0,0,0,0,0,940,88,102,172,41,166,66,61,69,59,59,56
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Lokaliteit De Nije Kompe Dr.comp.,0090::SB21,9222 NA,922,545,0,0,0,0,0,486,59,0,0,0,0,0,545,65,96,83,45,57,37,19,53,50,20,20
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Dorpshuis De Huchte Houtigehage,0090::SB22,9223 LB,727,353,2,0,0,0,0,307,48,0,0,0,0,0,355,71,24,16,56,47,19,10,44,42,14,10
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Dorpshuis Op 'e Jister Nijega,0090::SB23,9217 RL,363,237,1,1,0,0,0,225,14,0,0,0,0,0,239,13,83,21,16,21,14,5,23,23,4,14
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Dorpshuis De Wringe Opeinde,0090::SB24,9218 PP,1326,867,3,1,0,0,0,788,83,0,0,0,0,0,871,92,182,124,36,96,67,41,78,47,47,57
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau De Skippersseal Oudega,0090::SB25,9216 WP,1314,872,5,0,0,0,0,781,96,0,0,0,0,0,877,55,306,104,51,40,75,26,74,65,62,14
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Dorpshuis It Werflân,0090::SB26,9221 TD,1092,692,4,0,0,0,0,645,51,0,0,0,0,0,696,116,144,61,50,50,65,46,27,80,35,18
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Galerie Buitengewoon De Wilgen,0090::SB27,9213 VG,600,430,0,0,0,0,0,387,43,0,0,0,0,0,430,43,60,33,7,111,68,38,18,18,27,7
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau De Naturij,0090::SB28,9204 WS,1304,664,2,0,0,0,0,614,52,0,0,0,0,0,666,84,59,98,40,159,54,50,39,13,54,14
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Dorpshuis De Tike,0090::SB29,9219 VM,263,185,1,1,0,0,0,169,17,0,1,0,1,0,186,20,41,27,13,7,23,6,14,10,12,12
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau It Polderhûs,0090::SB30,9215 VZ,251,163,0,0,0,0,0,144,19,0,0,0,0,0,163,27,28,23,5,18,17,5,6,10,14,10
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Vitalis,0090::SB31,9207 GL,1092,616,2,2,0,0,0,570,55,5,0,5,0,0,625,34,96,92,30,158,56,38,54,16,28,14
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Sporthal De Drait,0090::SB32,9204 CM,1199,869,0,1,0,0,0,789,81,0,0,0,0,0,870,105,66,103,53,229,58,106,63,16,62,8
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Gemeentehuis (Raadzaal),0090::SB33,9203 RM,944,626,2,4,0,0,0,579,53,0,0,0,0,0,632,82,88,56,42,138,52,63,47,15,35,8
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau De Bolder,0090::SB34,9207 CZ,1206,730,0,3,0,0,0,673,60,0,0,0,0,0,733,107,63,82,50,171,58,40,77,15,60,7
