contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ZVV (Zaltbommel veranderen met Visie),Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid/GROENLINKS,ChristenUnie,CDA,VVD,Democraten 66 (D66),SP (Socialistische Partij)
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Dorpshuis de Gaarde,0297::SB11,5317 JS,1208,827,0,2,0,0,0,701,128,0,0,0,0,0,829,106,478,14,120,60,34,7,8
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Huis Brakel,0297::SB12,5306 BC,1092,550,3,1,0,0,0,466,88,0,0,0,0,0,554,116,186,37,98,64,31,6,12
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau De Wilhelminahof,0297::SB13,5306 XA,1282,868,1,3,0,0,0,764,108,0,0,0,0,0,872,222,240,50,171,119,41,7,18
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Dorpshuis Podarwic,0297::SB14,5307 HA,737,505,0,2,0,0,0,439,68,0,0,0,0,0,507,46,308,24,45,49,13,5,15
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Dorpshuis den Ham,0297::SB15,5305 CP,1291,753,5,1,0,0,0,669,90,0,0,0,0,0,759,101,199,169,96,89,51,22,26
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Dorpshuis  't Gement,0297::SB16,5308 KB,1592,790,2,2,0,0,0,687,107,0,0,0,0,0,794,143,176,82,209,67,53,21,39
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Zalencentrum Gambora,0297::SB17,5311 PC,755,348,1,1,0,0,0,309,41,0,0,0,0,0,350,30,116,15,55,43,56,10,23
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Mobiel stembureau,0297::SB18,5301 GL,0,302,1,2,0,0,0,285,20,0,0,0,0,0,305,54,17,67,25,39,48,33,19
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau De Harmonika,0297::SB19,5301 DA,752,307,2,1,0,0,0,286,24,0,0,0,0,0,310,95,25,41,15,40,52,15,24
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Pand 9,0297::SB20,5301 PA,1253,386,0,0,0,0,0,350,36,0,0,0,0,0,386,97,4,75,18,61,75,20,36
