contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,FNP,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,ChristenUnie,Democraten 66 (D66)
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau EARNEWALD, ZALENCENTR. JAN WESTER",0737::SB11,9264 TM,324,206,0,1,0,0,0,191,16,0,0,0,0,0,207,40,51,35,35,20,9,16
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau SUWALD, SUDERFINNE",0737::SB12,9265 LS,476,358,0,1,0,0,0,325,34,0,0,0,0,0,359,151,39,6,52,60,31,19
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau TYTSJERK, YN 'E MANDE",0737::SB13,9255 KC,1247,768,2,4,0,10,0,715,69,0,0,10,0,0,784,120,93,122,165,147,73,48
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau HURDEGARYP, BENNEMASTATE",0737::SB14,9254 DE,701,501,2,0,0,0,0,468,35,0,0,0,0,0,503,98,88,66,58,106,41,44
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau HURDEGARYP, IT MASKELYN",0737::SB15,9254 GM,1606,833,3,4,0,0,0,790,51,1,0,1,0,0,841,168,91,89,99,218,99,69
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau HURDEGARYP, NIEUW PERSPECTIEF",0737::SB16,9254 CV,1515,885,7,7,0,0,0,835,64,0,0,0,0,0,899,190,129,129,86,223,62,66
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau RYPTSJERK, DE EINEKOER",0737::SB17,9256 HR,609,393,4,1,0,0,0,364,34,0,0,0,0,0,398,82,105,25,41,74,35,31
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau GYTSJERK, DE CANTERLANDEN",0737::SB18,9061 CC,953,639,3,0,0,0,0,581,61,0,0,0,0,0,642,76,107,138,125,121,26,46
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau MUNEIN, DE MOUNESTIEN",0737::SB19,9063 JL,571,332,2,1,0,0,0,316,19,0,0,0,0,0,335,83,53,35,52,52,27,30
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau OENTSJERK, NIEUW HEEMSTRASTATE",0737::SB20,9062 GX,1485,955,6,4,0,10,0,897,78,0,0,10,0,0,975,207,179,150,104,137,85,93
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau ALDTSJERK, OEREIN",0737::SB21,9064 KE,508,329,2,0,0,0,0,312,19,0,0,0,0,0,331,38,64,51,66,59,12,39
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau WYNS, DE SKULE",0737::SB22,9091 BC,193,97,0,0,0,0,0,90,7,0,0,0,0,0,97,11,14,14,19,19,8,12
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau GYTSJERK, OPENBARE BIBLIOTHEEK",0737::SB23,9061 BE,878,523,1,6,0,0,0,490,40,0,0,0,0,0,530,76,91,94,88,88,34,52
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau BURGUM, HULPMIDDELENCENTRUM",0737::SB24,9251 GA,1467,716,4,2,0,0,0,638,84,0,0,0,0,0,722,153,164,80,91,90,96,42
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau BURGUM, HET MARTINUSHUIS",0737::SB25,9251 KA,872,571,0,0,0,0,0,550,21,0,0,0,0,0,571,115,118,63,122,59,54,40
