contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Beter Voor Dordt,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),ChristenUnie-SGP,VVD,Verenigde Senioren Partij,GROENLINKS,10,PVV (Partij voor de Vrijheid),Dordtse Partij,Gewoon Dordt
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Zorgcentrum De Linde,0505::SB17,3312 GT,1840,1070,4,2,0,0,0,986,91,1,0,1,0,0,1077,240,104,95,45,67,101,93,49,158,8,59,10,41
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Kerkgebouw Pinkstergemeente,0505::SB19,3312 AM,976,490,1,0,0,0,0,436,55,0,0,0,0,0,491,76,47,47,24,31,46,113,23,41,2,20,7,13
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Dordtse Vrije School,0505::SB20,3312 NB,1435,721,0,1,0,5,0,656,71,0,0,5,0,0,727,99,51,72,41,60,86,45,30,150,5,52,10,20
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau School De Repelaer,0505::SB22,3312 LN,1483,748,4,0,0,0,0,690,62,0,0,0,0,0,752,139,64,87,42,36,117,45,33,92,4,53,15,21
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Sportcomplex Sport+,0505::SB23,3312 KJ,0,217,1,1,0,0,0,196,22,0,1,0,1,0,218,38,26,22,10,7,23,27,26,18,0,11,2,7
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Wantijschool,0505::SB26,3313 GL,1343,584,1,5,0,0,0,533,57,0,0,0,0,0,590,123,25,56,32,47,54,46,41,58,9,57,18,18
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau School De Regenboog,0505::SB27,3313 BN,1179,478,2,1,0,0,0,441,40,0,0,0,0,0,481,94,41,53,20,31,39,29,48,34,0,54,17,18
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Woon- en Zorgcentrum Merwelanden,0505::SB29,3313 EM,1164,521,3,4,0,0,0,487,41,0,0,0,0,0,528,109,54,39,35,40,24,33,74,30,2,62,6,13
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Prinses Julianaschool,0505::SB33,3314 KT,1320,513,2,6,0,0,0,455,66,0,0,0,0,0,521,72,50,106,21,45,48,19,23,48,2,58,8,13
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Prinsemarij,0505::SB34,3314 JR,2514,1210,4,5,0,0,0,1143,76,0,0,0,0,0,1219,204,72,147,66,98,151,64,73,153,4,112,34,32
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Gebouw Dorswedo,0505::SB36,3314 GR,1853,858,9,3,0,8,0,790,88,0,0,8,0,0,878,138,55,115,39,48,110,63,70,84,3,79,22,32
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Prins Bernhardschool,0505::SB37,3314 WZ,1401,683,1,4,0,0,0,623,66,1,0,1,0,0,689,133,64,47,20,53,67,72,37,41,2,104,13,30
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Het Weizigt NMC,0505::SB38,3314 BH,1245,656,1,0,0,0,0,578,79,0,0,0,0,0,657,86,76,76,35,30,86,66,21,96,6,48,10,20
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau School De Fontein,0505::SB42,3314 TN,2137,891,1,10,0,2,0,793,112,1,0,3,0,0,905,187,39,136,63,62,66,47,46,100,8,87,22,28
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Het Waterwiel,0505::SB50,3317 NJ,1424,597,2,3,0,0,0,547,55,0,0,0,0,0,602,108,40,74,70,58,31,38,48,31,2,68,16,13
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Speeltuin Zeehavenkwartier,0505::SB51,3317 ZV,459,97,0,1,0,0,0,80,18,0,0,0,0,0,98,13,7,2,4,5,0,3,13,1,0,40,2,7
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Wijkcentrum De Admiraal,0505::SB52,3317 BC,1361,584,0,2,0,2,0,525,59,0,2,0,0,0,584,109,39,53,67,50,33,53,34,39,1,72,14,20
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Wooncentrum Watersteijn,0505::SB54,3317 NV,978,532,1,3,0,0,0,471,65,0,0,0,0,0,536,69,69,36,32,38,57,111,30,16,1,46,13,14
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Postillion Hotel,0505::SB55,3316 EH,667,307,0,0,0,0,0,274,33,0,0,0,0,0,307,29,29,10,15,28,40,73,16,21,6,30,3,7
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Wooncentrum De Klockelaer,0505::SB60,3317 JR,1144,563,4,9,1,0,0,533,42,0,1,0,0,0,575,113,33,23,35,48,36,44,76,22,2,95,13,23
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau J.F. Kennedyschool,0505::SB61,3317 KM,1315,526,2,7,0,0,0,482,53,0,0,0,0,0,535,91,33,57,42,48,39,46,41,39,6,55,12,17
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Trefpunt de Nieuwe Stoof,0505::SB65,3317 LA,1704,708,11,5,0,0,0,662,62,0,0,0,0,0,724,122,56,87,44,83,33,43,61,51,3,75,22,28
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Zorgcentrum Vreedonk,0505::SB66,3317 HS,964,616,4,0,0,3,0,566,57,0,0,3,0,0,623,103,100,42,23,14,152,55,32,37,2,36,2,18
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Bewonersvereniging 't Trefpunt,0505::SB70,3318 JJ,1398,671,1,4,0,2,0,620,58,0,0,2,0,0,678,153,66,49,48,36,61,72,50,41,2,70,9,14
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Winkelcentrum Sterrenburg,0505::SB71,3318 JW,1361,758,5,5,0,0,0,710,59,1,0,1,0,0,769,158,82,45,46,45,68,86,60,57,2,77,15,17
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Cultureel Centrum Sterrenburg,0505::SB72,3318 CB,1584,864,4,8,0,1,0,694,181,0,1,0,0,0,875,192,79,57,81,87,110,40,63,57,3,75,10,10
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Verpleeghuis De Sterrenlanden,0505::SB74,3328 HN,1592,788,4,2,0,0,0,700,94,0,0,0,0,0,794,157,107,51,39,50,91,87,49,53,1,79,8,16
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Polyanderschool,0505::SB75,3328 GD,1147,554,2,2,0,1,0,495,62,0,1,0,0,0,557,69,72,22,36,22,159,38,47,21,2,47,9,10
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau School De Driehoek,0505::SB76,3328 KG,1398,722,1,6,0,7,0,647,75,0,7,0,0,0,722,160,91,69,40,34,39,87,48,58,1,59,8,28
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau School De Sterrekijker,0505::SB77,3328 KC,1284,594,0,0,0,0,0,530,64,0,0,0,0,0,594,131,75,48,43,36,30,86,35,40,2,39,6,23
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Gymzaal Ockenburg,0505::SB78,3328 TG,848,368,0,1,0,0,0,341,28,0,0,0,0,0,369,82,30,30,20,28,12,40,40,16,3,42,11,14
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Ontmoetingskerk,0505::SB81,3328 DN,2494,1237,4,5,0,0,0,1148,98,0,0,0,0,0,1246,255,116,101,68,74,87,165,91,105,5,114,19,37
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau School De Meridiaan,0505::SB82,3328 AE,1698,782,7,2,0,0,0,712,79,0,0,0,0,0,791,179,94,74,36,51,36,131,28,61,5,51,15,21
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau School Het Kristal Dependance,0505::SB83,3328 VC,791,364,0,2,0,0,0,331,35,0,0,0,0,0,366,81,33,24,20,16,30,47,21,29,1,37,4,21
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau School Het Kristal,0505::SB84,3328 ME,1893,940,3,1,0,0,0,852,94,2,0,2,0,0,946,172,124,83,50,44,98,111,55,71,0,75,23,34
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Verzorgingshuis Dubbelmonde,0505::SB91,3319 PH,2311,1140,4,0,0,0,0,1025,121,2,0,2,0,0,1146,219,201,80,50,20,155,183,75,52,3,73,3,26
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,"Stembureau Beatrixschool, de boerderij",0505::SB93,3319 EL,1845,796,0,1,0,8,0,689,100,0,8,0,0,0,789,139,127,44,24,37,109,170,26,31,3,55,7,24
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Verpleeghuis Het Parkhuis,0505::SB94,3319 GB,2585,1146,1,4,0,3,0,1028,126,0,0,3,0,0,1154,226,177,80,35,38,153,222,55,60,2,62,13,23
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Postduivenvereniging 'De Luchtbode',0505::SB95,3319 ET,370,250,2,0,0,0,0,232,20,0,0,0,0,0,252,62,42,16,9,5,25,46,11,10,0,18,2,4
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau OBS Dubbeldam,0505::SB96,3319 SC,1795,1043,0,1,0,4,0,930,118,0,0,4,0,0,1048,249,144,79,38,14,121,201,42,63,3,59,19,11
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau De Gravenhorst,0505::SB97,3319 PK,1439,907,3,1,0,3,0,834,80,0,0,3,0,0,914,183,162,33,33,31,100,150,82,44,1,56,13,19
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Hotel De Watertoren,0505::SB98,3319 LC,752,781,2,0,0,0,0,687,96,0,0,0,0,0,783,176,101,58,17,13,96,196,28,35,1,39,4,17
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau School De Griffioen,0505::SB102,3315 AE,2103,912,2,4,0,0,0,816,103,1,0,1,0,0,919,192,79,85,46,59,71,106,58,64,2,86,17,47
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Lucina Verloskundigenpraktijk,0505::SB103,3315 TD,1545,756,4,6,0,1,0,697,67,0,2,0,1,0,764,198,64,47,34,41,90,80,52,45,1,56,17,31
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Geert Grooteschool,0505::SB105,3315 SB,2359,1094,2,9,0,0,0,990,115,0,0,0,0,0,1105,239,137,79,47,54,71,152,74,87,0,93,25,36
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,"Stembureau Wielborgh, Het Polderwiel",0505::SB106,3315 KA,2527,1269,2,7,0,0,0,1164,114,0,0,0,0,0,1278,273,144,78,69,89,66,132,162,73,2,102,27,52
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Portacabin Parkeerplaats Stadspolderring,0505::SB107,3315 CK,1623,915,6,2,0,0,0,840,83,0,0,0,0,0,923,157,100,47,40,46,126,119,56,69,2,83,21,49
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Kandelaarkerk,0505::SB109,3315 KW,1025,514,1,1,0,1,0,471,44,0,1,0,0,0,515,89,66,49,21,19,85,57,30,46,2,35,4,11
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Speeltuin Stadspolders,0505::SB110,3315 TR,1067,546,1,2,0,0,0,494,55,0,0,0,0,0,549,119,48,54,30,25,19,96,46,33,2,38,10,26
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau School De Bever,0505::SB111,3315 MB,2015,1048,2,0,0,0,0,938,112,0,0,0,0,0,1050,210,110,111,52,37,53,206,28,75,6,86,35,39
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Johan Frisoschool Dependance,0505::SB112,3315 WX,1740,790,2,1,0,0,0,700,93,0,0,0,0,0,793,161,96,69,31,25,55,156,38,42,0,60,26,31
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,"Stembureau Centraal Station, Stationshal",0505::SB200,3311 JV,2323,1398,5,5,0,1,0,1309,100,0,0,1,0,0,1409,173,93,233,87,82,114,156,38,264,5,58,45,50
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,"Stembureau Albert Schweitzerziekenhuis, Dordtwijk",0505::SB210,3318 AT,1436,691,2,0,0,0,0,614,79,0,0,0,0,0,693,139,93,70,43,43,65,84,47,43,0,32,10,22
