contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,Democraten 66 (D66),Gemeentebelangen Doetinchem,GROENLINKS,PvLM,ChristenUnie-SGP,Partij voor Mens en Milieu (PMM),11,Lokaal Belang Doetinchem
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Basisschool Octa (A),0222::SB23,7006 SM,1675,755,2,1,0,4,0,692,62,0,4,0,0,0,754,116,83,95,83,106,95,72,17,29,9,10,40
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Sporthal de Bongerd,0222::SB24,7006 NH,1463,1161,6,10,0,0,0,1083,95,1,0,1,0,0,1178,172,141,144,135,150,139,90,39,35,16,25,75
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Basisschool Octa (B),0222::SB25,7006 SM,1449,771,4,2,0,5,0,707,75,0,0,5,0,0,782,122,88,87,82,117,113,72,22,23,4,8,33
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Kerkelijk Centrum De Wingerd,0222::SB26,7006 NK,1185,601,1,1,0,1,0,560,42,0,1,0,0,0,602,109,89,88,47,55,54,70,17,37,3,10,22
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Postkamer Stadsmuseum,0222::SB27,7001 BS,784,352,2,1,0,0,0,328,27,0,0,0,0,0,355,68,55,25,67,29,18,31,16,18,3,7,15
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Basisschool Dichterbij,0222::SB28,7007 LA,1046,821,1,1,0,0,0,741,82,0,0,0,0,0,823,100,93,87,143,140,101,65,21,18,17,3,33
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Appartementencomplex Waterrijk,0222::SB29,7007 LB,1616,902,2,0,0,0,0,808,93,0,3,0,0,0,901,152,104,77,145,124,100,83,21,32,12,10,42
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Woonzorgcentrum Oldershove,0222::SB30,7031 VE,2394,1274,2,1,0,0,0,1162,115,0,0,0,0,0,1277,364,71,126,156,87,48,78,199,14,3,11,117
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Verenigingsgebouw Ons Huis,0222::SB31,7031 AG,2049,1096,2,0,0,1,0,994,103,0,1,0,0,0,1097,320,52,93,89,74,32,57,264,10,7,2,96
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Dorpsaccomodatie De Horst,0222::SB32,7031 HJ,1242,535,0,1,0,0,0,494,42,0,0,0,0,0,536,257,21,47,44,34,30,17,46,1,6,3,29
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Happerij Het Dichtertje,0222::SB33,7007 GZ,1088,245,2,0,0,0,0,228,19,0,0,0,0,0,247,37,36,22,35,31,32,18,8,4,1,2,19
