contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen Rijswijk (GR),BETER VOOR RIJSWIJK,Democraten 66 (D66),VVD,CDA,Partij van de Arbeid (P.v.d.A.),Onafhankelijk Rijswijk,GROENLINKS,LP,RijswijksBelang,Partij Sociaal Cultureel Centrum (PSCC),WIJ.
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Gemeenschappelijke ruimte  t Hoekje,0603::SB22,2286 AJ,1296,519,7,2,0,0,0,465,54,0,9,0,0,0,519,45,97,30,62,57,38,27,56,12,39,0,56
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Groepswonen voor ouderen,0603::SB23,2287 EE,1735,617,12,4,0,0,0,575,58,0,0,0,0,0,633,48,136,45,59,54,33,41,63,11,58,2,67
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau CBS Melodie,0603::SB24,2287 BS,1277,500,5,5,0,0,0,472,37,0,1,0,0,0,509,40,97,32,31,42,49,28,56,9,43,0,73
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Buurthuis De Drassige Driehoek,0603::SB25,2288 CN,556,360,0,0,0,0,0,337,23,0,0,0,0,0,360,32,34,62,36,32,22,8,105,2,4,0,23
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Kunstgebouw (vm Chateau Blanc),0603::SB26,2289 BE,1319,748,7,3,0,0,0,688,69,0,1,0,0,0,757,43,100,113,111,50,77,24,163,4,14,1,48
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Prog.Bureau RijswijkBuiten,0603::SB27,2286 KC,872,491,0,0,0,0,0,431,60,0,0,0,0,0,491,46,65,84,70,37,24,35,86,7,8,1,28
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Bibliotheek Rijswijk,0603::SB28,2288 AG,608,301,1,1,0,0,0,277,26,0,0,0,0,0,303,28,43,26,40,27,14,11,48,15,16,2,31
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Middin Huis te Landelaan,0603::SB29,2283 VJ,1122,504,0,0,0,0,0,472,37,0,0,5,0,0,509,44,80,43,53,50,35,23,61,10,34,3,68
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Wellantcollege,0603::SB30,2283 SG,600,291,3,0,0,0,0,270,24,0,0,0,0,0,294,23,33,18,40,49,10,15,56,7,9,0,31
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau KC BuitenRijck,0603::SB31,2286 WH,777,384,2,1,0,0,0,388,0,0,0,1,0,0,388,21,48,86,59,25,7,19,84,5,6,0,24
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Oude gemeentehuis,0603::SB32,2283 GM,674,514,3,2,0,0,0,466,53,0,0,0,0,0,519,75,69,43,48,45,22,24,72,3,53,2,58
