contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,Algemeen Ouderen Verbond,CDA,GROENLINKS,PS Progressief Schiedam,ChristenUnie-SGP,Lokaal Onafhankelijk Schiedam (L.O.S.),DENK,Sociaal Liberaal Verbond (S.L.V.),OuderenPartij Schiedam
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Jacobs Gasthuis,0606::SB14,,2125,979,8,4,0,0,0,894,97,0,0,0,0,0,991,153,62,40,171,72,106,152,56,40,59,12,32,24
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Zorgcentrum François Haverschmidt,0606::SB15,,1254,610,1,2,0,0,0,549,64,0,0,0,0,0,613,86,23,19,192,52,40,49,57,15,36,6,18,17
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Gymzaal bij openbare basisschool Het Kleurrijk,0606::SB16,,1876,757,6,1,0,0,0,689,75,0,0,0,0,0,764,78,52,36,90,82,47,82,65,20,65,85,40,15
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Pronova College,0606::SB17,,2476,825,4,16,0,0,0,728,117,0,0,0,0,0,845,60,49,48,62,32,39,61,19,15,22,351,42,25
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Zorgcentrum Schiewaegh,0606::SB19,,2283,1027,11,9,0,0,0,933,114,0,0,0,0,0,1047,66,85,43,67,116,72,62,36,43,45,276,55,61
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Openbare basisschool Het Startblok,0606::SB20,,2840,846,6,10,0,7,0,703,166,0,0,7,0,0,869,76,43,37,41,54,28,30,11,9,13,464,23,17
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Wijkcentrum Dreesplein,0606::SB21,,2230,1212,8,16,0,0,0,1068,168,0,0,0,0,0,1236,107,106,86,97,91,34,79,34,26,39,426,46,41
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Openbare basisschool Het Windas,0606::SB23,,1108,814,3,5,0,0,0,718,104,0,0,0,0,0,822,111,36,19,208,70,102,99,38,19,47,16,18,31
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Krona Lounge,0606::SB24,,1012,1099,4,3,0,0,0,988,118,0,0,0,0,0,1106,147,65,40,306,133,92,69,58,25,54,19,26,65
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Recreatiezaal Van Beethovenflat,0606::SB25,,1936,872,5,6,0,1,0,783,101,0,0,1,0,0,884,76,69,67,69,132,72,64,50,34,55,71,21,92
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Zorg- en dienstencentrum De Nieuwe Harg,0606::SB26,,1062,525,0,2,0,0,0,487,40,0,0,0,0,0,527,45,38,18,82,89,67,30,28,12,34,13,16,53
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Zorgcentrum Harg-Spaland,0606::SB27,,2123,862,4,4,0,0,0,766,102,0,2,0,2,0,868,62,105,39,82,90,109,51,32,17,43,134,24,74
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Speelboerderij Strauss & Co,0606::SB28,,2101,570,1,5,0,0,0,502,74,0,0,0,0,0,576,58,52,37,47,84,54,39,22,23,34,58,13,49
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Wijkcentrum De Brug,0606::SB29,,1826,957,4,4,0,1,0,902,64,0,0,1,0,0,966,72,86,42,120,170,82,56,48,30,46,37,31,137
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,"Stembureau Dorpskerk Schiedam, Terpzicht",0606::SB30,,1653,822,2,2,0,0,0,711,115,0,0,0,0,0,826,78,55,36,182,92,104,71,64,35,31,11,18,45
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Geriatrisch centrum DrieMaasStede,0606::SB31,,1285,577,2,0,0,0,0,521,57,0,1,0,1,0,578,56,40,23,98,101,69,28,32,19,34,25,13,39
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Openbare basisschool De Klinker,0606::SB32,,1715,836,1,2,0,0,0,780,58,0,1,0,1,0,838,74,72,29,168,131,90,66,41,12,36,20,41,56
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Openbare basisschool De Klinker,0606::SB33,,1644,891,13,1,0,0,0,804,101,0,0,0,0,0,905,93,78,39,167,129,76,82,55,15,40,32,19,66
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Ontmoetingscentrum De Werf,0606::SB34,,1920,715,0,8,0,0,0,628,95,0,0,0,0,0,723,66,32,19,195,103,83,63,37,26,42,3,15,31
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau RK Basisschool De Vlinder,0606::SB35,,1852,861,3,1,0,0,0,778,87,0,0,0,0,0,865,95,34,14,346,110,58,49,28,9,47,16,28,27
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Mobiel Stembureau,0606::SB36,,0,404,4,1,0,0,0,360,49,0,0,0,0,0,409,34,37,19,62,50,29,39,11,13,29,34,24,23
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau RK basisschool St Jozefschool,0606::SB37,,867,535,3,0,0,0,0,488,50,0,0,0,0,0,538,82,44,21,106,58,43,78,32,11,30,4,14,12
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Stedelijk Museum Schiedam,0606::SB38,,1024,455,1,2,0,0,0,416,42,0,0,0,0,0,458,74,38,15,57,28,15,82,36,5,16,16,63,10
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Portocabin Kamilleveld,0606::SB39,,1829,667,2,1,0,0,0,601,72,3,0,3,0,0,673,88,32,14,201,83,33,40,44,15,42,31,14,30
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Hof in Zuid,0606::SB40,,1611,622,4,3,0,0,0,576,53,0,0,0,0,0,629,43,37,46,70,96,39,35,84,11,33,54,23,51
