contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Democraten 66 (D66),Gemeentebelangen Overbetuwe,VVD,GROENLINKS,Partij van de Arbeid (P.v.d.A.),ChristenUnie,BurgerBelangen Overbetuwe,Staatkundig Gereformeerde Partij (SGP)
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,"Stembureau Cunerahof, Driel",1734::SB11,6665 CS,1946,1002,2,0,0,6,0,911,87,0,6,0,0,0,998,279,81,263,73,113,86,29,73,5
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau RKSV Driel,1734::SB12,6665 CB,1391,566,4,1,0,0,0,495,76,0,0,0,0,0,571,123,62,145,73,61,37,19,41,5
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Dorpshuis Randwijks Hof,1734::SB13,6668 AS,1097,717,0,0,0,0,0,646,71,0,0,0,0,0,717,193,53,56,43,81,27,117,23,124
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Verenigingsgebouw de Poort Andelst,1734::SB14,6673 BM,1757,773,2,1,0,3,0,702,71,0,3,0,0,0,773,406,37,76,55,32,41,41,41,44
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,"Stembureau Zorgcentrum De Hoge Hof, Herveld",1734::SB15,6674 BR,1958,1025,4,2,0,0,0,928,110,7,0,7,0,0,1038,558,79,98,52,64,43,49,37,45
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Dorpshuis de Schakel,1734::SB16,6678 BT,1896,973,4,5,0,0,0,893,89,0,0,0,0,0,982,325,157,113,77,165,59,20,49,8
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Verenigingsgebouw Valburg,1734::SB17,6675 BR,1597,975,6,5,0,0,0,887,99,0,0,0,0,0,986,312,86,76,189,162,33,24,67,26
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,"Stembureau De Wanmolen, Zetten",1734::SB18,6671 BR,1193,934,1,1,0,1,0,855,80,0,1,0,0,0,935,232,92,119,105,134,64,78,50,60
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau basisschool Ds. van Lingen,1734::SB19,6671 AN,1432,813,8,2,0,0,0,728,95,0,0,0,0,0,823,192,67,117,81,82,66,95,50,63
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,"Stembureau De Wanmolen 2, Zetten",1734::SB20,6671 BR,1292,654,3,2,0,4,0,576,79,0,4,0,0,0,655,165,64,91,80,90,39,51,30,44
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Kruisakkers 2,1734::SB44,6662 DV,1404,764,3,4,0,1,0,704,66,0,1,0,0,0,770,142,147,104,73,103,62,32,97,4
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau multifunctioneel centrum De Zon,1734::SB88,6661 TW,2589,1530,2,4,0,1,0,1343,192,0,1,0,0,0,1535,292,280,245,226,221,116,35,108,7
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau De Hoendrik,1734::SB92,6674 BW,1,325,0,0,0,0,0,289,36,0,0,0,0,0,325,180,30,43,14,15,14,10,13,6
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau dorpshuis Beatrix (13-21 uur),1734::SB93,6677 PG,368,207,1,3,0,0,0,188,23,0,0,0,0,0,211,68,5,22,24,37,14,5,15,17
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau De Bongerd,1734::SB101,6666 CR,1359,651,2,0,0,0,0,572,83,0,0,2,0,2,655,150,57,127,88,49,94,44,36,6
