contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Weert Lokaal,CDA,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),DUS Weert,Juist495,Partij voor Weert
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Schutterslokaal De Krang,0988::SB17,,717,413,3,2,0,0,0,383,35,0,0,0,0,0,418,76,179,51,20,11,22,30,8,16
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau School het Palet,0988::SB20,,930,415,4,6,0,0,0,389,36,0,0,0,0,0,425,136,46,37,49,23,28,58,16,22
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Woonzorgcentrum Hornehoof,0988::SB22,,2268,821,6,3,0,0,0,767,63,0,0,0,0,0,830,277,96,141,55,27,35,147,32,11
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Basisschool Leuken,0988::SB23,,1301,965,3,2,0,0,0,884,86,0,0,0,0,0,970,525,94,83,87,29,45,62,21,19
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Brede School Moesel,0988::SB24,,1191,645,6,4,0,0,0,595,61,1,0,1,0,0,656,252,106,85,57,28,28,58,10,21
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau St. Theuniskapel,0988::SB25,,1366,887,1,0,0,0,0,778,110,0,0,0,0,0,888,196,129,271,42,26,72,72,54,25
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Wijkgebouw Groenewoud,0988::SB26,,1328,623,7,5,0,0,0,573,62,0,0,0,0,0,635,244,62,77,64,48,22,90,9,7
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Scouting St. Job Leuken-Weert,0988::SB27,,2065,822,2,9,0,0,0,748,85,0,0,0,0,0,833,424,84,91,56,33,36,58,15,25
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Stemlokaal Moesel,0988::SB28,,1196,644,6,4,0,0,0,587,67,0,0,0,0,0,654,241,100,82,60,42,19,59,17,24
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Odaschool Annendaal,0988::SB30,,1660,814,5,3,0,0,0,745,77,0,0,0,0,0,822,294,85,102,110,43,62,65,24,29
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Gemeenschapscentrum De Zaal,0988::SB34,,1931,1185,4,1,0,0,122,1067,1,0,0,0,0,0,1190,333,483,125,79,32,49,37,23,24
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Trefcentrum voor Ouderen,0988::SB35,,2372,1101,9,1,0,0,0,1021,90,0,0,0,0,0,1111,270,480,120,76,24,38,37,27,29
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Mobiel stembureau,0988::SB38,,1,547,5,4,0,0,0,525,31,0,0,0,0,0,556,207,91,87,43,17,38,49,8,7
