contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,Gewoon Nijmegen,CDA,Stadspartij De Nijmeegse Fractie (DNF),9,VoorNijmegen.NU,Partij voor de Dieren,ChristenUnie,OPA,50PLUS
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Oud Burgeren Gasthuis,0268::SB11,6524 PJ,1422,1234,8,2,0,2,0,1136,110,0,0,2,0,0,1246,113,283,195,112,160,20,123,85,2,19,50,17,9,46
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Basisschool Klein Heyendaal,0268::SB12,6524 NP,1504,1011,4,0,0,0,0,1014,1,0,0,0,0,0,1015,69,255,208,96,138,22,74,62,1,36,25,17,0,8
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Karel de Grote College,0268::SB13,6524 AJ,1512,883,3,0,0,0,0,822,64,0,0,0,0,0,886,68,284,180,68,102,13,28,60,2,11,47,9,1,10
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wijkcentrum Daalsehof,0268::SB14,6521 GT,1554,1158,6,1,0,0,0,1100,66,0,0,1,0,0,1166,151,368,194,90,99,24,26,64,1,17,71,22,7,24
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Het Badhuis,0268::SB15,6523 CD,1707,1844,3,2,0,0,0,1731,135,0,0,17,0,0,1866,225,628,328,142,158,39,61,93,0,23,95,25,2,25
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Ark van Oost,0268::SB16,6523 HR,839,583,3,1,0,0,0,559,29,0,0,1,0,0,588,136,155,50,39,32,16,17,42,5,8,33,10,7,33
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Amrâth Hotel Belvoir,0268::SB17,6522 AX,1907,1155,7,2,0,8,0,1072,84,0,8,0,0,0,1156,67,289,204,105,175,28,74,74,2,29,54,13,6,35
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Basisschool De Sterredans,0268::SB18,6522 HE,2106,1054,1,4,0,0,0,954,105,0,0,0,0,0,1059,77,237,195,122,131,28,77,64,1,19,48,10,8,37
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Voormalig Montessori College Verbaas Jezelf,0268::SB19,6522 CH,1362,635,0,2,0,1,0,600,38,0,0,1,0,0,638,88,167,87,59,77,13,37,31,2,8,35,4,11,16
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Euro-Center Nimco,0268::SB20,6521 NP,1795,1138,5,0,0,0,0,1059,84,0,0,0,0,0,1143,126,379,164,87,108,29,40,74,1,14,69,10,1,36
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Stip Oost,0268::SB21,6523 EV,1554,969,1,3,0,1,0,885,89,0,0,1,0,0,974,169,283,121,74,54,34,18,74,2,13,53,10,12,52
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Erica Terpstra Sportfondsenbad,0268::SB22,6523 MJ,1600,977,3,2,0,2,0,876,108,0,0,2,0,0,984,89,206,178,50,219,22,69,45,1,17,51,7,2,21
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau De Waalboog locatie Joachim en Anna,0268::SB23,6523 PA,1716,1020,4,2,0,0,0,925,101,0,0,0,0,0,1026,81,286,171,73,184,9,82,40,1,7,44,15,4,23
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau De Waalboog locatie Nijevelt,0268::SB24,6525 AH,1654,766,11,1,0,0,0,757,21,0,0,0,0,0,778,56,283,159,47,63,21,42,26,0,6,33,15,1,14
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Voorzieningenhart 't Hert,0268::SB25,6531 CS,2060,1266,7,14,0,5,0,1181,111,0,0,5,0,0,1292,197,375,196,96,77,39,26,109,3,27,60,15,15,31
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wijkcentrum De Klokketoren,0268::SB26,6532 AD,1244,887,0,2,0,1,0,831,59,0,0,1,0,0,890,152,269,113,61,61,27,26,56,0,38,41,6,3,34
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Martinus van Beekschool,0268::SB27,6531 RR,1570,973,2,0,0,0,0,905,70,0,0,0,0,0,975,80,296,154,70,97,33,54,78,0,17,48,12,5,29
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau VC Nijmegen,0268::SB28,6531 TH,1681,1282,3,1,0,3,0,1172,111,0,3,0,0,0,1283,131,390,217,102,118,28,81,68,0,24,55,17,4,47
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau School ROC Marterstraat,0268::SB29,6531 KA,1385,1143,0,0,3,0,0,1044,102,0,0,3,0,0,1146,72,405,195,118,112,17,69,65,3,10,37,12,4,24
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau CWZ,0268::SB30,6532 SZ,1119,515,2,7,0,1,0,493,29,0,1,0,0,0,522,79,113,80,32,45,19,26,36,0,17,26,8,3,31
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau De Blikvanger,0268::SB31,6532 DB,1946,838,3,3,0,0,0,773,70,0,1,0,0,0,843,124,173,106,74,84,22,42,78,4,20,40,10,22,39
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Café Piet Huisman,0268::SB32,6533 BT,1794,1248,0,3,0,1,0,1154,98,0,0,1,0,0,1252,153,321,218,86,141,31,46,97,0,44,49,17,5,40
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Turks Cultureel Centrum,0268::SB33,6533 SZ,1878,999,5,3,0,0,0,930,77,0,0,0,0,0,1007,120,277,142,67,104,26,47,82,0,24,38,14,9,49
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Hennes Automobielen BV,0268::SB34,6533 HJ,2322,1192,5,6,0,0,0,1120,94,0,0,11,0,0,1214,231,264,137,95,92,44,59,110,1,32,52,8,19,48
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wijkcentrum De Schakel,0268::SB35,6533 MA,2009,1070,4,3,0,5,0,1015,57,0,5,0,0,0,1072,234,196,95,79,59,42,56,99,8,22,49,13,16,102
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Ontmoetingscentrum De Toermalijn,0268::SB36,6534 VZ,1947,634,3,1,0,0,0,602,35,0,1,0,0,0,637,123,122,73,41,50,26,31,62,4,22,41,8,7,24
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau School De Vossenburcht,0268::SB37,6535 TK,1849,805,2,3,1,0,0,737,74,0,0,1,0,0,811,168,103,64,58,82,41,55,86,0,20,35,7,35,51
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wijkcentrum Hatert,0268::SB38,6535 RZ,2884,1192,3,3,0,0,0,1106,92,0,0,0,0,0,1198,387,195,75,70,50,43,41,117,8,28,40,26,29,83
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Restaurant Bij de Buren,0268::SB39,6535 NB,2394,739,1,5,0,0,0,686,52,0,7,0,0,0,738,158,98,49,47,58,34,31,76,9,38,28,10,16,87
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Universiteitsrestaurant De Refter,0268::SB40,6525 HT,198,1782,15,6,0,0,0,1737,66,0,0,0,0,0,1803,84,737,413,83,169,18,63,47,0,16,103,45,1,3
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Woonzorgcentrum Boszicht,0268::SB41,6525 TJ,1423,821,1,2,0,0,0,768,58,0,0,2,0,0,826,132,183,104,68,75,25,57,61,4,6,36,18,5,47
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Roomsch Leven,0268::SB42,6525 SG,1536,1176,2,9,0,4,0,1078,105,0,4,0,0,0,1183,156,311,117,87,103,25,108,106,4,20,73,16,7,43
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau De Biezantijn,0268::SB43,6541 TN,2531,1440,6,2,0,0,0,1328,130,0,0,10,0,0,1458,264,314,164,121,118,104,57,118,3,28,69,24,16,40
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wijkcentrum Titus Brandsma,0268::SB44,6542 VJ,1788,1652,8,0,0,1,0,1660,1,0,0,1,0,0,1661,221,511,251,107,131,56,54,116,2,31,81,23,11,57
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wooncomplex Insulinde,0268::SB45,6542 RT,1926,506,1,0,0,0,0,471,38,0,0,2,0,0,509,88,98,81,42,43,28,26,41,1,8,20,5,7,18
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wijkcentrum Villanova,0268::SB46,6542 JP,1956,932,7,4,0,1,0,862,82,0,0,1,0,0,944,176,256,114,66,62,45,27,66,2,12,41,29,12,24
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Sint Jozefklooster,0268::SB47,6543 KG,1045,578,3,1,0,0,0,534,53,0,0,5,0,0,587,37,126,77,71,63,18,56,43,5,10,33,6,7,26
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wijkcentrum Heseweide,0268::SB48,6543 NA,1280,796,5,4,0,0,0,743,62,0,0,0,0,0,805,140,171,87,58,51,35,27,71,5,14,48,18,19,52
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau  Brede School De Zonnewende,0268::SB49,6543 RN,1306,627,2,0,0,0,0,607,40,0,0,18,0,0,647,116,163,66,34,42,27,27,50,3,14,31,15,16,23
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Stichting GVO,0268::SB50,6532 XP,1754,753,3,6,0,0,0,702,61,1,0,1,0,0,763,65,231,124,56,85,18,24,54,3,20,30,11,10,22
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Zorgcentrum Huize Rosa,0268::SB51,6543 JG,1841,858,3,2,0,0,0,808,55,0,0,0,0,0,863,81,197,125,46,81,43,98,70,3,13,32,29,12,28
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wijkcentrum De Schalmei,0268::SB52,6544 TN,2345,1044,9,16,0,0,0,978,91,0,0,0,0,0,1069,234,170,92,108,54,53,65,92,2,36,28,18,34,58
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Woonzorgcentrum De Honinghoeve,0268::SB53,6544 RA,1987,607,1,5,0,0,0,556,57,0,0,0,0,0,613,142,91,57,64,33,25,29,44,8,19,14,12,27,42
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Creatief Centrum Nijmegen-Zuid,0268::SB54,6537 PN,2019,807,2,3,0,0,0,811,1,0,0,0,0,0,812,209,115,56,64,52,42,44,100,4,22,21,10,7,61
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Bibliotheek Zwanenveld,0268::SB55,6538 SC,1252,942,1,7,0,1,0,889,60,0,1,0,0,0,949,258,116,67,61,53,60,39,77,5,23,38,15,33,97
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau School Prins Maurits,0268::SB56,6538 NK,1353,484,4,1,0,0,0,449,40,0,0,0,0,0,489,119,57,38,25,26,36,27,51,7,22,12,16,9,39
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Ontmoetingsruimte Leuvenshof,0268::SB57,6538 ML,1232,295,3,0,0,0,0,279,19,0,0,0,0,0,298,80,36,12,18,11,23,14,31,0,12,12,13,11,22
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau School De Meiboom,0268::SB58,6537 HD,1586,480,6,4,0,0,0,436,54,0,0,0,0,0,490,130,69,25,54,18,20,26,58,0,14,19,13,8,26
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wijkcentrum Dukenburg,0268::SB59,6537 EP,1751,797,6,8,0,0,0,741,70,0,0,0,0,0,811,182,97,63,63,56,45,44,91,4,19,26,16,16,75
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Maatschap v. Fysiother. Lankforst,0268::SB60,6538 HA,1662,730,2,1,0,1,0,683,51,0,0,1,0,0,734,169,91,63,56,50,21,35,69,1,52,32,20,12,59
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Basisschool De Aldenhove,0268::SB61,6537 DG,1936,727,4,9,0,0,0,661,76,0,3,0,0,0,737,219,80,36,51,48,37,54,54,1,40,22,9,32,44
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wijkcentrum De Turf,0268::SB62,6538 DH,1923,748,6,7,0,0,0,705,56,0,0,0,0,0,761,195,80,46,44,35,50,49,83,1,31,25,15,16,78
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Prins Clausschool,0268::SB63,6536 DB,1456,1114,1,4,0,0,0,1115,1,0,3,0,0,0,1116,163,183,143,81,179,18,77,84,7,35,51,27,8,58
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau De Dageraad,0268::SB64,6536 AC,1398,773,1,1,0,1,0,725,51,0,0,1,0,0,776,139,111,76,59,84,35,38,66,4,17,39,28,18,59
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau JC De Sprok,0268::SB65,6546 JZ,2031,528,4,0,0,0,0,496,36,0,0,0,0,0,532,73,48,29,21,71,41,27,107,3,30,12,10,27,29
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Sporthal De Horstacker,0268::SB66,6546 EK,2051,791,3,4,0,0,0,724,76,0,0,2,0,0,800,199,116,65,56,63,54,21,80,0,29,38,8,12,50
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau School De Luithorst,0268::SB67,6545 LX,1518,631,2,1,0,1,0,583,50,0,1,0,0,0,633,125,91,53,37,62,38,31,78,5,22,16,14,24,35
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Agneskerk Lindenholt,0268::SB68,6545 AW,1720,822,5,3,0,0,0,776,59,0,0,5,0,0,835,121,124,67,66,78,54,64,84,2,42,22,27,12,59
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Bistro `t Zwaantje,0268::SB69,6545 AV,1364,523,0,0,0,4,0,474,53,0,0,4,0,0,527,92,83,48,34,45,26,34,53,2,25,14,8,11,48
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau School De Wingerd,0268::SB70,6546 XN,1574,583,3,5,0,1,0,537,53,0,1,0,0,0,590,83,49,61,38,62,46,28,85,1,35,17,17,37,24
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wijkcentrum De Brack,0268::SB71,6546 XS,1425,908,3,3,0,0,0,815,99,0,0,0,0,0,914,170,115,75,53,90,67,33,90,4,43,36,18,42,72
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau De Klif,0268::SB72,6515 DJ,2340,1753,0,6,4,0,0,1570,193,0,0,4,0,0,1763,119,350,310,145,295,36,126,176,1,54,85,17,11,28
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Dependance OBS De Oversteek,0268::SB73,6515 AE,2622,1043,2,1,0,0,0,927,114,0,5,0,0,0,1041,50,238,162,67,226,28,78,79,1,26,49,12,3,24
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Voorzieningenhart De Ster,0268::SB74,6663 HA,1526,1345,2,2,0,1,0,1202,146,0,1,0,0,0,1348,127,351,234,108,186,37,66,82,0,41,61,25,4,23
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Sportcentrum De Spil,0268::SB75,6663 CD,1488,1219,1,5,0,0,0,1114,110,0,1,0,0,0,1224,94,281,203,79,190,38,121,79,3,20,58,17,6,30
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Betuweland lokatie St. Jozef,0268::SB76,6663 CP,1583,946,3,1,0,0,0,873,76,0,1,0,0,0,949,84,187,130,60,166,19,99,62,4,7,59,12,4,53
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Centraal Station,0268::SB77,6512 AB,0,2010,14,6,0,15,0,1952,93,0,0,15,0,0,2045,163,706,469,112,177,30,70,86,3,26,117,26,4,21
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Radboudumc,0268::SB78,6525 GA,0,1480,11,1,0,1,0,1407,86,0,0,1,0,0,1493,58,409,396,96,199,31,75,85,1,23,51,36,6,14
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Kindcentrum De Verwondering,0268::SB79,6663 MH,1501,608,4,1,0,0,0,552,61,0,0,0,0,0,613,63,153,116,35,79,10,28,49,1,11,24,5,6,28
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Sportzaal De Zwaluw,0268::SB80,6541 NP,2880,1102,3,3,0,0,0,1054,54,0,0,0,0,0,1108,158,324,170,77,84,48,31,70,0,22,59,11,7,41
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Basisschool Michiel De Ruyter,0268::SB81,6542 VJ,2086,366,0,1,0,0,0,341,26,0,0,0,0,0,367,33,134,71,17,36,5,8,30,0,5,16,2,4,5
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Diaconaal Centrum De Haard,0268::SB82,6531 HW,1484,584,4,0,0,0,0,543,43,0,2,0,0,0,586,60,217,105,30,57,14,21,24,0,10,23,3,6,14
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Sportfondsenbad Nijmegen-West,0268::SB83,6543 VW,1056,508,2,7,0,3,0,487,33,0,0,3,0,0,520,43,121,59,25,65,38,36,43,5,22,18,6,6,21
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau ROC Campusbaan,0268::SB84,6512 BT,1182,402,2,1,0,0,0,386,23,0,0,4,0,0,409,42,132,79,24,48,5,3,39,0,8,8,6,1,7
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Thermion,0268::SB85,6663 MM,1500,664,2,2,0,0,0,607,61,0,0,0,0,0,668,62,141,120,49,118,22,44,51,0,15,26,5,2,9
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau HAN,0268::SB86,6525 EN,1793,864,7,2,0,0,0,814,59,0,0,0,0,0,873,60,302,173,50,90,24,48,51,3,12,25,17,0,9
