contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Rosmalens Belang,VVD,CDA,RAADSGROEPERING '' BOSCH BELANG '',SP (Socialistische Partij),Bossche Volks Partij,Partij van de Arbeid (P.v.d.A.),GROENLINKS,De Bossche Groenen,50PLUS,"""Leefbaar 's-Hertogenbosch""  Paul Kagie",Lokaal Liberaal 's-Hertogenbosch,Buitengewoon Ongewoon,PVV (Partij voor de Vrijheid),KNILLIS,gewoon ge-DREVEN
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Lucaskerk,0796::SB11,,1264,643,4,3,0,0,0,590,59,0,1,0,0,0,649,71,4,108,81,35,56,35,44,59,66,12,33,5,0,16,18,0
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau BS Het Bossche Broek (zuid),0796::SB12,,1360,1299,5,6,0,0,0,1214,96,0,0,0,0,0,1310,182,4,252,195,63,76,46,65,102,111,36,90,24,0,22,29,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Brede Bossche School Zuid,0796::SB13,,1308,405,3,4,0,0,0,373,39,0,0,0,0,0,412,52,2,33,29,8,33,48,40,41,57,7,17,4,3,24,7,0
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Provinciehuis,0796::SB14,,569,362,1,1,0,0,0,330,34,0,0,0,0,0,364,60,11,45,36,11,21,10,25,53,22,14,21,2,1,15,15,0
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Basisschool Oberon,0796::SB20,,1383,695,4,3,0,0,0,629,73,0,0,0,0,0,702,65,7,64,43,40,51,126,37,79,55,25,30,4,2,45,19,3
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Park Eemwijk,0796::SB21,,1319,557,1,2,0,0,0,519,41,0,0,0,0,0,560,51,6,68,54,30,53,51,31,76,41,20,28,6,6,21,12,3
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Zorgcentrum De Grevelingen,0796::SB22,,1546,584,4,3,0,0,0,545,46,0,0,0,0,0,591,49,3,30,43,40,72,110,35,57,39,18,42,1,3,32,8,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Brede Bossche School de Graaf,0796::SB23,,1389,788,8,9,0,0,0,739,66,0,0,0,0,0,805,84,7,86,40,34,61,106,47,109,63,15,50,27,6,33,14,6
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Brede Bossche School aan de Aa,0796::SB24,,1261,457,1,11,0,0,0,426,43,0,0,0,0,0,469,31,7,34,16,16,52,100,26,59,36,11,18,5,5,31,8,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Verzamelgebouw Seringenstraat,0796::SB25,,1278,645,1,0,1,0,0,574,71,0,1,0,0,0,645,53,5,64,30,26,74,103,66,79,57,17,23,7,3,28,8,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Welzijnsonderneming Divers,0796::SB26,,1172,225,0,0,0,0,0,203,20,2,2,0,0,0,223,19,1,28,15,4,16,19,26,29,33,7,11,2,0,11,4,0
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Buurthuis Graafsewijk Noord,0796::SB29,,1229,489,2,1,0,0,0,454,38,0,0,0,0,0,492,44,1,52,23,23,50,52,31,45,71,21,34,2,4,30,4,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Dependance Sancta Maria Mavo,0796::SB30,,1568,659,5,2,0,0,0,616,50,0,0,0,0,0,666,128,4,61,33,28,70,34,46,87,80,11,21,9,0,22,24,1
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau H. Sacramentskerk,0796::SB31,,1552,697,0,1,0,0,0,657,42,0,0,1,0,0,699,121,1,99,53,9,35,24,40,108,117,11,21,11,2,17,28,0
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Dagactiviteitencentrum De Stijl,0796::SB32,,1593,719,3,1,0,0,0,687,37,1,0,1,0,0,724,86,2,60,28,15,50,47,59,125,183,10,23,4,2,5,19,1
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Trefpunt De Slinger,0796::SB33,,1214,967,8,8,0,0,0,907,76,0,0,0,0,0,983,158,7,92,42,34,69,57,80,164,134,21,41,14,8,18,27,1
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau BBS Boschveld,0796::SB40,,1343,524,2,5,0,0,0,488,42,0,1,0,0,0,530,60,3,24,21,28,47,31,58,99,85,8,27,3,4,17,6,3
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Steunpunt De Westhoek,0796::SB41,,1221,469,3,1,0,1,0,440,32,0,1,0,0,0,472,54,8,50,37,26,42,32,45,49,40,11,43,1,3,19,5,4
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau 't Buurthuis,0796::SB42,,1600,571,3,3,0,0,0,529,48,0,0,0,0,0,577,72,2,46,33,55,27,89,48,62,27,19,37,4,1,40,7,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau RK Annakerk,0796::SB43,,1247,654,10,6,0,0,0,589,81,0,0,0,0,0,670,73,8,44,28,68,41,78,99,86,25,14,30,5,5,34,10,6
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Kindcentrum De Ontdekking,0796::SB44,,1408,699,2,4,0,0,0,637,68,0,0,0,0,0,705,62,4,55,59,47,42,67,94,93,40,20,65,2,3,37,9,0
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Woonzorgcentrum De Taling,0796::SB45,,1494,601,4,4,0,0,0,583,26,0,0,0,0,0,609,46,7,58,58,54,56,61,41,33,15,39,78,3,3,33,14,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau BBS De Kruiskamp Zuid,0796::SB46,,1689,583,6,1,0,0,0,539,51,0,0,0,0,0,590,45,4,44,45,68,54,73,57,56,9,30,42,6,5,39,5,1
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Gereformeerde Kerk 's-Hertogenbosch,0796::SB47,,1672,676,2,4,0,0,0,600,82,0,0,0,0,0,682,60,2,37,64,56,63,84,87,63,13,24,67,11,1,28,12,4
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau BBS De Kruiskamp Noord,0796::SB48,,1598,646,1,4,0,0,0,583,68,0,0,0,0,0,651,50,1,32,32,58,49,74,140,85,20,18,43,0,1,33,9,1
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Dagcentrum De Schalm,0796::SB49,,1489,524,1,1,0,0,0,472,54,0,0,0,0,0,526,32,1,29,34,47,56,93,50,44,7,16,59,3,3,43,2,5
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Weener XL,0796::SB50,,657,248,3,0,0,0,0,233,18,0,0,0,0,0,251,23,6,19,16,11,30,33,13,28,18,7,17,3,0,17,4,3
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Nico Schuurmanshuis,0796::SB51,,1319,545,3,3,0,0,0,514,37,0,0,0,0,0,551,64,7,39,44,36,59,67,24,45,40,21,47,12,3,25,10,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Novadic Kentron,0796::SB52,,1337,795,5,1,0,0,0,747,54,0,0,0,0,0,801,81,8,84,38,28,75,46,72,116,78,50,52,9,4,21,31,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Bossche Vakschool,0796::SB53,,1137,551,0,2,0,0,0,502,51,0,0,0,0,0,553,119,4,113,71,16,16,6,45,59,22,8,19,10,5,6,18,14
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Clubhuis Voetbalvereniging TGG,0796::SB55,,1248,388,0,0,0,0,0,352,37,1,0,1,0,0,389,15,3,21,18,45,61,45,25,39,19,15,22,3,9,34,5,9
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Centrum voor Tandzorg,0796::SB57,,1124,575,2,2,0,0,0,532,47,0,0,0,0,0,579,32,1,19,42,39,70,75,63,53,30,35,57,6,2,31,18,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Kindcentrum De Springplank,0796::SB58,,1253,329,4,0,0,0,0,301,32,0,0,0,0,0,333,19,1,14,20,22,35,60,33,39,22,13,17,1,3,27,3,0
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Jongerencentrum De Poort,0796::SB60,,1257,443,1,1,0,0,0,416,29,0,0,0,0,0,445,46,5,46,23,36,46,62,27,37,18,25,39,3,3,17,8,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Steunpunt Epigoon,0796::SB61,,1192,481,1,1,0,0,0,441,42,0,0,0,0,0,483,50,11,58,57,35,53,26,38,27,25,34,31,6,0,19,10,1
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Kindcentrum Wijboom,0796::SB63,,1370,575,1,0,0,0,0,521,55,0,0,0,0,0,576,45,18,59,32,49,71,50,45,40,54,20,39,10,2,22,15,4
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Sociaal Cultureel Centrum De Schans,0796::SB65,,1390,528,4,1,0,4,0,490,39,0,4,0,0,0,529,37,13,69,57,38,51,41,31,50,33,24,42,6,1,18,10,7
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Montessorischool Merlijn,0796::SB66,,1400,818,0,0,0,0,0,734,84,0,0,0,0,0,818,146,11,163,80,42,54,38,41,72,27,29,56,7,4,26,13,9
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Campanile Hotel,0796::SB67,,1537,627,2,2,0,0,0,568,64,1,0,1,0,0,632,79,10,113,70,48,37,46,44,39,18,16,41,11,2,37,9,7
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Basisschool Meander,0796::SB69,,1510,1071,6,2,0,0,0,974,105,0,0,0,0,0,1079,133,16,216,106,80,54,74,68,76,43,50,77,21,6,35,7,9
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Sociaal Cultureel Centrum d'n As,0796::SB70,,1615,829,3,2,0,0,0,738,96,0,0,0,0,0,834,90,96,125,144,30,48,69,44,35,20,27,30,12,4,24,6,25
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Kindcentrum Caleidoscoop,0796::SB71,,1584,773,3,1,0,0,0,698,79,0,0,0,0,0,777,101,56,168,93,43,28,42,62,34,30,13,45,12,2,33,8,3
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Basisschool 't Wikveld,0796::SB72,,1534,925,4,0,0,0,0,835,94,0,0,0,0,0,929,118,87,195,154,23,52,42,60,38,26,34,39,9,5,20,9,14
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Jenaplanschool Antonius Abt (Slot),0796::SB80,,1602,1033,0,5,0,0,0,932,104,0,2,0,0,0,1036,142,15,240,125,55,22,32,40,94,73,47,88,19,3,26,7,5
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Dorpshuis De Engelenburcht,0796::SB81,,1412,887,3,6,0,0,0,828,68,0,0,0,0,0,896,83,18,152,93,120,48,68,36,53,48,17,74,19,7,32,12,7
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Jenaplanschool Antonius Abt (Park),0796::SB82,,1265,626,8,2,0,0,0,576,60,0,0,0,0,0,636,90,14,113,58,66,27,52,27,47,24,10,51,10,3,24,6,4
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Mobiel stembureau (beperkt open),0796::SB90,,1347,175,1,0,0,0,0,161,16,1,0,1,0,0,177,12,30,16,56,5,12,6,5,5,1,7,8,1,0,3,1,7
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Tijdelijke Unit Station,0796::SB91,,1123,2058,16,5,0,0,0,1980,99,0,0,0,0,0,2079,460,26,282,134,70,119,35,128,341,223,21,87,21,13,47,39,12
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Steunpunt van Meeuwenhof,0796::SB100,,1206,659,2,1,0,0,0,610,51,0,1,0,0,0,661,33,225,37,50,12,45,16,15,20,12,28,15,1,0,12,2,136
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Sociaal Cultureel Centrum Perron- 3,0796::SB101,,1468,1060,4,1,0,0,0,972,93,0,0,0,0,0,1065,125,241,97,64,18,98,29,60,83,62,26,25,7,3,23,10,89
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Basisschool De Krommenhoek,0796::SB102,,1567,492,0,1,0,0,0,443,50,0,0,0,0,0,493,18,154,30,39,6,51,14,22,37,5,5,7,2,0,12,1,89
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Basisschool De Hobbit,0796::SB103,,1591,871,4,2,0,0,0,784,93,0,0,0,0,0,877,90,200,120,65,19,75,19,29,71,33,18,29,5,0,19,17,62
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Gymlokaal Basisschool De Overlaet,0796::SB104,,1129,835,4,3,0,0,0,760,82,0,0,0,0,0,842,72,247,78,43,18,65,18,27,69,40,15,14,4,4,28,9,84
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Kindcentrum 't Ven,0796::SB105,,1591,1085,2,2,0,3,0,994,98,0,0,3,0,0,1092,86,321,146,83,17,75,16,47,82,31,18,24,4,3,25,7,100
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau HEVO Seniorenvereniging,0796::SB106,,1420,655,0,1,0,0,0,592,64,0,0,0,0,0,656,37,187,46,64,13,61,28,31,41,8,22,13,3,2,13,8,78
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau R.K. Basisschool De Troubadour,0796::SB108,,1678,1198,4,3,0,0,0,1082,123,0,0,0,0,0,1205,144,285,256,164,18,34,19,44,57,37,24,30,12,1,15,6,52
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau De Vrolijke Schutters,0796::SB109,,1604,792,1,1,0,0,0,707,87,0,0,0,0,0,794,67,209,108,107,15,43,12,41,54,35,17,28,1,1,3,3,48
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Vakschool Schilders - Stukadoors,0796::SB110,,1643,658,6,4,0,0,0,607,61,0,0,0,0,0,668,70,77,95,48,23,68,33,22,45,45,18,44,11,5,24,15,15
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau SCC de Biechten,0796::SB111,,1001,1028,3,6,0,0,0,930,108,0,0,1,0,0,1038,89,82,103,99,48,130,63,86,91,45,48,43,23,1,36,20,21
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Kindcentrum Het IJzeren Kind,0796::SB112,,1600,773,3,1,0,0,0,720,57,0,0,0,0,0,777,95,72,95,67,35,79,53,37,55,38,28,59,13,7,26,8,6
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Kindcentrum Meerlaer,0796::SB114,,1336,637,0,0,0,0,0,575,63,1,0,1,0,0,638,87,113,110,57,5,43,24,24,47,13,41,16,9,2,16,4,26
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Rodenborch College,0796::SB115,,1048,689,3,1,0,2,0,639,56,0,0,2,0,0,695,71,181,56,43,10,58,24,31,58,46,20,11,4,4,15,9,48
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau EC 't Sparrenbos (De Vlek),0796::SB116,,1391,872,5,1,0,0,0,800,78,0,0,0,0,0,878,79,198,55,34,20,89,15,52,86,80,19,16,9,3,23,8,86
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Wijkonderkomen Rosmalen,0796::SB118,,872,320,0,0,0,0,0,275,45,0,0,0,0,0,320,12,93,20,66,8,13,7,1,13,3,9,9,1,3,14,2,46
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Wijkcentrum Windkracht 5,0796::SB120,,1676,968,3,2,0,1,0,878,96,0,0,1,0,0,974,129,201,172,54,36,29,37,37,73,50,12,63,4,3,30,5,33
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Kindcentrum de Sprong,0796::SB121,,1354,476,1,1,0,0,0,421,57,0,0,0,0,0,478,53,136,88,20,16,19,10,23,34,10,10,21,3,1,12,7,13
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Kindcentrum De Hoven,0796::SB122,,1122,905,6,2,0,0,0,789,124,0,0,0,0,0,913,110,263,179,56,34,39,28,26,61,21,12,27,4,1,21,9,14
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Ons Kind Bureau,0796::SB123,,1722,348,2,0,0,0,0,316,34,0,0,0,0,0,350,45,94,62,37,6,19,8,16,12,6,6,9,8,0,4,8,8
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Koning Willem I College / Onderwijsboulevard,0796::SB411,,1185,547,2,1,0,0,0,500,50,0,0,0,0,0,550,116,6,99,45,27,25,14,36,81,34,21,15,5,3,14,4,2
