contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Democraten 66 (D66),Inwonersbelangen,Progressief Woerden (GroenLinks/PvdA),ChristenUnie-SGP,LijstvanderDoes,VVD,STERK Woerden,SP (Socialistische Partij)
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Het Baken,0632::SB16,3446 GS,1343,984,3,2,0,0,0,882,107,0,0,0,0,0,989,214,111,72,126,85,103,162,86,25
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Chr. Margrietschool,0632::SB17,3446 DR,1756,1416,1,3,0,0,0,1273,147,0,0,0,0,0,1420,242,163,93,192,131,160,292,96,47
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau De Regenboogschool,0632::SB18,3446 JG,1665,1096,2,8,0,0,0,1007,99,0,0,0,0,0,1106,162,170,61,129,34,102,292,120,26
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Dorpshuis Harmelen,0632::SB19,3481 GH,1992,1117,6,4,0,1,0,1023,105,0,0,1,0,0,1128,286,70,208,126,75,42,181,89,40
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,"Stembureau 'Het Trefpunt', Centrum NH Kerk",0632::SB20,3481 XA,1750,1196,3,1,0,0,0,1082,118,0,0,0,0,0,1200,331,94,183,107,112,54,168,133,14
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau MFC Dezibel,0632::SB21,3481 VC,1270,773,4,1,0,0,0,703,75,0,0,0,0,0,778,184,52,111,85,40,44,110,122,25
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Recreatiecentrum H2O (zwembad),0632::SB22,3481 WE,1413,729,2,0,0,0,0,658,73,0,0,0,0,0,731,169,50,125,55,42,44,133,98,13
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau MFC Milandhof,0632::SB23,3474 KC,1752,1152,5,0,0,0,0,1047,110,0,0,0,0,0,1157,569,41,49,37,213,109,88,32,14
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau RK-parochiecentrum Kanis,0632::SB24,3471 GT,813,550,2,0,0,1,0,499,54,0,0,1,0,0,553,180,32,20,32,129,61,58,28,10
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau MFC De Schulenburch,0632::SB25,3471 EJ,2052,1345,7,0,0,1,0,1224,129,0,0,1,0,0,1353,343,78,54,132,354,144,149,58,33
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,"Stembureau Station Woerden, mobiel stembureau",0632::SB26,3446 GM,0,712,4,1,0,0,0,674,43,0,0,0,0,0,717,81,136,39,175,52,42,109,53,25
