contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Lijst Hilbrand Nawijn (LHN),VVD,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),CDA,Zó! Zoetermeer,ChristenUnie-SGP,GROENLINKS,Nieuw Sociaal Zoetermeer (NSZ),-,Direkte Democratie Nederland (DDN),Partij voor Zoetermeer (PVZ),Partij Democratie voor Zoetermeer (PDvZ),Zoetermeer Vooruit,PVV (Partij voor de Vrijheid)
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Speelboerderij Het Buitenbeest,0637::SB16,,1670,593,8,1,0,0,0,540,62,0,0,0,0,0,602,64,67,64,41,62,42,26,32,80,0,6,9,10,20,25,45
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Winkelcentrum Meerzicht,0637::SB17,,1286,1187,6,12,0,0,0,1114,91,0,0,0,0,0,1205,131,138,101,98,133,106,48,44,141,4,15,5,12,49,58,104
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Basisschool De Vuurvogel,0637::SB18,,1536,405,5,5,0,2,0,372,41,0,2,0,0,0,413,46,48,36,22,26,35,11,39,56,0,4,6,2,12,34,28
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau IKC De Piramide,0637::SB19,,1618,980,2,3,0,0,0,895,90,0,0,0,0,0,985,144,132,155,69,50,88,48,25,100,2,3,0,12,29,58,65
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Waterbuurtvereniging,0637::SB20,,1537,685,2,2,0,1,0,633,55,0,1,0,0,0,688,87,67,93,54,49,61,37,48,59,1,2,8,8,25,42,44
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau IKC Toverberg,0637::SB21,,1896,1091,7,2,0,2,0,1002,100,0,0,2,0,0,1102,131,151,145,77,51,113,46,68,128,0,5,6,21,41,48,60
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau SBO De Horizon,0637::SB22,,1994,512,2,1,0,0,0,463,51,0,1,0,1,0,514,51,58,76,30,46,47,28,24,60,0,4,4,5,11,30,38
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau OBS De Watersnip,0637::SB23,,1899,900,6,3,0,0,0,817,92,0,0,0,0,0,909,86,83,116,54,94,58,46,52,109,3,2,7,9,39,52,90
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Buytenwegh stichting Middin,0637::SB24,,1181,476,2,1,0,0,0,436,43,0,0,0,0,0,479,65,34,53,36,28,31,34,23,82,2,6,4,4,19,30,25
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau REAKT,0637::SB25,,1476,1031,2,3,0,1,0,946,91,0,0,1,0,0,1037,108,133,93,58,98,77,69,61,121,4,2,6,19,24,53,105
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau RK Basisschool 't Schrijverke,0637::SB27,,1414,538,2,2,0,1,0,489,54,0,0,1,0,0,543,61,51,40,47,69,33,28,25,66,3,4,10,14,20,26,41
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Woonzorgcentrum Buytenhaghe,0637::SB28,,1701,831,3,2,0,3,0,782,58,1,0,4,0,0,840,82,111,114,61,60,61,38,25,90,2,3,4,21,30,61,68
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau WelThuis Vivaldi,0637::SB29,,723,443,1,3,0,0,0,408,39,0,0,0,0,0,447,53,27,67,31,34,49,25,24,61,0,6,4,3,9,31,19
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Basisschool 't Plankier,0637::SB30,,804,644,0,6,0,0,0,592,58,0,0,0,0,0,650,68,70,77,39,43,48,34,25,113,2,18,5,13,23,31,35
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Het Fregat,0637::SB31,,1434,931,5,1,0,1,0,835,101,0,1,0,7,0,936,115,98,174,59,46,112,41,30,102,1,6,3,7,32,56,49
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau IKC De Tjalk,0637::SB32,,1295,974,5,2,0,2,0,893,90,0,0,2,0,0,983,186,78,212,57,29,94,37,25,113,3,8,1,7,57,41,26
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau RK Kerk De Doortocht,0637::SB33,,1600,960,3,6,0,0,0,881,88,0,0,0,0,0,969,107,126,124,55,56,110,59,33,126,1,10,3,13,23,61,53
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Basisschool De Hofvijver,0637::SB34,,1462,934,7,3,0,0,0,862,82,0,0,0,0,0,944,88,91,130,54,76,67,63,49,109,5,10,4,25,25,71,67
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Basisschool De Hofvijver,0637::SB35,,826,382,1,2,0,0,0,354,31,0,0,0,0,0,385,45,32,51,25,28,30,18,21,55,2,5,3,5,11,23,28
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau KBS De Spelevaert,0637::SB37,,1916,795,4,2,0,1,0,723,79,0,0,1,0,0,802,94,91,117,57,64,74,37,31,110,0,10,7,10,19,33,41
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Dienstencentrum Petuniatuin,0637::SB38,,1813,1318,4,4,0,0,0,1217,112,3,0,3,0,0,1329,154,129,176,93,89,126,72,74,167,7,4,6,29,41,74,77
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau WelThuis locatie 't SegheWaert,0637::SB39,,1778,737,2,4,0,3,0,677,69,0,0,3,0,0,746,96,78,115,38,46,61,45,41,85,1,2,5,4,23,42,55
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Basisschool Meester Verwers,0637::SB42,,1781,800,7,2,0,1,0,733,77,0,0,1,0,0,810,89,85,115,37,60,65,50,38,93,2,7,6,11,32,48,62
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Ichthuskerk,0637::SB43,,1730,697,2,4,0,0,0,642,61,0,0,0,0,0,703,55,70,114,49,56,74,34,28,83,4,5,5,19,25,30,46
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Basisschool Noordeinde,0637::SB44,,1347,822,4,3,0,1,0,754,76,0,0,1,0,0,830,96,88,144,49,54,79,42,35,88,3,2,1,10,33,48,50
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Wijkgebouw 't Span,0637::SB45,,1248,552,2,3,0,0,0,498,59,0,0,0,0,0,557,66,70,80,30,31,51,33,36,55,1,3,3,5,17,42,29
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau OBS De Baanbreker,0637::SB46,,1709,905,8,5,0,1,0,795,124,0,0,1,0,0,919,106,90,174,51,53,65,50,38,105,2,9,3,5,30,73,51
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau KBS De Buut,0637::SB47,,1818,1076,5,3,0,1,0,953,130,0,1,0,0,0,1083,115,127,253,53,45,98,42,52,94,2,6,5,14,34,64,72
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau RK Kerk Tabor,0637::SB48,,1949,816,8,3,0,0,0,757,70,0,0,0,0,0,827,94,96,120,64,42,70,58,35,79,1,5,2,8,35,56,51
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Montessorischool De Trinoom,0637::SB49,,1853,510,1,1,0,0,0,451,61,0,0,0,0,0,512,59,51,126,32,23,54,19,26,48,1,3,0,10,7,26,25
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Montessorischool De Trinoom,0637::SB50,,953,924,4,3,0,0,0,801,130,0,0,0,0,0,931,117,114,223,55,43,81,32,47,79,2,7,2,7,25,51,39
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Oosterkerk,0637::SB51,,1770,1111,5,4,0,0,0,981,139,0,0,0,0,0,1120,112,169,188,44,70,103,54,88,92,3,8,3,17,34,49,77
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Het Noorderlicht,0637::SB52,,1594,638,2,2,0,0,0,552,90,0,0,0,0,0,642,70,96,179,19,11,48,24,25,68,0,1,2,19,15,30,31
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Middin Trefpunt Heemburgh,0637::SB53,,1782,627,3,2,0,0,0,532,101,0,0,1,0,1,633,73,88,138,42,33,37,38,36,58,2,8,7,7,20,18,22
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Woongroep Shaanti Dhaam,0637::SB54,,1832,692,3,8,0,0,0,613,90,0,0,0,0,0,703,81,132,133,27,32,48,23,21,54,3,3,5,23,17,26,64
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Stadsboerderij De Weidemolen,0637::SB55,,1810,901,1,4,0,0,0,781,125,0,0,0,0,0,906,94,119,259,41,17,86,57,42,60,1,5,1,9,33,44,33
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Basisschool De Oranjerie,0637::SB56,,1792,787,2,3,0,0,0,690,102,0,0,0,0,0,792,80,106,234,44,32,63,33,27,53,0,4,0,12,22,33,44
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Middin De Waterparel,0637::SB57,,1865,730,4,5,0,1,0,650,88,0,1,0,0,0,738,100,81,172,28,20,81,47,40,50,1,3,6,13,20,36,32
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Wijkcentrum Oosterpoort,0637::SB58,,1158,484,3,5,0,0,0,439,54,0,0,1,0,0,493,48,53,126,16,27,41,26,18,31,1,1,1,8,13,26,48
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Wijkpost Rokkeveen,0637::SB59,,1379,888,2,6,0,2,0,775,123,0,0,2,0,0,898,106,114,157,42,49,101,40,35,87,5,3,12,11,33,55,38
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Stadsboerderij De Balijhoeve,0637::SB60,,1357,829,7,3,0,1,0,755,85,0,0,1,0,0,840,111,101,167,35,34,80,53,29,93,1,7,0,11,26,49,32
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau IKC De Waterlelie,0637::SB61,,1499,966,4,3,0,4,0,861,108,0,4,0,0,0,969,132,129,192,58,25,112,32,39,109,3,4,2,5,27,45,52
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau IKC De Edelsteen,0637::SB62,,1454,984,6,3,0,0,0,893,100,0,0,0,0,0,993,124,99,218,41,36,123,46,41,87,1,6,11,22,51,45,33
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Prins Clausschool,0637::SB63,,1461,937,4,6,0,0,0,838,108,0,1,0,1,0,946,93,114,215,54,35,121,23,45,108,2,2,1,6,37,39,42
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Kerkelijk Centrum De Regenboog,0637::SB64,,1362,701,4,2,0,2,0,642,67,0,0,2,0,0,709,65,122,83,46,28,93,33,47,56,4,3,0,12,24,42,43
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau RK Kerk De Wijngaard,0637::SB65,,1391,871,9,0,0,5,0,790,95,0,0,5,0,0,885,116,82,157,65,49,91,41,64,66,2,3,2,13,26,40,54
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau RK Basisschool Het Palet,0637::SB66,,1857,946,3,2,0,0,0,842,110,0,0,1,0,1,952,108,118,183,62,43,91,49,42,79,0,4,7,16,32,38,74
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Buurtcentrum De Vlieger,0637::SB68,,1728,1229,9,5,0,0,0,1125,120,2,0,2,0,0,1245,124,176,199,72,68,131,68,48,110,4,10,4,15,46,72,82
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Basisschool De Saffier,0637::SB69,,1630,760,1,5,0,0,0,695,71,0,0,0,0,0,766,59,112,119,38,45,79,54,32,67,0,10,5,14,25,55,46
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Montessori Kindcentrum Passe Partout,0637::SB70,,1471,435,2,0,0,0,0,394,43,0,0,0,0,0,437,44,49,62,21,15,38,36,23,56,1,4,1,5,18,14,48
