contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SGP-ChristenUnie,SP (Socialistische Partij),VVD,Democraten 66 (D66),Partij voor Goes,Partij van de Arbeid (P.v.d.A.),GROENLINKS,NG (Nieuw Goes)
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau Ter Weel,0664::SB11,4462AV,1348,723,1,3,0,0,0,672,55,0,0,0,0,0,727,175,90,62,80,59,54,79,50,74
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau De Symfonie,0664::SB12,4462LB,1359,765,2,0,0,1,0,667,99,0,1,0,0,0,766,162,67,36,169,90,53,47,55,86
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau 't Beest,0664::SB13,4461 CS,1382,682,1,1,0,1,0,634,49,0,1,0,0,0,683,82,38,71,147,42,53,76,90,83
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau De Horst,0664::SB14,4461WZ,1370,829,3,3,0,0,0,734,101,0,0,0,0,0,835,153,240,32,150,57,32,67,51,47
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau Emergis,0664::SB15,4481PM,1251,822,6,5,0,1,0,743,89,0,1,0,0,0,832,195,94,38,157,72,43,66,83,74
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau Amicitia,0664::SB16,4481AH,1311,911,3,4,0,1,0,826,93,0,0,1,0,0,919,207,117,57,179,78,48,62,71,92
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau het Wilhelminahuis,0664::SB17,4475AR,1413,869,4,1,0,0,0,766,108,0,0,0,0,0,874,138,94,25,298,54,108,32,45,75
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau het Katshuis,0664::SB18,4474AT,452,294,2,3,0,0,0,273,26,0,0,0,0,0,299,43,47,18,41,31,24,21,37,32
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau De Griffioen,0664::SB19,4471BP,1761,1096,3,3,0,2,0,979,125,0,0,2,0,0,1104,238,200,45,182,45,45,99,73,169
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau Heer Hendrikhuis,0664::SB20,4472AN,925,685,4,0,0,0,0,631,58,0,0,0,0,0,689,178,93,32,122,51,37,67,41,64
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau Poelwijck,0664::SB21,4458CB,1339,733,0,2,0,0,0,687,48,0,0,0,0,0,735,175,72,39,116,54,71,59,56,91
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau De Schakel,0664::SB22,4462CD,1558,887,2,2,0,0,0,805,86,0,0,0,0,0,891,227,96,63,142,63,51,84,80,81
