contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),CDA,VVD,HELDER HELMOND,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),Helmond Aktief,GROENLINKS,Lokaal sterk,VKM Leo Broers,ChristenUnie,plan!,50PLUS
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WIJKHUIS DE LIER,0794::SB303,5703 BW,2049,671,5,5,0,0,0,600,81,0,0,0,0,0,681,165,81,39,61,62,24,26,63,39,6,10,27,68
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau STEUNPUNT  ROZENHOF,0794::SB305,5701 GB,1979,643,2,3,0,1,0,561,88,0,0,1,0,0,649,126,57,44,56,79,27,28,74,43,8,11,17,73
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WIJKHUIS DE BREM,0794::SB401,5709 BT,2251,687,4,5,0,9,0,622,83,0,0,9,0,0,705,173,47,34,74,28,41,19,97,51,1,56,13,53
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WIJKHUIS DE BREM,0794::SB403,5709 BT,2050,674,2,7,0,0,0,609,74,0,0,0,0,0,683,162,54,42,69,22,35,26,98,38,4,34,19,71
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau O.B.S. DE RAKT,0794::SB404,5709 HD,2131,718,5,9,0,0,0,668,64,0,0,0,0,0,732,152,54,33,65,45,40,32,112,57,12,22,27,67
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WIJKCENTRUM PARKZICHT,0794::SB405,5709 PZ,1971,917,3,8,0,0,0,814,116,0,0,2,0,0,930,47,101,214,41,46,127,11,128,47,2,21,40,92
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WIJKCENTRUM PARKZICHT,0794::SB406,5709 PZ,1900,1217,2,2,0,0,0,1075,144,0,2,0,2,0,1219,96,163,255,89,45,173,19,155,81,0,18,46,77
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau BUURTHUIS ST ANNA,0794::SB501,5705 AM,1529,569,3,2,0,0,0,523,51,0,0,0,0,0,574,67,56,56,105,28,32,24,78,41,8,6,23,45
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau GEMEENSCHAPSHUIS DE LOOP,0794::SB502,5704 AP,2312,1230,3,3,0,0,0,1074,162,0,0,0,0,0,1236,156,81,75,95,25,90,39,392,90,19,75,21,72
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau STEUNPUNT BROUWHORST,0794::SB503,5709 AA,1370,427,1,2,0,0,0,402,28,0,0,0,0,0,430,87,43,23,26,12,21,27,92,21,11,17,11,36
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WOONZORGCENTRUM RIVIERENHOF,0794::SB504,5704 NP,1602,770,2,5,0,0,0,695,82,0,0,0,0,0,777,127,81,46,64,23,51,16,187,41,7,43,21,63
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WIJKGEBOUW DE ZONNESTEEN,0794::SB505,5704 HZ,1945,490,3,1,0,0,0,446,48,0,0,0,0,0,494,85,34,25,38,25,29,29,112,29,3,43,14,24
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau BASISSCHOOL 'T BAKEN,0794::SB601,5706 BT,2384,943,1,3,0,4,0,844,108,1,0,5,0,0,952,122,153,87,63,30,60,53,132,114,6,12,28,83
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau DE GESELDONK,0794::SB602,5706 XC,2332,849,1,4,0,0,0,760,93,0,1,0,0,0,853,110,99,41,36,44,54,74,110,160,2,20,32,67
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau DE KONING (CAFEGEDEELTE),0794::SB603,5707 AK,2035,875,1,2,0,0,0,779,99,0,0,0,0,0,878,86,124,94,44,32,50,137,112,95,5,5,25,66
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau BASISSCHOOL DE VENDELIER,0794::SB604,5706 KH,2427,1282,6,2,0,1,0,1124,167,0,0,1,0,0,1291,73,272,280,60,48,145,23,201,41,7,13,49,70
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WOONZORGCENTRUM ALPHONSUS,0794::SB605,5706 AP,2026,1026,3,2,0,1,0,910,122,0,0,1,0,0,1032,130,191,89,46,57,70,123,95,125,4,7,29,60
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WIJKHUIS 'T BRANDPUNT,0794::SB606,5708 ZD,2106,1207,3,2,0,0,0,1073,143,4,0,4,0,0,1216,76,234,256,38,39,138,15,225,37,8,13,51,77
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WIJKHUIS 'T BRANDPUNT,0794::SB607,5708 ZD,2378,1031,5,1,0,0,0,913,124,0,0,0,0,0,1037,81,153,224,44,41,155,13,161,23,8,8,37,83
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WIJKHUIS WESTWIJZER,0794::SB701,5707 TJ,2488,813,0,4,0,3,0,721,100,1,0,4,0,0,821,108,94,45,59,76,48,106,108,78,14,6,12,59
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau SOCIETEIT GEZELLIGHEID,0794::SB801,5707 HJ,1292,783,2,2,0,0,0,693,94,0,0,0,0,0,787,24,249,190,28,30,70,7,97,27,5,6,17,33
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WILHELMINASCHOOL,0794::SB802,5707 RM,1248,833,9,6,0,0,0,750,98,0,0,0,0,0,848,37,201,223,55,27,78,6,87,30,1,13,40,35
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau STEUNPUNT DE ARK,0794::SB901,5708 GC,2027,1258,8,2,0,0,0,1266,2,0,0,0,0,0,1268,82,247,256,40,60,86,10,140,169,8,28,41,91
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau ST. TRUDOSCHOOL,0794::SB903,5708 GL,2339,1450,10,1,0,0,0,1300,161,0,0,0,0,0,1461,58,318,390,68,51,122,29,156,98,11,14,33,102
