contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),Gemeentebelangen,Politieke Vereniging Eerlijk Alternatief,ChristenUnie-SGP,Partij voor de Dieren,LOKAAL LPN,Progressief PN/P.v.d.A/GROENLINKS,TPN ( Trots Pijnacker-Nootdorp )
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Gebouw de Keet,1926::SB12,2645 AS,1102,546,7,0,0,0,0,500,53,0,0,0,0,0,553,83,96,54,50,68,38,30,11,98,18
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Sportzaal Emerald,1926::SB13,2645 HH,1812,1081,12,2,0,0,0,988,107,0,0,0,0,0,1095,168,114,204,81,148,60,44,29,200,33
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Wooncentrum Emerald,1926::SB14,2645 HV,1985,1163,7,6,0,0,0,1061,115,0,0,0,0,0,1176,195,131,178,102,141,67,74,37,202,36
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Kerkgebouw,1926::SB15,2645 BD,1695,1047,8,2,0,1,0,973,85,0,0,1,0,0,1058,142,134,133,100,129,99,63,37,177,33
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Hotel van der Valk,1926::SB16,2632 BD,1694,779,3,1,0,0,0,679,104,0,0,0,0,0,783,254,100,90,80,69,20,40,26,71,29
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Basisschool de Winde,1926::SB17,2631 GS,1471,831,3,1,0,0,0,785,50,0,0,0,0,0,835,128,156,109,106,77,12,49,20,118,56
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Parochiehuis,1926::SB18,2631 CL,1863,1030,3,4,0,0,0,895,142,0,0,0,0,0,1037,272,128,150,92,76,30,63,29,148,42
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Basisschool De Regenboog(hoofdlocatie),1926::SB19,2631 BK,1567,458,0,0,0,0,0,410,48,0,0,0,0,0,458,70,85,54,56,55,16,24,14,64,20
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Verzorgingshuis Veenhage,1926::SB20,2631 GC,1630,980,6,2,0,1,0,877,112,0,0,1,0,0,989,195,162,80,131,132,43,43,30,113,51
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Nové Kerkelijk centrum,1926::SB21,2631 CR,2273,1344,7,4,0,0,0,1206,149,0,0,0,0,0,1355,303,206,165,158,120,72,72,33,175,40
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Basisschool De Regenboog,1926::SB22,2631 PM,1841,1383,1,3,0,0,0,1216,171,0,0,0,0,0,1387,339,241,163,160,113,38,95,34,148,52
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Basisschool Sint Jozef,1926::SB23,2631 GA,1713,587,4,0,0,0,0,509,82,0,0,0,0,0,591,148,58,74,48,44,15,38,31,106,25
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Welzijnscentrum Keijzershof,1926::SB24,2643 HD,2801,1479,4,2,0,0,0,1349,136,0,0,0,0,0,1485,269,167,189,158,275,50,100,30,155,86
