contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),Democratisch Zaanstad,Partij voor Ouderen en Veiligheid,ROSA,CDA,GROENLINKS,Zaanstad voor Iedereen,ChristenUnie,Zaanse Inwoners Partij (ZIP),DENK,PVV (Partij voor de Vrijheid),De Volkstem,Partij voor de Dieren
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Herman Gorterschool,0479::SB112,,1830,999,2,4,1,0,0,905,99,0,1,0,0,0,1004,76,100,79,87,103,88,104,27,107,27,14,11,20,82,7,67
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Zorgcentrum Het Mennistenerf,0479::SB113,,1879,859,2,6,0,1,0,804,61,0,2,0,1,0,865,54,78,79,74,45,116,76,29,80,9,45,10,21,82,9,52
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Buurthuis De Kolk,0479::SB114,,1776,769,2,6,1,0,0,693,85,0,0,1,0,0,778,57,89,80,52,36,111,80,43,51,13,17,9,50,65,0,16
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau Hervormd Centrum Pennemes, INGANG BLOEMGRACHT",0479::SB115,,1592,751,0,8,0,0,0,706,53,0,0,0,0,0,759,42,80,61,68,37,113,40,59,57,8,29,16,43,58,4,36
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau Sporthal De Struijck, INGANG OOSTZIJDE",0479::SB116,,1890,878,0,2,0,0,0,820,60,0,0,0,0,0,880,52,95,75,80,50,118,67,37,67,10,21,18,45,91,7,45
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau School De Saenparel, INGANG SCHOOLPLEIN",0479::SB117,,2111,731,4,9,0,0,0,658,86,0,0,0,0,0,744,42,82,47,55,52,63,45,31,50,10,29,8,101,66,9,41
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau obs Kogerveld,0479::SB118,,1331,391,2,0,0,0,0,371,22,0,0,0,0,0,393,36,45,31,32,38,38,25,13,18,6,14,9,46,21,1,18
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Jozefparochie,0479::SB119,,1330,812,6,6,0,0,0,824,0,0,0,0,0,0,824,47,81,58,76,51,79,48,43,45,19,41,14,84,83,1,42
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Zorgcentrum Nieuw Groenland,0479::SB120,,2116,1055,3,3,0,0,0,965,96,0,0,0,0,0,1061,79,112,118,67,89,133,118,64,53,12,37,7,15,71,10,70
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Sporthal de Tref,0479::SB121,,1601,941,2,1,0,0,0,874,70,0,0,0,0,0,944,75,100,114,85,73,107,90,51,54,10,41,9,9,90,3,30
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau School De Jagersplas,0479::SB122,,1847,868,3,1,0,0,0,811,61,0,0,0,0,0,872,52,106,93,97,53,99,86,45,57,19,24,15,9,79,7,27
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Speeltuinver. Het Havenkwartier,0479::SB123,,1752,822,4,2,0,0,0,717,111,0,0,0,0,0,828,71,65,115,53,51,125,67,26,64,9,17,16,7,83,7,46
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau School De Dijk-Oost,0479::SB124,,1682,948,1,2,0,0,0,865,86,0,0,0,0,0,951,91,90,95,80,57,110,96,35,95,10,15,13,31,69,9,52
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Zorgcentrum Saenden,0479::SB125,,1615,1035,1,8,0,4,0,977,71,0,0,4,0,0,1048,105,112,88,64,60,114,144,66,74,5,50,9,19,59,5,61
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Het Tolhuys,0479::SB126,,1733,720,2,1,0,0,0,672,51,0,0,0,0,0,723,68,66,73,38,53,63,119,13,63,13,22,10,19,53,6,41
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Obs Hannie Schaft,0479::SB127,,2079,1025,1,2,0,0,0,925,101,0,2,0,0,0,1026,108,115,125,56,85,63,158,42,106,2,34,9,22,52,10,38
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau School De Dijk-West,0479::SB128,,1772,817,0,2,0,0,0,744,75,0,0,0,0,0,819,52,56,106,56,44,104,122,17,82,10,19,12,24,69,8,36
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Buurthuis De Zeskanter,0479::SB129,,2016,917,5,2,0,0,0,831,93,0,0,0,0,0,924,55,76,134,66,117,119,49,36,70,14,51,19,15,47,22,27
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau obs Het Eiland,0479::SB130,,1477,970,3,11,1,0,0,882,101,0,1,0,0,0,983,72,89,191,66,128,105,50,28,69,5,19,5,28,71,11,33
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau Evean Westerwatering, HOOFDINGANG",0479::SB131,,1776,1112,4,2,0,0,0,1011,107,0,0,0,0,0,1118,82,118,217,54,104,186,39,43,68,9,42,13,18,70,8,41
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Kazerne Brandweer Houtveldweg,0479::SB132,,1392,733,3,1,0,0,0,659,78,0,0,0,0,0,737,56,82,104,55,87,71,49,23,42,19,20,14,29,39,9,34
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Stadhuis van Zaanstad,0479::SB133,,1511,1547,5,12,0,0,0,1444,120,0,0,0,0,0,1564,167,197,196,96,107,76,129,36,223,20,47,12,78,59,9,95
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Best Western Zaan Inn,0479::SB134,,1883,888,1,2,0,0,0,819,72,0,0,0,0,0,891,125,72,153,35,95,62,44,36,76,11,17,12,56,40,9,45
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Kerk van de Nazarener,0479::SB201,,1915,1265,1,1,0,2,0,1155,110,0,0,0,0,0,1265,103,124,140,110,86,131,140,48,111,21,69,13,15,85,5,64
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Gebouw BWZ,0479::SB202,,1823,858,2,4,0,0,0,814,50,0,0,0,0,0,864,78,76,104,71,46,74,118,42,58,10,27,13,23,67,13,38
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Wijkcentrum De Vuister,0479::SB203,,1526,1222,5,6,0,0,0,1132,101,0,0,0,0,0,1233,86,146,152,77,93,141,105,71,110,19,59,15,9,76,7,56
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Wijkcentrum De Vuister,0479::SB204,,1960,1121,5,8,0,0,0,1023,111,0,0,0,0,0,1134,104,117,126,71,98,103,129,63,90,16,56,13,12,52,14,57
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau School De Golfbreker,0479::SB206,,1858,1029,2,1,0,0,0,932,101,1,0,1,0,0,1033,91,130,150,55,90,107,81,64,88,13,42,14,6,45,6,47
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Culturele werkplaats Zaandijk,0479::SB301,,1145,638,3,2,0,0,0,598,45,0,0,0,0,0,643,54,76,88,42,48,68,90,26,44,6,20,6,0,37,6,27
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau Wijksteunpunt De Boed, INGANG W. DREESLAAN",0479::SB302,,1469,775,5,6,0,0,0,731,55,0,0,0,0,0,786,58,73,76,55,66,98,104,25,51,11,22,8,27,63,7,31
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau School het Schatrijk,0479::SB303,,1458,707,2,2,1,0,0,643,69,0,0,1,0,0,712,52,87,76,65,64,55,46,28,48,47,44,5,25,49,5,11
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Evean Guisveld,0479::SB304,,3005,1723,6,3,0,0,0,1587,145,0,0,0,0,0,1732,174,188,267,103,140,174,117,81,147,33,23,15,32,104,18,107
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Evean Acht Staten,0479::SB401,,2057,1021,7,2,0,0,0,958,72,0,0,0,0,0,1030,62,92,132,88,77,94,165,54,59,7,29,12,10,84,9,47
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Buurtcentrum De Lorzie,0479::SB402,,1995,1150,4,7,0,0,0,1065,97,1,0,1,0,0,1162,82,82,97,76,107,131,179,55,75,14,30,8,30,102,10,72
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Pinkstergemeente Ruach,0479::SB403,,1836,751,1,5,0,1,0,701,57,0,0,1,0,0,758,33,61,49,89,41,131,75,39,31,11,34,22,13,84,5,33
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Zorgcirkel Amandelbloesem,0479::SB404,,1354,497,1,1,0,0,0,472,27,0,0,0,0,0,499,29,53,29,55,37,87,37,38,22,7,16,7,9,43,5,23
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau obs De Pionier, INGANG NOORDERSTRAAT",0479::SB405,,1930,677,3,1,0,0,0,623,58,0,0,0,0,0,681,49,57,47,69,32,98,86,70,24,15,20,5,28,58,4,15
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau Dorpshuis ""De Noorddam""",0479::SB406,,533,278,0,0,0,0,0,263,15,0,0,0,0,0,278,21,13,41,30,30,27,31,14,18,2,5,1,2,27,0,16
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau St. Petrusparochie, INGANG KERK",0479::SB501,,1760,1160,7,3,1,0,0,1086,85,0,0,1,0,0,1171,105,126,126,86,70,103,191,78,71,8,36,19,10,68,15,48
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Dependance Hoeksteen,0479::SB502,,2299,1402,2,0,0,0,0,1269,134,0,1,0,0,0,1403,177,126,324,79,107,98,88,84,74,11,38,23,31,82,18,42
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau School De Hoeksteen, INGANG SNUIVERSTRAAT",0479::SB503,,1612,892,2,4,0,1,0,828,69,0,1,0,0,0,897,93,87,107,67,65,97,109,48,43,14,36,24,15,56,5,26
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Gebouw Heliomare,0479::SB504,,2119,801,2,5,0,0,0,751,56,0,1,0,0,0,807,68,65,64,71,60,86,109,38,56,10,18,12,20,70,10,44
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau School De Evenaar, ZIJINGANG",0479::SB505,,1433,1030,1,2,0,1,0,936,96,0,1,0,0,0,1032,135,105,152,71,59,102,70,91,52,4,46,15,6,76,13,33
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Odd Fellowhuis,0479::SB506,,1355,715,2,3,0,0,0,680,41,1,0,1,0,0,721,90,62,100,58,51,75,70,53,32,5,23,21,10,34,8,23
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Evean Rosariumhorst,0479::SB507,,1825,765,3,8,0,0,0,725,51,0,0,0,0,0,776,78,66,65,85,46,80,78,47,41,9,23,16,32,59,8,32
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Buurthuis De Pelikaan,0479::SB508,,1395,644,3,2,0,0,0,605,44,0,0,0,0,0,649,75,37,62,57,32,110,43,37,36,4,24,12,25,53,13,24
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Kantine vv Assendelft,0479::SB601,,1694,750,2,2,0,0,0,675,79,0,0,0,0,0,754,42,68,164,36,74,77,50,38,34,7,24,15,2,81,5,33
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Gebouw Brandweer,0479::SB602,,1819,1092,2,8,0,1,0,1019,84,0,0,1,0,0,1103,61,79,220,67,109,130,101,68,44,16,23,26,2,95,8,43
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Tennisvereniging Overdan,0479::SB603,,1809,957,1,1,0,3,0,884,78,0,0,3,0,0,962,82,58,210,53,86,92,76,82,56,8,20,40,3,64,5,22
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Evean Festina Lente,0479::SB604,,1193,675,3,3,0,0,0,634,47,0,0,0,0,0,681,38,75,94,37,55,110,53,69,31,6,17,10,5,51,2,22
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Gymzaal De Springplank,0479::SB605,,1181,676,2,4,0,0,0,628,55,0,0,1,0,0,683,42,55,106,42,61,73,79,44,34,13,16,21,4,61,3,22
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau School Ayundo,0479::SB606,,1558,1096,2,3,0,0,0,1025,76,0,0,0,0,0,1101,70,77,262,52,102,95,40,47,59,11,23,35,68,127,6,22
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau School Het Koraal,0479::SB607,,1414,690,0,2,0,0,0,610,82,0,0,0,0,0,692,64,63,178,26,93,12,19,35,32,11,18,25,24,56,13,21
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Jongerenruimte BAAZ De Kaaik,0479::SB608,,3773,2077,7,4,0,0,0,1844,244,0,0,0,0,0,2088,189,156,489,114,182,134,75,87,108,32,36,72,141,151,20,91
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau ICB De Octant,0479::SB609,,1165,407,1,2,0,0,0,364,46,0,0,0,0,0,410,29,23,114,18,34,25,7,14,35,3,4,11,18,58,5,9
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Portakabin Station Krommenie-Assendelft,0479::SB610,,1696,582,3,3,0,0,0,511,77,0,0,0,0,0,588,59,41,113,23,45,32,17,17,42,13,24,23,58,46,9,20
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Dorpshuis De Kwaker,0479::SB701,,1745,816,3,3,0,0,0,735,87,0,0,0,0,0,822,62,50,162,32,59,59,91,65,51,11,48,7,0,79,8,32
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Wijksteunpunt Lambert Melisz,0479::SB702,,1013,592,2,0,0,0,0,547,47,0,0,0,0,0,594,45,65,138,23,46,61,55,35,34,12,20,9,0,27,2,20
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau De Grote Kerk,0479::SB703,,1041,813,0,4,0,0,0,755,60,0,2,0,2,0,815,63,75,175,43,67,56,116,43,44,3,21,10,1,50,4,42
