contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen,D.M.P. Heusden,Heusden Transparant,Heusden één,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau De Schakel,0797::SB11,5256 HL,1167,525,8,2,0,0,0,460,75,0,0,0,0,0,535,227,70,67,39,34,26,22,16,24
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Seniorensociëteit,0797::SB12,5256 AD,1346,708,6,3,0,0,0,647,69,0,1,0,1,0,716,94,140,37,42,106,71,40,108,70
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Dorpshuis Herpt,0797::SB13,5256 NJ,808,487,5,1,0,0,0,445,49,0,0,1,0,1,494,36,156,29,72,59,69,11,24,31
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Wijkwinkel Oudheusden,0797::SB14,5256 GV,992,316,4,0,0,0,0,286,34,0,0,0,0,0,320,95,49,37,39,21,24,18,12,21
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Gemeentehuis Vlijmen,0797::SB15,5251 ED,1417,905,6,7,0,0,0,825,93,0,0,0,0,0,918,87,253,113,126,88,110,37,43,48
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau De Hop - Sint Janshof,0797::SB16,5251 BL,1163,685,8,0,0,0,0,617,76,0,0,0,0,0,693,67,195,80,114,64,87,31,23,24
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Bibliotheek Vlijmen,0797::SB17,5251 CJ,1687,950,7,1,0,0,0,861,97,0,0,0,0,0,958,119,331,72,115,79,121,24,47,42
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau De Wilgen,0797::SB18,5252 AW,1824,966,3,1,0,2,0,880,87,0,3,0,1,0,967,69,368,79,134,76,95,41,58,46
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau De Bussel,0797::SB19,5251 ER,1655,755,3,0,0,0,0,673,85,0,0,0,0,0,758,73,193,88,93,91,85,38,53,41
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Het Patronaat,0797::SB20,5253 AJ,1778,1033,8,4,0,0,0,948,97,0,0,0,0,0,1045,109,366,107,51,50,263,29,21,37
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau De Haarstek,0797::SB21,5254 JG,1301,815,0,2,0,0,0,699,117,0,1,0,1,0,816,45,559,24,86,27,29,4,21,20
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau De Vlechter,0797::SB22,5251 LW,1600,629,4,4,0,0,0,578,59,0,0,0,0,0,637,78,129,82,102,51,69,49,39,30
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Bibliotheek Drunen,0797::SB24,5151 CR,1399,693,2,1,0,0,0,640,56,0,0,0,0,0,696,179,111,114,51,50,61,21,43,63
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,"Stembureau Het Water, ontmoetingsruimte",0797::SB25,5152 GC,1312,683,3,1,0,0,0,640,47,0,0,0,0,0,687,168,72,172,43,53,64,20,42,49
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau M.F.A. Caleidoscoop,0797::SB26,5251 NG,1813,747,5,6,0,0,0,689,69,0,0,0,0,0,758,156,221,86,77,42,60,30,37,38
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Van den Brandt Verhuur,0797::SB27,5256 VS,418,250,1,1,0,0,0,216,36,0,0,0,0,0,252,17,151,13,16,14,23,3,2,11
