contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,SP (Socialistische Partij),CDA,OPHaarlem,Actiepartij,ChristenUnie,Trots op Nederland (TROTS),Hart voor Haarlem,Jouw Haarlem
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Trefpunt 't Trionk,0392::SB11,,1552,932,2,3,0,2,0,870,69,0,0,2,0,0,939,93,103,156,174,74,82,76,34,20,62,29,29
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Pelgrimkerk,0392::SB12,,1248,973,3,1,0,2,0,903,76,0,0,2,0,0,979,146,119,150,172,67,105,42,25,36,45,40,26
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Speeltuin Jeugdland,0392::SB13,,1795,1135,2,5,0,0,0,1044,98,0,0,0,0,0,1142,166,152,165,267,42,108,38,33,23,73,49,19
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Basisschool De Zuidwester,0392::SB14,,1000,791,3,2,0,0,0,730,66,0,0,0,0,0,796,116,119,115,175,20,107,38,17,19,31,23,11
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Wijkcentrum Het Broederhuis,0392::SB15,,2243,1220,6,2,0,0,0,1131,97,0,0,0,0,0,1228,120,139,147,200,111,97,62,84,25,124,44,67
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Wijkcentrum Oosterkerk,0392::SB16,,1999,794,4,2,0,0,0,746,54,0,0,0,0,0,800,75,91,82,137,65,80,43,38,22,102,29,30
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Hildebrand/Martin Luther Kingschool,0392::SB17,,2180,953,2,3,0,0,1,881,76,0,0,0,0,0,958,111,122,95,204,95,75,32,60,24,75,35,25
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Basisschool De Viersprong,0392::SB18,,1481,426,4,2,0,0,0,384,48,0,0,0,0,0,432,40,54,38,86,48,38,9,12,6,50,14,31
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Reinaldahuis,0392::SB19,,1376,814,9,4,0,0,0,728,99,0,0,0,0,0,827,49,137,73,120,66,156,50,25,20,56,31,31
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Basisschool De Zuiderpolder (hoofdgebouw),0392::SB20,,1485,838,4,8,0,0,0,776,74,0,0,0,0,0,850,108,134,76,134,63,92,40,20,24,74,39,34
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Wijkcentrum De Zuidparker,0392::SB21,,1173,377,1,0,0,0,0,352,34,0,0,8,8,0,386,28,54,73,44,28,45,19,12,20,24,23,7
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Sint Bernardusschool,0392::SB22,,1309,433,6,3,0,0,0,405,37,0,0,0,0,0,442,31,61,27,95,54,41,19,18,9,44,18,16
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Speeltuinvereniging Kindervreugd,0392::SB23,,1748,631,2,1,0,0,0,560,74,0,0,0,0,0,634,54,67,82,105,62,58,35,32,13,52,28,43
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Buurtcentrum de Hamelink,0392::SB24,,1279,543,4,6,0,0,0,515,38,0,0,0,0,0,553,26,66,36,84,60,31,47,38,9,81,31,34
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Wijkcentrum De Brug,0392::SB25,,1340,488,0,0,0,0,0,488,0,0,0,0,0,0,488,62,56,81,82,19,43,22,37,7,30,27,22
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Eerste Christelijke Lyceum (ECL),0392::SB26,,1788,1147,5,4,0,2,0,1033,121,0,2,0,0,0,1154,216,174,222,201,32,106,28,38,20,37,49,24
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau OBS Bos en Vaart,0392::SB27,,2087,1326,11,7,0,0,0,1194,150,0,0,0,0,0,1344,268,161,274,221,25,118,31,41,32,27,104,24
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Provincie Noord-Holland,0392::SB28,,799,476,1,1,0,0,0,438,40,0,0,0,0,0,478,74,52,104,73,17,54,12,21,8,21,28,12
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Verpleeghuis Zuiderhout,0392::SB29,,1314,945,2,4,0,0,0,818,133,0,0,0,0,0,951,178,67,282,120,9,110,12,13,14,20,101,19
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Spaar en Hout,0392::SB30,,1254,781,4,2,0,1,0,709,77,0,1,0,0,0,786,140,87,169,123,11,107,33,24,19,18,35,15
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Hannie Schaftschool (ingang achterzijde gebouw),0392::SB31,,1130,442,1,0,0,1,0,404,40,0,0,1,0,0,444,60,56,56,108,24,34,13,23,6,17,19,26
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Buurtcentrum De Tulp,0392::SB32,,1627,823,2,8,0,0,0,758,75,0,0,0,0,0,833,99,162,107,162,55,42,23,38,12,41,19,63
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Het Dolhuys,0392::SB33,,2138,1446,1,3,0,6,0,1315,141,0,0,6,0,0,1456,230,166,194,334,75,131,83,76,30,54,39,34
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Willem van Oranjeschool,0392::SB34,,1329,649,5,3,0,0,0,594,63,0,0,0,0,0,657,68,70,78,105,55,56,51,30,34,38,28,36
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Buurtcentrum De Fjord,0392::SB35,,2165,1002,7,4,3,0,0,927,83,0,3,0,0,0,1010,110,120,132,226,82,64,47,54,22,80,33,32
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Speeltuinvereniging Elba,0392::SB36,,2085,904,5,5,0,0,0,855,59,0,0,0,0,0,914,105,107,74,220,69,57,48,40,17,85,36,46
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Basisschool De Cirkel,0392::SB37,,1754,1015,3,2,0,0,0,939,81,0,0,0,0,0,1020,116,127,145,234,54,95,47,35,20,80,28,34
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau BSO Maraboe,0392::SB38,,1145,744,6,6,1,0,0,693,62,0,1,0,0,0,755,87,108,96,158,42,64,55,24,10,54,29,17
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau De Goede Herderkerk,0392::SB39,,2016,694,3,0,0,0,0,635,62,0,0,0,0,0,697,80,94,80,132,57,52,43,20,20,77,14,25
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Wijkcentrum De Horizon,0392::SB40,,2207,901,6,1,0,1,0,806,101,0,1,0,0,0,907,68,106,107,143,81,66,58,31,41,107,29,64
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Nova College,0392::SB41,,2022,1145,7,0,0,3,0,1040,109,0,3,0,0,0,1149,182,207,187,208,52,91,32,47,16,39,39,45
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Basisschool Ter Cleeff (Gymzaal),0392::SB42,,2155,1581,3,3,0,0,0,1447,137,0,3,0,3,0,1584,242,260,196,321,52,190,79,61,39,55,38,48
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Haarlemse Korfbal Club,0392::SB43,,1251,822,0,1,0,1,0,729,95,0,0,1,0,0,824,120,137,108,183,28,103,33,30,16,30,17,17
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Ontmoetingscentrum De Schakel,0392::SB44,,2023,1227,5,4,0,4,0,1113,127,0,0,4,0,0,1240,182,166,149,231,48,144,97,44,29,58,37,42
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Gemeente van Christus,0392::SB45,,1561,969,6,2,0,0,0,895,82,0,0,0,0,0,977,111,144,136,158,65,109,74,35,40,53,20,24
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Backstop,0392::SB46,,804,586,0,1,0,0,0,534,53,0,0,0,0,0,587,71,64,88,110,22,88,30,14,21,34,34,10
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Posthuis Zaanenpark,0392::SB47,,2354,1485,5,4,0,3,0,1350,141,0,3,0,0,0,1491,235,224,174,313,72,169,70,42,36,72,38,40
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Zorgcentrum Nieuw Delftweide,0392::SB48,,764,380,3,3,0,1,0,355,30,0,1,0,0,0,385,34,69,39,58,36,42,29,10,7,18,18,20
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Schoterhof,0392::SB49,,1156,673,5,1,0,0,0,636,43,0,0,0,0,0,679,63,96,100,84,51,100,47,22,32,37,26,15
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau ZV Haerlem (zij-ingang zwembad de Planeet),0392::SB50,,1783,1219,4,5,0,1,0,1103,126,0,0,1,0,0,1229,206,171,155,248,44,144,62,31,40,48,37,33
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Speeltuin D.V.S.,0392::SB51,,2036,1175,3,3,0,2,0,1083,100,0,0,2,0,0,1183,144,171,127,209,53,154,73,36,47,57,56,48
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Rode Kruis Haarlem,0392::SB52,,1786,1079,8,1,0,5,0,1009,84,0,0,5,0,0,1093,109,155,129,193,66,106,66,40,57,81,35,42
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Gymzaal De Dolfijn,0392::SB53,,2184,906,3,8,0,1,0,854,64,0,0,1,0,0,918,85,113,93,124,64,117,86,15,34,95,43,37
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Johan Limpershof,0392::SB54,,1864,792,9,7,0,0,0,730,78,0,0,0,0,0,808,43,104,74,102,79,88,89,25,34,76,35,43
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Stg. Wijkgebouw Hof van Eden,0392::SB55,,1996,938,3,4,0,0,0,866,79,0,0,0,0,0,945,92,151,82,165,75,121,55,32,24,64,38,39
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau RK Basisschool Sint Bavo,0392::SB56,,2101,1106,3,3,1,0,0,1017,96,0,0,1,0,0,1113,121,168,131,186,61,132,68,35,46,72,33,53
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Dienstgebouw Oude Kerk,0392::SB57,,503,296,1,0,0,0,0,276,21,0,0,0,0,0,297,17,55,39,41,11,62,17,9,6,19,14,6
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Brandweerkazerne Veiligheidsregio Kennemerland,0392::SB58,,2063,1132,7,2,0,1,0,1040,102,0,0,1,0,0,1142,185,154,232,220,36,102,43,33,30,44,27,26
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau De Blinkert,0392::SB59,,2077,1430,2,5,0,7,0,1040,390,0,7,0,0,0,1430,243,206,203,346,59,152,33,52,33,40,41,22
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Professor Van Gilseschool,0392::SB60,,731,525,0,1,0,0,0,479,47,0,0,0,0,0,526,81,64,126,76,5,79,29,7,11,14,20,13
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Rudolf Steinerschool (dependance),0392::SB61,,2304,1050,7,2,0,0,0,955,104,0,0,0,0,0,1059,89,124,90,260,100,103,43,42,32,67,49,51
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Rozemarijn KDC,0392::SB62,,2047,909,0,5,2,0,0,816,96,0,2,0,0,0,912,90,143,78,172,96,106,46,19,22,54,44,39
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Wijkcentrum de Wereld,0392::SB63,,1805,681,4,6,0,0,0,623,68,0,0,0,0,0,691,42,113,44,123,79,92,42,21,26,55,23,21
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Speeltuin De Eenhoorn,0392::SB64,,1963,728,6,1,0,1,0,655,81,0,0,1,0,0,736,52,111,63,149,93,92,25,22,18,33,30,40
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Van Voorthuijsenschool,0392::SB65,,986,246,2,4,0,0,2,220,30,0,0,0,0,0,252,22,48,23,30,22,18,3,3,15,28,10,24
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Wijkcentrum De Ringvaart,0392::SB66,,1963,908,4,5,0,0,0,770,147,0,0,0,0,0,917,57,99,57,200,95,148,31,30,20,87,31,53
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Zorgcentrum Schalkweide,0392::SB67,,1621,724,3,16,0,2,0,652,93,0,0,2,0,0,745,45,92,54,128,81,82,28,28,31,76,41,38
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Rozemarijn werkplaatscentrum,0392::SB68,,1736,545,1,6,0,0,0,472,80,0,0,0,0,0,552,38,64,26,116,53,82,21,17,19,34,21,54
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau VMG Haarlem,0392::SB69,,2021,531,3,7,0,0,0,452,89,0,0,0,0,0,541,35,58,28,74,71,130,24,8,16,32,12,43
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau De Kas,0392::SB70,,2369,1129,5,6,0,2,0,1010,132,0,0,2,0,0,1142,88,160,90,243,120,149,46,23,28,83,33,66
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau RK basisschool De Brandaris,0392::SB71,,1935,982,5,3,0,6,0,913,83,0,0,6,0,0,996,127,121,118,133,77,120,65,21,42,74,41,43
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau De Molenburg,0392::SB72,,1903,1136,7,9,0,0,0,1036,116,0,0,0,0,0,1152,141,161,136,165,68,170,54,36,35,100,47,23
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Stadsbibliotheek Schalkwijk,0392::SB73,,1294,566,2,3,0,0,0,571,0,0,0,0,0,0,571,68,77,59,92,56,71,21,16,16,42,25,23
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Basischool De Wadden,0392::SB74,,1599,519,6,4,0,2,0,466,65,0,0,2,0,0,531,41,65,46,102,47,64,22,15,16,38,17,46
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Bibliotheek op het station,0392::SB75,,0,1576,11,7,0,1,0,1516,77,0,1,0,0,0,1593,275,205,132,560,63,77,22,79,32,67,33,31
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Publiekshal Raakspoort,0392::SB76,,931,499,2,3,0,1,0,464,41,0,0,1,0,0,505,74,56,101,110,23,32,12,19,11,24,17,20
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Patronaat,0392::SB77,,0,347,0,1,0,0,0,317,31,0,0,0,0,0,348,29,45,27,122,13,19,7,47,3,16,3,16
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Frans Hals Museum,0392::SB78,,1199,563,1,5,0,0,0,523,46,0,0,0,0,0,569,73,68,81,160,26,40,14,37,9,14,25,16
