contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),OPH (Ouderen Partij Heerlen),CDA,Hart-Leers,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),Stadspartij,Partij Hoensbroeks Belang,GROENLINKS,11,Partij voor de Dieren
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Gemeenschapshuis De Laurier,0917::SB44,,1124,393,1,0,0,0,0,337,57,0,0,0,0,0,394,147,33,53,39,5,21,31,37,6,7,0,14
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Basisschool Mijn Spoor,0917::SB46,,2002,611,1,3,0,20,0,569,66,0,0,20,0,0,635,242,43,82,37,16,18,35,36,12,26,14,50
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Basisschool De Windwijzer,0917::SB47,,1902,953,2,5,0,0,0,844,116,0,0,0,0,0,960,259,185,74,76,53,85,68,29,1,59,1,63
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Brede School SAM SAM,0917::SB48,,2881,1031,12,16,0,0,0,962,97,0,0,0,0,0,1059,310,130,25,210,33,57,88,63,5,42,7,61
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Broeklandcollege,0917::SB101,,1724,646,1,4,0,1,0,584,68,0,0,1,0,0,652,148,65,69,23,18,41,19,19,195,15,4,30
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Buurtcentrum de Koffiepot,0917::SB104,,1414,622,4,2,0,0,0,561,67,0,0,0,0,0,628,129,55,56,17,12,45,9,35,205,21,8,30
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau De Woontuin,0917::SB106,,2050,775,6,6,0,0,0,698,88,0,1,0,0,0,786,120,98,65,23,17,38,16,47,305,22,4,20
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Multifunctioneel Centrum Gebrook,0917::SB107,,1973,851,1,3,0,0,0,749,106,0,0,0,0,0,855,190,62,56,39,24,48,30,42,272,39,6,43
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau BMV Maria-Gewanden,0917::SB109,,1957,703,3,0,0,0,0,602,104,0,0,0,0,0,706,144,60,49,35,19,40,26,19,267,18,1,25
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Ouderencentrum Weijenberg,0917::SB112,,1870,679,3,5,0,0,0,633,55,1,0,1,0,0,688,140,58,51,40,19,41,10,33,238,30,1,18
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Gemeenschapshuis Mariarade,0917::SB114,,1916,866,4,1,0,0,0,757,114,0,0,0,0,0,871,140,60,83,32,25,81,21,72,300,17,1,34
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau BMV Aldenhof,0917::SB115,,1659,608,4,3,0,0,0,544,73,0,0,2,0,0,617,116,40,112,18,10,29,15,30,196,11,0,31
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Ouderencentrum Butting Inn,0917::SB116,,1497,636,4,3,0,8,0,588,63,0,0,8,0,0,651,158,69,63,9,16,30,11,45,196,6,8,25
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Mobiel stembureau 1,0917::SB200,,0,112,1,0,0,0,0,97,16,0,0,0,0,0,113,29,26,5,5,1,4,10,11,2,10,0,9
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Mobiel stembureau 1,0917::SB201,,0,87,0,0,0,0,0,76,11,0,0,0,0,0,87,27,15,7,6,2,5,10,6,6,2,0,1
