contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,ChristenUnie,CDA,SP (Socialistische Partij),GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Gouda's 50+ partij,Partij voor de Dieren,Gemeentebelangen Gouda,JEZUS LEEFT,Gouda Positief
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Pauluskerk ingang De Brug,0513::SB505,,1876,1077,2,4,0,0,0,960,123,0,0,0,0,0,1083,92,91,104,139,138,41,54,98,93,38,111,6,72
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau De Zuidrandflat,0513::SB603,,1046,734,2,0,0,1,0,664,71,0,1,0,0,0,735,79,97,47,82,69,40,80,37,66,27,31,5,74
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Zorgcentrum De Hanepraij,0513::SB604,,1091,511,5,1,0,1,0,464,54,0,0,1,0,0,518,73,55,61,47,51,20,66,30,24,20,17,0,47
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau BSC Nelson Mandela,0513::SB605,,1856,871,5,18,0,1,0,773,122,0,0,1,0,0,895,83,110,49,104,77,44,70,80,43,24,25,5,157
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Buurthuis de Kade,0513::SB607,,1753,888,4,2,0,0,0,815,79,0,0,0,0,0,894,83,90,60,112,62,60,129,82,62,43,32,5,68
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Gymzaal Johan den Haenstraat,0513::SB608,,2174,1224,6,2,0,0,0,1131,101,0,0,0,0,0,1232,192,105,100,217,85,36,145,91,54,54,46,2,97
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau De Ring,0513::SB701,,1492,576,1,1,0,0,0,527,51,0,0,0,0,0,578,37,69,46,66,61,34,38,37,49,20,46,2,71
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau De Molenkap,0513::SB702,,1757,993,4,4,0,0,0,906,92,0,3,0,0,0,998,113,98,126,104,100,68,81,30,57,28,44,5,139
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau De Oostpoort,0513::SB703,,1869,1085,2,2,0,4,0,989,104,0,0,4,0,0,1093,148,90,133,154,127,28,97,55,100,27,53,1,72
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Kindcentrum Goejanverwelle,0513::SB704,,1946,886,0,5,0,1,0,781,111,0,0,1,0,0,892,114,84,112,98,93,34,73,20,64,33,59,0,102
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Zorgcentrum Irishof,0513::SB705,,1415,1117,5,13,0,0,0,999,136,0,0,0,0,0,1135,142,113,106,109,107,57,77,48,110,54,55,6,133
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Kindcentrum De Ontdekkingsreizigers,0513::SB901,,824,298,2,0,0,0,0,271,29,0,0,0,0,0,300,44,29,76,28,22,8,22,17,7,7,13,1,24
