contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Burgerbelangen,Ons Kerkrade,Partij van de Arbeid (P.v.d.A.),CDA,SP (Socialistische Partij),Lokaal Alternatief,VVD,Ouderenpartij Kerkrade,GROENLINKS,K.O.E.,Democraten 66 (D66)
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Kerkzaal,0928::SB11,6463 AS,1276,522,1,2,0,0,0,462,63,0,0,0,0,0,525,226,34,77,26,56,47,11,20,11,3,11
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Zorgcentrum Hoog Anstel,0928::SB12,6463 XX,819,314,2,0,0,0,0,284,32,0,0,0,0,0,316,132,23,45,30,28,23,10,15,0,2,6
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Oleanderhof,0928::SB13,6463 GN,1312,556,7,2,0,0,0,511,54,0,0,0,0,0,565,259,46,87,26,70,14,13,25,11,2,3
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Centrum Op de Bies,0928::SB14,6463 DM,1639,631,19,1,0,0,0,585,66,0,0,0,0,0,651,247,52,68,28,64,44,66,33,16,0,13
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Gebouw Scouting,0928::SB15,6464 CH,1379,721,6,4,0,0,0,659,72,0,0,0,0,0,731,291,76,92,42,66,41,52,33,14,4,10
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Gebouw speeltuin van Meertenstraat,0928::SB16,,1291,570,1,3,0,0,0,510,64,0,0,0,0,0,574,155,137,48,31,36,30,45,48,21,1,18
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Zorgcentrum Laethof,0928::SB17,6471 GB,2186,1050,4,10,0,0,0,971,93,0,0,0,0,0,1064,187,410,65,70,85,38,51,52,36,2,54
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Basisschool de Schatkist,0928::SB18,6471 HN,1726,785,2,3,0,0,0,682,108,0,0,0,0,0,790,117,387,29,51,65,23,24,29,22,4,34
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Basisschool de Veldhof,0928::SB19,6471 GL,1086,646,2,0,0,0,0,570,78,0,0,0,0,0,648,107,309,35,37,53,22,29,19,12,1,22
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Gezondheidscentrum Kling Nullet,0928::SB20,6462 XB,0,222,0,2,0,0,0,205,19,0,0,0,0,0,224,78,22,33,13,13,28,10,18,3,2,2
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Clublokaal v.v. R.K.T.S.V,0928::SB21,6467 BH,1175,437,1,3,0,0,0,390,51,0,0,0,0,0,441,128,41,77,30,52,40,25,26,9,1,8
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Basisschool de Doorkijk,0928::SB22,6467 CE,1744,799,2,3,0,0,0,705,99,0,0,0,0,0,804,211,52,98,58,97,73,84,55,32,5,34
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Zorgcentrum Firenschat,0928::SB23,6467 EA,1200,714,2,4,0,0,0,630,90,0,0,0,0,0,720,180,60,104,54,99,72,55,48,22,2,18
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Basisschool de Schakel,0928::SB24,6466 XN,1260,512,0,3,0,0,0,452,63,0,0,0,0,0,515,131,56,56,34,71,61,29,36,13,4,21
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Lupinehof,0928::SB25,6466 SK,807,387,0,1,0,0,0,336,52,0,0,0,0,0,388,107,58,53,12,77,27,12,15,21,1,4
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau 't Westhoes,0928::SB26,6466 SZ,1502,612,1,4,0,0,0,539,78,0,0,0,0,0,617,250,62,57,24,55,101,16,22,16,1,8
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau voormalig Schoolgebouw,0928::SB27,6466 JM,1108,456,5,2,0,0,0,419,44,0,0,0,0,0,463,110,39,82,27,67,62,23,27,12,2,5
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Verenigingsgebouw Heidsjer Trefpunt,0928::SB28,6466 HR,1692,734,6,1,0,0,0,664,77,0,0,0,0,0,741,235,58,94,62,99,67,51,29,23,1,15
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Basisschool De Spoorzoeker,0928::SB29,6466 GG,1676,829,1,6,0,0,0,755,82,0,0,0,0,0,837,279,83,109,50,109,46,49,46,25,11,22
