contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,TOP/GEMEENTEBELANGEN,CDA,Partij van de Arbeid (P.v.d.A.),VVD,ChristenUnie,55 terneuzen,Democraten 66 (D66),Staatkundig Gereformeerde Partij (SGP),GROENLINKS,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),50PLUS,Provinciaal Belang Zeeland,Sociaal Terneuzen
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Protestante Gemeente Hoek,0715::SB15,4542 AE,1246,795,1,1,0,0,0,701,96,0,0,0,0,0,797,247,86,49,56,36,6,22,132,27,75,33,13,9,4
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau SVRZ De Molenhof,0715::SB16,4543 CM,1108,913,3,4,0,0,0,800,120,0,0,0,0,0,920,178,190,40,50,102,3,22,138,24,97,19,31,2,17
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Gymnastieklokaal Zaamslag,0715::SB17,4543 AC,1199,489,0,0,0,0,0,440,49,0,0,0,0,0,489,132,98,25,13,51,4,10,66,18,38,12,16,3,3
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Welzijnscentrum  't Meulengat,0715::SB18,4541 GS,1872,798,2,5,0,0,0,718,87,0,0,0,0,0,805,102,198,55,52,9,17,12,28,42,153,68,44,4,14
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau MFC De Statie,0715::SB19,4551 AL,2903,1257,0,7,0,0,0,1128,136,0,0,0,0,0,1264,512,143,102,74,1,17,18,7,41,191,79,42,4,26
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau SVRZ 't Verlaet,0715::SB20,4554 BE,1568,744,1,4,0,0,0,649,100,0,0,0,0,0,749,235,146,61,40,4,10,18,4,32,87,39,38,5,25
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Gemeenschapscentrum De Kaaie,0715::SB21,4553 BG,1703,956,5,5,0,0,0,843,123,0,0,0,0,0,966,128,238,72,121,9,38,38,26,59,161,27,20,4,15
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau SVRZ De Vurssche,0715::SB22,4571 HT,1751,847,3,1,0,0,0,772,80,0,0,1,0,0,852,178,125,75,44,112,8,24,27,29,103,24,39,17,42
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Het Trefpunt,0715::SB23,4571 KC,1891,944,4,2,0,0,0,844,107,1,0,1,0,0,951,214,142,79,57,116,15,17,33,36,111,31,53,8,32
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Gregoriuscentrum,0715::SB24,4571 BH,2573,1376,6,4,0,0,0,1218,168,0,0,0,0,0,1386,325,203,124,84,138,14,24,20,69,158,43,69,19,86
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Zorgcentrum De Lange Akkers,0715::SB25,4576 DX,1861,936,2,8,0,0,0,946,0,0,0,0,0,0,946,116,105,272,113,11,12,28,2,51,101,47,64,2,12
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Gemeenschapshuis 't Kaaike,0715::SB26,4574 RD,975,555,0,2,0,0,0,500,56,0,1,0,0,0,556,93,165,32,54,11,2,14,5,36,51,23,27,2,40
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Mobiel stembureau 1,0715::SB27,,0,211,3,4,0,0,0,199,19,0,0,0,0,0,218,51,36,21,19,4,6,5,9,12,27,3,13,1,4
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Mobiel stembureau 2,0715::SB28,,0,203,1,0,0,0,0,179,25,0,0,0,0,0,204,27,39,23,15,14,6,10,8,8,28,16,4,1,4
