contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,FNP,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),ChristenUnie,Nieuwe Communistische Partij-NCPN,GROENLINKS,Burgerpartij De Fryske Marren
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Doarpshûs De Stjelp, Idskenhuizen",1940::SB14,8523 NW,409,256,0,1,0,0,0,229,28,0,0,0,0,0,257,33,136,17,19,3,26,1,14,7
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau De Hoekstien, Langweer",1940::SB15,8525 EL,964,503,2,2,0,0,0,464,43,0,0,0,0,0,507,111,112,73,98,35,10,5,36,23
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Zorgcent Doniahiem, Sint Nicolaasga",1940::SB16,8521 JT,1376,843,1,2,0,0,0,769,77,0,0,0,0,0,846,202,325,66,126,21,27,16,48,12
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Sporthal Doniahal, Sint Nicolaasga",1940::SB17,8521 KS,1337,711,2,0,0,0,0,667,46,0,0,0,0,0,713,181,225,70,78,42,20,20,58,17
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Doarpshûs 't Spantsje, Tjerkgaast",1940::SB18,8522 ME,291,180,0,0,0,0,0,154,26,0,0,0,0,0,180,53,73,10,20,7,5,1,9,2
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Dorpshuis De Gearsit, Broek",1940::SB19,8512 AB,188,122,0,0,0,0,0,112,10,0,0,0,0,0,122,26,32,11,22,3,2,0,19,7
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Dorpshuis De Hichte, Ouwsterhaule",1940::SB20,8513 CM,537,282,0,0,0,0,0,263,19,0,0,0,0,0,282,78,60,25,52,18,9,3,24,13
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau TV De Skarslach, Scharsterbrug",1940::SB21,8517 HZ,631,321,1,1,0,0,0,294,29,0,0,0,0,0,323,94,76,33,33,17,13,14,18,23
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau De Klokkenstoel, Goingarijp",1940::SB22,8511 AE,216,167,1,1,0,0,0,157,12,0,0,0,0,0,169,29,28,38,30,20,4,3,11,4
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Dorpshuis De Buorkerij, Terherne",1940::SB23,8493 LC,632,379,1,0,0,0,0,361,19,0,0,0,0,0,380,106,48,40,92,39,6,1,40,7
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau MAC Het Baken, Lemmer",1940::SB24,8531 GM,1110,663,3,0,0,0,0,604,62,0,0,0,0,0,666,87,102,131,96,35,36,153,16,7
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau De Zandbanken, Lemmer",1940::SB25,8531 LX,1078,572,1,1,0,0,0,523,51,0,0,0,0,0,574,73,102,59,82,32,25,157,27,15
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Buurthuis Sterrehuis, Lemmer",1940::SB26,8531 MV,1091,912,2,4,0,0,0,838,80,0,0,0,0,0,918,113,162,134,138,101,34,145,60,25
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau SCC De Hege Fonnen, Lemmer",1940::SB27,8531 MV,1139,623,0,1,0,0,0,565,59,0,0,0,0,0,624,66,132,80,139,66,24,60,39,17
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Zorgcentrum Suderigge, Lemmer",1940::SB28,8531 EL,1107,538,3,2,0,0,0,486,57,0,0,0,0,0,543,91,83,59,42,32,46,146,26,13
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau MFA De Steiger, Lemmer",1940::SB29,8531 BW,1305,630,0,3,0,1,0,558,76,0,0,1,0,0,634,52,57,99,33,27,31,275,39,17
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Baptistengemeente, Lemmer",1940::SB30,8531 NZ,1470,707,5,1,0,1,0,641,73,0,0,1,0,0,714,107,95,93,153,56,50,66,49,38
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Café Rest Tjeukemeer, Oosterzee",1940::SB31,8536 TS,854,419,5,0,0,0,0,387,37,0,0,0,0,0,424,60,79,46,37,35,55,62,34,11
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau SCC De Pomp, Bantega",1940::SB32,8538 RB,508,281,0,1,0,0,0,260,22,0,0,0,0,0,282,47,87,30,25,29,26,13,17,7
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Dorpshuis De Brêge, Echtenerbrug",1940::SB33,8539 SH,1122,614,2,3,0,0,0,570,49,0,0,0,0,0,619,103,138,64,71,50,84,37,52,15
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Servicepunt DFM, Balk",1940::SB34,8561 BC,1234,799,4,1,0,0,0,741,63,0,0,0,0,0,804,164,166,100,130,46,46,18,83,46
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Zorgcentrum Talma Hiem, Balk",1940::SB35,8561 DD,907,511,2,1,0,0,0,482,31,0,1,0,1,0,513,125,167,58,53,21,18,14,36,19
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Zalencentrum De Treemter, Balk",1940::SB36,8561 BK,980,482,0,0,0,0,0,453,29,0,0,0,0,0,482,120,108,55,71,25,34,14,34,21
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Dorpshuis Irene, Wijckel",1940::SB37,8563 AJ,511,301,3,0,0,0,0,286,18,0,0,0,0,0,304,62,102,25,28,16,17,7,37,7
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Doarpshûs De Bining, Sondel",1940::SB38,8565 GD,305,213,0,3,0,0,0,176,38,0,2,0,2,0,214,47,78,9,16,12,22,6,16,7
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Doarpshûs Nijemardum, Nijemirdum",1940::SB39,8566 JH,429,282,1,1,0,0,0,256,28,0,0,0,0,0,284,62,101,7,28,12,38,5,22,7
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau MFC It Klif, Oudemirdum",1940::SB40,8567 JN,1057,651,7,2,0,0,0,595,65,0,0,0,0,0,660,97,152,45,85,26,126,11,79,30
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau MFC De Gearte, Bakhuizen",1940::SB41,8574 SZ,1090,527,7,1,0,0,0,480,55,0,0,0,0,0,535,97,235,40,33,25,15,17,49,16
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau MFC De Skeakel, Oudega",1940::SB42,8582 KX,253,172,0,1,0,0,0,159,14,0,0,0,0,0,173,81,59,6,7,1,2,4,12,0
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Doarpshûs Us Nije Gea, Elahuizen",1940::SB43,8581 KE,272,170,0,0,0,0,0,156,14,0,0,0,0,0,170,54,31,24,33,9,4,1,10,4
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Ons Gebouw, Harich",1940::SB44,8571 RH,478,354,0,0,0,0,0,324,30,0,0,0,0,0,354,86,117,29,41,11,13,5,39,13
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau SCC De Poarte, Sloten",1940::SB45,8556 AA,587,327,1,1,0,0,0,306,23,0,0,0,0,0,329,89,71,33,45,15,23,10,23,18
