contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Burgerbelang Zutphen Warnsveld,SP (Socialistische Partij),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,STADSPARTIJ Zutphen Warnsveld,VVD,CDA,ChristenUnie,BewustZW
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau School Theo Thijssen,0301::SB12,7205 BZ,1963,1026,6,6,0,0,0,938,100,0,0,0,0,0,1038,101,156,109,137,185,71,104,90,36,37
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Serviceflat De IJssel,0301::SB13,,1150,582,3,2,0,0,0,550,37,0,0,0,0,0,587,54,113,49,79,86,41,41,58,44,17
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau School De Parel,0301::SB14,,1956,879,6,1,0,0,0,826,60,0,0,0,0,0,886,97,166,99,127,147,55,42,42,41,63
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Buurthuis De Uitwijk,0301::SB15,,1755,1200,3,5,0,1,0,1111,98,0,0,1,0,0,1209,121,223,95,195,177,83,111,79,48,68
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Vrije School Zutphen VO,0301::SB16,,993,534,1,1,0,0,0,500,36,0,0,0,0,0,536,41,75,78,65,113,56,36,38,15,17
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Ziekenhuis Zutphen,0301::SB17,,1732,781,4,3,0,0,0,704,84,0,0,0,0,0,788,95,75,117,118,106,39,102,55,33,41
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Lea Dasbergschool,0301::SB18,,1296,1053,5,2,0,0,0,997,63,0,0,0,0,0,1060,161,133,118,157,172,50,100,71,36,55
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Educatief Centrum De Mene (1),0301::SB19,,1880,837,3,1,0,0,0,772,69,0,0,0,0,0,841,115,83,120,97,120,54,130,61,23,34
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Educatief Centrum De Mene (2),0301::SB20,,1703,655,2,1,0,0,0,608,50,0,0,0,0,0,658,88,65,70,69,109,43,97,62,25,27
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Chr. School Arcade,0301::SB21,,1353,942,12,2,0,0,0,895,61,0,0,0,0,0,956,160,99,120,108,115,35,132,71,41,61
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Isendoorn Oostkaap,0301::SB22,,1206,499,2,1,0,0,0,461,41,0,0,0,0,0,502,63,57,56,66,85,36,39,54,28,15
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau 't Warnshuus,0301::SB23,,1565,1326,5,0,0,4,0,1223,112,0,0,4,0,0,1335,213,203,125,143,179,97,146,105,52,63
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Zorg-wooncentrum den Bouw,0301::SB24,,1238,876,2,4,0,0,0,815,65,0,2,0,2,0,880,111,76,111,78,126,46,169,86,31,42
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Het Nutsgebouw,0301::SB25,,1270,899,4,3,0,2,0,832,76,0,0,2,0,0,908,145,104,128,82,156,66,94,64,22,38
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau ROC Aventus,0301::SB26,,496,249,0,2,0,0,0,235,16,0,0,0,0,0,251,26,38,30,28,65,16,23,11,5,7
