contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Westland Verstandig,LPF Westland,GemeenteBelang Westland (GBW),VVD,ChristenUnie-SGP,Democraten 66 (D66),GROENLINKS,Partij van de Arbeid (P.v.d.A.)
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk De Regenboog,1783::SB13,2672 DR,1376,861,1,0,0,0,0,765,97,0,0,0,0,0,862,190,113,189,164,105,18,40,25,17
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk ISW Lage Woerd,1783::SB14,2671 AD,1376,177,0,1,0,0,0,157,21,0,0,0,0,0,178,44,23,48,24,19,6,1,9,3
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Honselersdijk De Hunselaer,1783::SB15,2675 XJ,1376,798,2,1,0,0,0,728,73,0,0,0,0,0,801,177,184,168,114,54,14,31,35,21
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Honselersdijk Zalencentrum Hemelsblauw 1,1783::SB16,2675 CL,1376,782,1,1,0,0,0,712,72,0,0,0,0,0,784,164,163,172,113,77,22,32,26,13
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Honselersdijk Zalencentrum Hemelsblauw 2,1783::SB17,2675 CL,1376,815,3,1,0,1,0,739,81,0,0,1,0,0,820,166,149,198,132,83,15,25,32,15
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Honselersdijk Basisschool De Hoeksteen,1783::SB18,2675 XT,1376,508,0,5,0,0,0,444,69,0,0,0,0,0,513,114,118,97,83,42,10,21,7,16
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Honselersdijk Openbare Daltonschool,1783::SB19,2675 WJ,1376,299,1,0,0,0,0,265,35,0,0,0,0,0,300,54,76,72,41,23,5,9,15,4
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Maasdijk Basisschool Het Kompas,1783::SB20,2676 XH,1376,774,3,0,0,0,0,682,95,0,0,0,0,0,777,156,104,307,55,50,62,14,15,11
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Maasdijk Kerkgebouw De Hoeksteen 1,1783::SB21,2676 VP,1376,590,2,3,0,0,0,538,57,0,0,0,0,0,595,138,76,194,53,42,55,17,12,3
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Maasdijk Kerkgebouw De Hoeksteen 2,1783::SB22,2676 VP,1376,619,0,3,0,1,0,553,71,1,0,2,0,0,624,165,73,237,51,28,44,8,10,3
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau 's-Gravenzande Gemeentekantoor,1783::SB23,2691 BE,1376,886,1,6,0,0,0,788,104,0,1,0,1,0,892,195,234,71,127,97,77,34,43,8
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau 's-Gravenzande Zwembad Maesemunde,1783::SB24,2691 GH,1376,340,2,2,0,0,0,301,43,0,0,0,0,0,344,71,53,59,51,39,28,11,21,7
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau 's-Gravenzande Bibliotheek,1783::SB25,2692 AG,1376,1212,6,2,0,0,0,1083,137,0,0,0,0,0,1220,251,299,150,167,113,123,44,46,19
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau 's-Gravenzande Zalencentrum De Brug 1,1783::SB26,2691 GC,1376,748,0,3,0,0,0,663,88,0,0,0,0,0,751,142,163,112,108,64,92,25,23,19
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau 's-Gravenzande Zalencentrum De Brug 2,1783::SB27,2691 GC,1376,637,1,1,0,0,0,568,71,0,0,0,0,0,639,108,149,92,95,45,95,20,24,9
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau 's-Gravenzande Zalencentrum De Kiem,1783::SB28,2691 GC,1376,1161,5,0,0,0,0,1033,133,0,0,0,0,0,1166,262,272,155,173,83,104,37,47,28
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau 's-Gravenzande Wijkcentrum Larix,1783::SB29,2691 DE,1376,837,3,1,0,0,0,758,83,0,0,0,0,0,841,214,226,102,111,33,90,27,22,12
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau 's-Gravenzande Verpleeghuis De Kreek,1783::SB30,2691 CK,1376,877,0,4,0,0,0,783,98,0,0,0,0,0,881,177,226,118,132,71,59,43,36,15
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau 's-Gravenzande Godfried Bomansschool,1783::SB31,2691 TM,1376,657,2,3,0,0,0,599,63,0,0,0,0,0,662,122,150,87,95,55,53,42,30,23
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau 's-Gravenzande Woonzorgcentrum Sonnevanck,1783::SB32,2692 BS,1376,892,0,3,0,10,0,784,101,0,10,0,0,0,885,196,184,112,133,69,98,30,52,18
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau 's-Gravenzande Pr.W.Alexanderschool,1783::SB33,2694 BW,1376,985,1,0,0,0,0,867,120,0,0,1,0,1,987,248,130,119,254,94,70,42,21,7
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau 's-Gravenzande Basisschool De Kameleon,1783::SB34,2691 LR,1376,574,1,6,0,0,0,501,80,0,0,0,0,0,581,152,137,104,75,40,38,15,5,8
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Monster Basisschool De Zeester 1,1783::SB35,2681 LB,1376,334,2,0,0,0,0,301,35,0,0,0,0,0,336,67,56,33,76,45,22,24,7,4
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Monster Basisschool De Zeester 2,1783::SB36,2681 LB,1376,448,2,0,0,0,0,397,53,0,0,0,0,0,450,99,95,52,82,49,12,30,11,18
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Monster De Haven,1783::SB37,2681 LB,1376,1087,3,4,0,0,0,960,134,0,0,0,0,0,1094,213,236,113,187,67,187,28,42,14
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Monster Verenigingsgebouw De Hoeksteen,1783::SB38,2681 AB,1376,889,0,2,0,0,0,786,104,0,1,0,1,0,890,233,188,112,143,48,82,24,43,16
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Monster Bibliotheek,1783::SB39,2681 NT,1376,1749,4,3,1,0,0,1584,173,0,0,1,0,0,1757,307,434,197,317,104,166,55,125,44
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Monster Sportpark Polanen,1783::SB40,2681 HN,1376,1098,4,5,0,0,0,973,135,1,0,1,0,0,1108,188,274,134,213,88,44,46,80,31
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Ter Heijde Dorpshuis Het Vrondel,1783::SB41,2684 XE,1376,817,2,2,0,0,0,721,101,1,0,1,0,0,822,107,306,87,146,28,45,32,49,17
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Poeldijk Basisschool Verburch-hof,1783::SB42,2685 RS,1376,834,3,1,0,1,0,727,110,0,1,0,0,0,837,165,151,207,180,66,10,24,21,10
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Poeldijk Woonzorgcentrum De Terwebloem,1783::SB43,2685 GB,1376,1140,1,3,0,1,0,1015,128,0,1,0,0,0,1143,246,217,244,204,76,50,28,47,28
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Poeldijk Basisschool  De Nieuwe Weg,1783::SB44,2685 WB,1375,917,2,1,0,0,0,810,110,0,0,0,0,0,920,142,202,200,219,30,25,29,46,24
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Wateringen Bibliotheek,1783::SB45,2291 HN,1375,732,0,1,0,0,0,659,74,0,0,0,0,0,733,152,134,88,135,76,9,55,59,24
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Wateringen Parochiezaal De Kolenkit,1783::SB46,2291 SZ,1375,1042,8,2,0,0,0,957,96,0,0,1,0,1,1053,242,197,124,176,105,33,67,63,35
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Wateringen Careyn De Ark,1783::SB47,2291 BD,1375,1116,2,7,0,0,0,1014,111,0,0,0,0,0,1125,296,195,115,181,121,24,61,70,53
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Wateringen Kerkelijk Centrum De Smidse,1783::SB48,2291 CA,1375,1484,1,5,0,0,0,1347,143,0,0,0,0,0,1490,355,251,187,263,159,49,81,87,52
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Wateringen Ontmoetingsruimte De Vang,1783::SB49,2291 LC,1375,657,5,4,0,0,0,596,71,0,0,1,0,1,667,149,102,90,131,45,15,52,53,20
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Wateringen Ontmoetingsplek Joop,1783::SB50,2292 CG,1375,847,0,2,1,0,0,770,80,0,0,1,0,0,850,174,119,124,165,101,23,64,39,38
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Wateringen St. Jozefbasisschool,1783::SB51,2292 AD,1375,562,0,1,0,0,0,509,54,0,0,0,0,0,563,133,85,74,106,68,9,36,37,14
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Kwintsheul Dorpshuis Kastanjehof 1,1783::SB52,2295 LB,1375,656,1,1,0,0,0,603,55,0,0,0,0,0,658,177,135,119,50,85,10,28,35,17
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Kwintsheul Dorpshuis Kastanjehof 2,1783::SB53,2295 LB,1375,537,0,0,0,0,0,475,62,0,0,0,0,0,537,150,114,102,50,57,13,26,15,10
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Kwintsheul Basisschool Andreashof,1783::SB54,2295 PE,1375,826,4,0,0,0,0,728,102,0,0,0,0,0,830,194,208,147,85,86,8,38,33,27
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau De Lier Partycentrum De Rank,1783::SB55,2678 AV,1375,694,3,2,0,0,0,636,63,0,0,0,0,0,699,256,116,93,106,65,14,20,14,10
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau De Lier Partycentrum 't Centrum 1,1783::SB56,2678 CM,1375,799,1,2,0,0,0,711,91,0,0,0,0,0,802,291,111,148,102,70,14,26,28,9
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau De Lier Partycentrum 't Centrum 2,1783::SB57,2678 CM,1375,579,1,0,0,0,0,509,71,0,0,0,0,0,580,224,99,75,68,49,33,10,9,12
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau De Lier Basisschool Prins Willem-Alexander,1783::SB58,2678 TX,1375,700,0,1,0,0,0,631,70,0,0,0,0,0,701,219,120,91,122,37,32,33,31,15
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau De Lier Gebouw De Viermaster,1783::SB59,2678 BP,1375,882,2,2,0,0,0,804,82,0,0,0,0,0,886,253,172,144,140,74,28,28,29,14
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau De Lier Sportcentrum Vreeloo 1,1783::SB60,2678 LN,1375,895,2,1,0,0,0,795,103,0,0,0,0,0,898,250,164,160,151,85,20,25,25,15
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau De Lier Sportcentrum Vreeloo 2,1783::SB61,2678 LN,1375,533,3,2,0,0,0,479,59,0,0,0,0,0,538,137,93,112,88,49,9,16,20,9
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau De Lier De Achtsprong,1783::SB62,2678 TC,1375,689,1,5,0,0,0,620,75,0,0,0,0,0,695,190,130,133,115,47,20,15,28,11
