contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Pro Hengelo,SP (Socialistische Partij),CDA,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Burger Belangen,GROENLINKS,ChristenUnie,PVV (Partij voor de Vrijheid),LokaalHengelo,DFH
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau SBO De Batavier,0164::SB14,7557 RH,1644,675,5,4,0,0,0,618,66,0,0,0,0,0,684,87,138,93,59,49,28,37,33,13,60,72,6
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Carintreggeland Huis 't Gerbrand,0164::SB15,7557 TP,1357,532,4,1,1,0,0,489,47,0,1,0,0,0,536,56,114,50,57,41,36,22,26,13,35,73,9
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Dienstencentrum 't Swafert,0164::SB17,7552 ZB,1601,656,4,4,0,0,0,644,21,1,0,1,0,0,665,82,132,102,46,35,41,64,21,30,36,54,13
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Wijkcentrum De Tempel,0164::SB18,7552 JZ,1887,957,7,4,0,1,0,890,79,0,0,1,0,0,969,137,170,138,64,64,54,60,53,47,58,96,16
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Basisschool Drienermarke,0164::SB19,7552 HE,1892,1515,4,8,0,0,0,1377,150,0,0,0,0,0,1527,218,160,152,240,153,113,110,128,61,44,110,26
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Woonzorgcentrum Humanitas,0164::SB20,7552 DN,1876,1096,9,5,0,0,0,1016,95,1,0,1,0,0,1111,176,129,119,197,86,70,67,57,35,55,95,10
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau MFA 't Berflo,0164::SB22,7552 VG,1572,769,2,4,0,0,0,705,70,0,0,0,0,0,775,88,94,34,99,81,80,66,59,12,49,94,13
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Nivoncentrum Hengelo,0164::SB23,7553 LB,1953,1033,6,5,0,0,0,966,78,0,0,0,0,0,1044,155,163,69,118,81,59,86,43,30,96,118,15
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Ontmoetingsruimte Berflohoes,0164::SB24,7553 LG,1810,771,4,9,0,0,0,742,42,0,0,0,0,0,784,122,132,57,72,59,55,47,46,25,43,101,12
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau ROC van Twente,0164::SB25,7553 VZ,1495,751,5,2,0,0,0,686,72,0,0,0,0,0,758,115,104,47,96,92,56,49,53,23,49,52,15
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Buurtcentrum 't Lansink,0164::SB26,7553 BS,1818,1065,2,5,0,0,0,986,86,0,0,0,0,0,1072,155,166,54,126,97,94,130,79,19,36,90,19
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Basisschool Esrein,0164::SB27,7553 HW,1842,879,5,6,0,0,0,850,38,0,2,0,2,0,888,140,127,61,99,70,51,84,45,34,62,97,9
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Basisschool De Bleek,0164::SB29,7554 PR,1017,679,2,2,0,0,0,601,82,0,0,0,0,0,683,37,25,427,63,22,14,14,19,6,27,14,11
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Daltonschool Hengelo Zuid,0164::SB30,7555 KA,1993,1348,10,2,0,0,0,1223,137,0,0,0,0,0,1360,176,118,130,241,139,73,103,82,36,64,159,27
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Ontmoetingsruimte Vertierkwartier,0164::SB31,7555 DS,1680,930,6,1,0,0,0,875,62,0,0,0,0,0,937,140,212,60,78,56,97,65,34,24,46,110,8
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Daltonschool 't Schöppert,0164::SB33,7558 DJ,1988,1152,12,1,0,0,0,1017,148,0,0,0,0,0,1165,211,137,109,156,123,59,80,62,49,60,95,11
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Basisschool De Timp,0164::SB35,7558 LA,1891,1125,1,2,0,0,0,1015,111,0,2,0,2,0,1126,187,139,106,144,69,69,88,55,72,51,133,12
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Basisschool 't Eimink,0164::SB36,7558 LA,1975,740,3,1,0,0,0,681,63,0,0,0,0,0,744,130,99,84,113,50,39,46,29,30,35,75,10
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Basisschool De Borgh,0164::SB38,7558 WV,1872,1409,4,1,0,0,0,1272,142,0,0,0,0,0,1414,253,185,92,152,143,71,109,73,75,72,158,26
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Wijkcentrum Kulturhus Hasselo,0164::SB39,7558 CP,2029,1288,0,3,0,0,0,1175,116,0,0,0,0,0,1291,217,217,148,124,94,62,91,61,75,51,135,13
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Basisschool De Telgenkamp,0164::SB40,7559 AR,1939,1207,4,1,0,0,0,1095,117,0,0,0,0,0,1212,211,101,117,187,109,54,96,72,60,65,116,19
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Basisschool De Telgenkamp,0164::SB41,7559 NB,1921,1083,4,3,0,0,0,968,122,0,0,0,0,0,1090,169,124,92,251,100,53,61,58,26,36,99,14
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Basisschool Europaschool,0164::SB42,7559 NN,1996,1474,5,2,0,0,0,1329,152,0,0,0,0,0,1481,189,136,122,369,167,110,86,66,24,72,118,15
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Daltonschool De Rank,0164::SB43,7559 HR,2018,1110,4,2,0,0,0,987,129,0,0,0,0,0,1116,148,85,121,311,128,27,60,46,34,50,88,12
