contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen Borger-Odoorn,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Leefbaar Borger-Odoorn
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau MFA  Brughuus Valthermond,1681::SB11,7876 GJ,1467,813,5,3,0,0,0,750,71,0,0,0,0,0,821,237,86,72,102,22,68,40,186
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau,1681::SB12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Ontmoetingscentrum 't Anker,1681::SB13,9531 AA,1455,717,4,0,0,0,0,668,53,0,0,0,0,0,721,212,106,130,112,28,20,56,53
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau MFA het Hunzehuys,1681::SB14,9531 CH,1351,1225,4,4,0,0,0,1124,109,0,0,0,0,0,1233,384,194,213,176,71,26,98,63
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Borgerhof Borger,1681::SB15,9531 RA,1120,504,3,4,0,0,0,471,40,0,0,0,0,0,511,158,88,92,65,29,14,26,32
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau H.R.Hartlief Buinen (El Zorro),1681::SB16,9528 PC,668,413,1,0,0,0,0,380,34,0,0,0,0,0,414,135,40,110,35,28,11,25,29
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Dorpshuis Mr Hekmanhoes Drouwen,1681::SB17,9533 PL,596,348,2,0,0,0,0,314,36,0,0,0,0,0,350,103,49,80,9,21,11,62,13
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Dorpshuis Mandielig Hoes Ees,1681::SB18,9536 PN,552,359,1,0,0,0,0,318,42,0,0,0,0,0,360,86,24,94,63,17,22,28,25
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau De Viersprong Buinerveen,1681::SB19,9524 PA,865,400,1,2,0,0,0,366,37,0,0,0,0,0,403,182,41,49,26,16,19,13,54
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Verenigingsgebouw in het Tussendiep,1681::SB20,9521 CB,917,338,2,0,0,0,0,307,33,0,0,0,0,0,340,122,34,33,48,16,41,11,33
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau,1681::SB21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau MFA de Noorderbreedte,1681::SB22,9521 BC,2356,1136,2,1,0,0,0,1047,92,0,0,0,0,0,1139,438,187,71,128,40,120,54,98
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Dorpshuis Assekolke Drouwenermond,1681::SB23,9523 TA,452,247,1,0,0,0,0,221,27,0,0,0,0,0,248,73,50,25,39,6,13,11,30
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Dorpshuis Drouwenerveen,1681::SB24,9525 TE,201,116,0,1,0,0,0,111,6,0,0,0,0,0,117,24,20,25,14,4,6,12,11
