contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),SP (Socialistische Partij),Lijst Smolders Tilburg ( LST ),VVD,CDA,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Voor Tilburg,Verenigde Seniorenpartij Tilburg,OPA,50PLUS,Links Offensief,Burgerinitiatief Tilburg (BIT),LOKAAL TILBURG
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Verzorgingscentrum De Heikant,0855::SB38,,2568,1116,5,5,0,0,0,1038,88,0,0,0,0,0,1126,108,122,337,72,140,64,78,32,21,13,83,3,7,36
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,"Stembureau 2 College Cobbenhagen, Brittendreef 5",0855::SB39,,895,451,5,1,0,0,0,413,44,0,0,0,0,0,457,66,39,109,62,38,26,47,12,1,2,27,2,2,18
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Basisschool D'n Hazennest,0855::SB40,,2576,1086,7,3,0,0,0,1009,87,0,0,0,0,0,1096,110,98,330,100,105,68,93,27,7,8,80,7,11,42
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau De Rooi Pannen,0855::SB41,,1800,789,5,0,0,0,0,722,72,0,0,0,0,0,794,129,83,149,69,58,41,97,24,38,14,43,19,3,22
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Parochiezaal de Goede Herder,0855::SB42,,2545,806,4,4,0,1,0,739,74,0,1,0,0,0,813,112,109,168,35,79,53,79,26,53,11,34,9,10,28
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Verpleeghuis De Hazelaar,0855::SB43,,1616,405,1,1,0,0,0,368,39,0,0,0,0,0,407,56,40,108,25,34,39,44,7,1,7,21,5,6,12
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Verzorgingscentrum Kievitshorst,0855::SB44,,2065,853,8,5,0,0,0,799,67,0,0,0,0,0,866,113,109,201,54,64,50,88,31,35,11,52,1,7,37
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Wijkcentrum 't Sant,0855::SB45,,2013,1026,11,20,0,0,0,974,81,0,2,0,2,0,1055,154,100,217,106,76,67,116,19,67,12,47,9,7,29
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Serviceflat De Duynsberg,0855::SB46,,3187,973,4,3,0,0,0,904,77,1,0,1,0,0,981,129,113,235,71,105,58,94,20,41,13,60,3,5,26
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Wijkgebouw Reinevaar,0855::SB47,,3022,1334,8,6,0,3,0,1208,143,0,0,3,0,0,1351,188,172,277,123,115,93,132,29,77,18,53,17,8,32
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau The King of Italy,0855::SB49,,2599,1069,2,2,0,0,0,963,110,0,0,0,0,0,1073,129,97,310,130,68,42,70,25,8,51,72,3,29,35
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Wijkcentrum Heyhoef,0855::SB50,,2484,1826,6,5,0,0,0,1663,174,0,0,0,0,0,1837,245,146,439,212,118,87,147,58,17,74,130,8,50,95
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Beatrixcollege,0855::SB51,,2469,1322,2,9,0,3,0,1201,135,0,0,3,0,0,1336,173,100,323,242,87,50,116,32,12,45,66,7,24,45
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Scholencentrum de Grote Beemd,0855::SB52,,2450,1092,4,3,0,0,0,973,126,0,0,0,0,0,1099,161,70,270,232,73,26,93,32,7,35,35,4,24,30
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau De Boemerang,0855::SB53,,2645,1058,4,4,0,0,0,948,118,0,0,0,0,0,1066,115,75,320,206,53,29,66,21,10,36,57,5,34,31
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Zorgcentrum de Reyshoeve,0855::SB55,,2548,1046,3,5,0,0,0,952,103,0,0,1,0,0,1055,92,111,311,124,66,44,77,26,6,39,58,4,47,41
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau OBS De Fonkel,0855::SB56,,2355,985,2,5,0,0,0,898,94,0,0,0,0,0,992,96,143,279,74,55,43,90,32,16,37,55,12,29,24
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Basisschool de Sporckt,0855::SB57,,3313,1133,4,1,0,0,0,1020,118,0,0,0,0,0,1138,175,76,298,180,92,52,68,30,2,26,53,6,47,28
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Openbare Basisschool Bibit,0855::SB58,,3593,1148,4,1,0,2,0,1014,141,0,0,2,0,0,1155,174,93,270,186,103,37,86,35,1,34,61,2,42,24
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Basisschool Meander,0855::SB59,,2627,1165,7,3,0,0,0,1059,116,0,0,0,0,0,1175,134,88,295,214,93,48,95,26,12,25,49,3,54,29
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Wijkcentrum de Schalm,0855::SB60,,2610,1411,6,0,0,0,0,1284,133,0,0,0,0,0,1417,251,54,274,280,247,40,108,28,1,5,58,3,7,55
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Zorgcentrum Torentjeshoef,0855::SB61,,2166,1389,2,10,0,0,0,1261,140,0,0,0,0,0,1401,230,89,261,278,204,49,114,36,3,5,70,1,8,41
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Sporthal Ruiven,0855::SB62,,2839,1505,3,5,0,0,0,1371,142,0,0,0,0,0,1513,298,77,336,284,200,44,102,32,0,4,63,1,6,58
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Basisschool St. Caecilia,0855::SB63,,1336,866,2,1,0,0,0,775,92,0,2,0,0,0,867,196,38,156,172,153,15,54,18,1,4,32,3,1,23
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,"Stembureau Stichting de Peppel, locatie Kruisgebouw",0855::SB64,,2245,1153,2,2,0,0,0,1065,92,0,0,0,0,0,1157,135,109,191,173,192,35,77,22,4,10,135,2,29,39
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Zorgcentrum De Eikelaar,0855::SB65,,2038,1012,5,3,0,0,0,1025,0,0,0,5,0,0,1025,114,76,190,150,228,31,80,16,3,13,61,1,15,34
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Basisschool Achthoeven,0855::SB66,,2375,1305,0,4,0,0,0,1197,112,0,0,0,0,0,1309,206,73,200,215,202,36,99,30,1,19,146,5,15,58
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Were Di Tilburg (hockey),0855::SB67,,1884,607,3,0,0,0,0,551,59,0,0,0,0,0,610,113,59,139,81,41,17,93,20,1,5,9,11,1,17
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Amarant (koffiekamer zwembad),0855::SB68,,507,326,0,1,0,0,0,296,31,0,0,0,0,0,327,50,37,75,40,44,16,25,8,1,7,10,1,6,6
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Openbare basisschool Koolhoven,0855::SB69,,5302,1462,0,2,0,2,0,1223,239,0,2,0,0,0,1462,257,69,340,350,81,41,118,42,12,15,44,2,43,48
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Wijcentrum De Back,0855::SB70,,3480,1932,9,4,0,0,0,1729,216,0,0,0,0,0,1945,469,102,220,296,263,121,250,41,30,7,51,5,3,74
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Informatiecentrum Piushaven,0855::SB72,,1674,857,2,1,0,0,0,768,92,0,0,0,0,0,860,230,56,139,114,37,23,174,8,1,1,30,7,7,30
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Centraal Station ( zuidzijde ),0855::SB701,,0,1178,9,0,0,0,0,1154,33,0,0,0,0,0,1187,347,79,96,164,62,64,296,21,2,4,7,12,4,20
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Interpolis,0855::SB702,,0,491,4,0,0,0,0,449,46,0,0,0,0,0,495,129,25,54,98,21,32,89,7,4,1,13,2,3,13
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Bibliotheek Tilburg Centrum,0855::SB703,,0,1154,5,4,0,4,0,1092,75,0,0,4,0,0,1167,305,104,154,166,42,45,218,22,3,14,20,16,3,42
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Tilburg University (Dante - ruimte DZ 06),0855::SB704,,2063,1837,12,10,0,5,0,1758,106,0,0,5,0,0,1864,586,98,118,359,130,66,314,35,31,5,29,19,8,39
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau St. Elisabeth Ziekenhuis,0855::SB706,,0,603,3,0,0,0,0,551,55,0,0,0,0,0,606,109,59,118,86,68,22,63,7,1,2,24,4,3,37
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Tweesteden Ziekenhuis,0855::SB707,,0,343,1,1,0,0,0,309,36,0,0,0,0,0,345,80,26,63,35,19,17,62,4,2,2,13,2,1,17
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Centraal Station ( noordzijde ),0855::SB711,,0,771,3,3,0,0,0,742,35,0,0,0,0,0,777,249,51,50,100,38,33,193,17,2,3,11,6,5,13
