contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,CDA,OPEN/GROENLINKS/P.v.d.A.,Staatkundig Gereformeerde Partij (SGP),Burger Vertegenwoordiging Heuvelrug,ChristenUnie
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Dorpskerk,1581::SB11,3953 MH,982,638,6,1,0,0,0,578,67,0,0,0,0,0,645,72,127,129,100,93,86,31
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Kerk De Ark,1581::SB12,3951 LC,1170,526,1,2,0,0,0,475,54,0,0,0,0,0,529,99,156,77,58,22,100,14
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau De Twee Marken,1581::SB13,3951 CR,1249,1248,3,0,0,0,0,1149,102,0,0,0,0,0,1251,245,302,172,218,53,225,33
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Kerkgebouw De Ark,1581::SB14,3958 CG,1325,911,3,1,0,0,0,835,81,1,0,1,0,0,916,94,242,140,173,83,146,33
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau De Proloog,1581::SB15,3958 KA,1556,836,4,2,0,0,0,758,84,0,0,0,0,0,842,90,149,170,154,68,141,64
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau De Ridderhof,1581::SB16,3958 DC,1457,730,2,1,0,0,0,668,66,1,0,1,0,0,734,92,149,135,121,58,135,40
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau De Buurthucht,1581::SB17,3959 AM,1165,729,0,2,0,0,0,640,91,0,0,0,0,0,731,26,77,142,45,322,53,64
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Michaëlhuis,1581::SB18,3956 BW,1477,965,7,2,0,0,0,869,104,0,1,0,1,0,973,98,225,175,129,146,146,46
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau WereldKidz Meander,1581::SB19,3956 EW,1538,758,4,0,0,0,0,693,69,0,0,0,0,0,762,103,155,146,127,60,141,26
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau De Schermerij,1581::SB20,3956 HA,1478,882,4,5,0,0,0,807,84,0,0,0,0,0,891,107,217,160,139,60,162,37
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau De Binder,1581::SB21,3956 ED,1365,1003,3,3,0,0,0,921,88,0,0,0,0,0,1009,119,248,185,134,64,222,31
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Cultuurhuis Pléiade,1581::SB22,3941 HV,1662,1564,6,6,0,0,0,1399,177,0,0,0,0,0,1576,254,363,237,258,216,196,40
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Het Zonnehuis,1581::SB23,3941 RB,1745,884,3,2,0,0,0,772,117,0,0,0,0,0,889,134,266,92,118,150,100,24
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Sporthal Steinheim,1581::SB24,3941 MB,1737,876,5,3,0,0,0,813,71,0,0,0,0,0,884,125,134,137,151,138,154,37
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Huize Beatrix,1581::SB25,3941 ZE,1589,1072,6,2,0,0,0,940,140,0,0,0,0,0,1080,160,395,124,132,53,183,25
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Park Boswijk,1581::SB26,3941 AA,1427,643,4,5,0,0,0,590,58,0,4,0,4,0,648,93,176,95,115,59,75,30
