contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,Leefbaar Almere,SP (Socialistische Partij),GROENLINKS,CDA,ChristenUnie,AP/OPA,WSTAV (Wij Staan Voor),Respect Almere,Almere Anders'18,GLP,WOW (Wonen Ondernemen Werken),Partij voor de Dieren
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Het Spectrum I,0034::SB27,,1994,840,6,4,0,0,0,778,72,0,0,0,0,0,850,96,74,133,158,53,61,80,25,47,13,3,22,8,10,1,56
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Argonaut,0034::SB29,,2001,842,4,8,0,0,0,759,95,0,0,0,0,0,854,174,64,109,74,66,105,59,20,29,40,3,14,12,20,4,49
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Zeetuin,0034::SB30,,1741,530,0,1,0,0,0,472,59,0,0,0,0,0,531,116,35,66,75,28,52,35,20,18,19,5,16,2,6,6,31
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Tjasker,0034::SB32,,1463,637,3,2,0,0,0,587,55,0,0,0,0,0,642,109,44,89,59,45,52,53,30,28,42,11,17,7,6,3,42
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Hasselbraam,0034::SB33,,1252,643,4,4,0,0,0,572,79,0,0,0,0,0,651,106,74,99,107,30,41,43,25,44,13,2,17,6,4,2,30
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurtcentrum De Wieken,0034::SB34,,1684,624,5,1,0,0,0,575,55,0,0,0,0,0,630,90,62,95,44,42,83,58,20,23,29,10,8,7,6,6,41
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Zorgcentrum De Kiekendief,0034::SB35,,1504,464,2,2,0,0,0,427,41,0,0,0,0,0,468,69,41,79,22,34,52,28,28,16,18,8,8,5,3,10,43
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Centrum Verpleeghuiszorg Polderburen,0034::SB36,,1229,381,1,1,0,0,0,345,38,0,0,0,0,0,383,43,38,60,51,44,25,22,21,17,16,4,9,13,2,3,13
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Heliotroop,0034::SB37,,1674,874,1,2,0,0,0,791,86,0,0,0,0,0,877,130,73,128,74,65,92,71,24,33,43,6,30,25,9,5,66
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Taalcentrum Almere locatie Kruidenwijk,0034::SB38,,1590,753,6,3,0,0,0,685,76,0,1,0,1,0,761,113,74,100,87,55,69,73,26,28,45,2,17,12,11,3,38
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Oase,0034::SB39,,1623,583,2,3,0,0,0,533,55,0,0,0,0,0,588,89,56,44,62,61,33,34,29,70,15,8,10,10,14,4,44
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Vuurvogel BB (v/h Duizendpoot),0034::SB40,,1597,735,3,2,0,0,0,680,60,0,0,0,0,0,740,108,78,104,98,47,55,61,36,34,27,1,12,11,19,6,38
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurtcentrum Parkwijk,0034::SB41,,1339,1022,5,6,0,2,0,917,114,0,2,0,0,0,1031,106,100,124,147,63,84,109,71,70,29,8,10,13,14,1,73
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Dependance school De Buitenburcht,0034::SB42,,1729,723,3,2,0,0,0,672,56,0,0,0,0,0,728,117,43,88,82,47,69,47,40,35,33,5,21,21,7,4,64
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Vuurvogel OB (v/h Boventoon),0034::SB43,,1683,702,0,4,0,0,0,641,65,0,0,0,0,0,706,83,64,119,98,54,55,82,24,24,23,4,16,5,7,3,41
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurtcentrum 't Kardoes,0034::SB44,,1545,424,0,5,0,0,0,387,42,0,0,0,0,0,429,75,37,98,34,19,29,45,11,20,14,2,6,7,3,0,24
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Zorgcentrum Buitenhaeghe,0034::SB45,,1461,508,3,6,0,0,0,465,52,0,0,0,0,0,517,82,40,67,44,21,40,32,36,47,19,5,12,8,20,3,32
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Lettertuin,0034::SB46,,1808,599,3,0,0,0,0,527,75,0,0,0,0,0,602,94,76,55,94,33,55,36,23,37,16,3,14,13,8,1,41
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Wooncentrum De Rotonde,0034::SB47,,1680,561,2,2,0,0,0,520,46,1,0,1,0,0,566,93,37,89,48,52,53,52,30,22,23,5,9,6,7,1,34
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Montessorischool Muziekwijk,0034::SB48,,1679,619,3,2,0,0,0,560,64,0,0,0,0,0,624,99,65,82,91,38,53,51,17,13,23,11,6,5,8,8,49
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Taalcentrum Almere (v/h Torteltuin),0034::SB49,,1728,784,1,3,0,0,0,712,76,0,0,0,0,0,788,109,69,85,114,51,62,70,37,59,27,2,10,14,19,2,54
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Lichtboei,0034::SB50,,1803,717,3,1,0,0,0,666,55,0,0,0,0,0,721,71,80,105,117,55,39,62,53,44,27,3,9,20,3,1,28
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Syncope,0034::SB51,,1886,1005,7,4,0,0,0,904,112,0,0,0,0,0,1016,111,97,131,180,78,71,88,59,34,32,2,17,17,15,4,69
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,"Stembureau De Toonladder, gebouw De Concertmeester",0034::SB53,,1800,1116,6,5,0,1,0,1025,104,1,0,2,0,0,1129,144,115,144,162,98,70,93,51,57,64,8,28,15,14,4,49
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurtlokaal De Dop,0034::SB54,,1976,877,6,1,0,0,0,801,83,0,0,0,0,0,884,105,80,150,108,42,85,58,33,65,34,14,17,13,21,5,47
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Albatros,0034::SB55,,1801,1149,5,8,0,0,0,1037,125,0,0,0,0,0,1162,127,130,161,233,92,64,69,44,52,39,1,25,24,17,9,62
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Bommelstein,0034::SB56,,1813,959,6,3,1,0,0,878,92,1,0,2,0,0,970,139,123,118,148,83,67,69,44,47,25,7,15,15,10,3,46
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Olijfboom/ 't Zonnewiel,0034::SB57,,1317,750,3,2,0,0,0,665,90,0,0,0,0,0,755,82,73,116,112,43,40,67,32,56,33,6,17,23,8,0,42
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurtcentrum Het Forum,0034::SB59,,1786,755,2,3,0,0,0,714,46,0,0,0,0,0,760,120,64,81,71,50,65,66,41,48,28,8,22,21,18,4,48
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Bombardon,0034::SB60,,1859,852,3,2,0,0,0,759,98,0,0,0,0,0,857,116,89,127,134,67,46,57,53,54,19,8,7,23,13,2,37
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Filmwijkcentrum,0034::SB61,,1579,1176,6,5,0,1,0,1130,56,0,1,0,0,0,1186,148,104,187,186,68,85,87,66,57,32,25,13,30,10,12,66
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Aurora I,0034::SB62,,1856,747,5,3,0,0,0,682,73,0,0,0,0,0,755,96,81,90,132,37,41,69,32,40,21,5,17,8,11,9,58
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Dependance School de Kraanvogel,0034::SB63,,1986,538,2,2,0,0,0,475,67,0,0,0,0,0,542,79,46,97,87,26,49,35,17,38,14,2,9,4,7,7,21
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Ontmoetingshuis De Kern,0034::SB64,,1575,880,1,1,0,0,0,788,94,0,0,0,0,0,882,98,88,52,322,53,13,75,54,18,10,1,9,15,6,1,65
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Kraanvogel,0034::SB65,,1743,876,1,4,0,0,0,795,86,0,0,0,0,0,881,93,101,102,221,56,52,66,54,41,22,3,8,10,14,2,31
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Arte College,0034::SB66,,1848,832,6,4,0,0,0,744,98,0,0,0,0,0,842,75,120,110,186,20,43,85,32,35,17,19,18,5,10,4,53
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Taalcentrum Almere locatie Filmwijk,0034::SB67,,1565,303,0,1,0,0,0,269,36,1,0,1,0,0,305,45,27,43,44,24,17,25,11,21,8,16,4,6,2,2,8
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau De Buurtschuur,0034::SB68,,815,476,3,3,0,0,0,439,43,0,0,0,0,0,482,68,63,55,129,30,14,32,12,13,6,1,17,10,7,5,14
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Omnibus,0034::SB69,,1808,808,0,2,0,0,0,732,80,2,0,2,0,0,812,102,80,102,195,46,35,61,53,19,24,4,21,8,14,6,38
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Letterland,0034::SB70,,1748,732,0,3,0,0,0,641,94,0,0,0,0,0,735,91,76,127,143,45,37,55,19,35,19,13,12,11,11,4,34
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Het Palet I,0034::SB71,,1842,648,6,1,0,1,0,580,74,0,1,0,0,0,654,83,61,95,109,45,38,64,20,26,22,9,20,13,8,0,35
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Optimist,0034::SB72,,1277,708,1,4,0,0,0,629,84,0,0,0,0,0,713,101,78,106,123,32,55,58,30,43,18,5,14,8,5,6,26
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School de Archipel I,0034::SB73,,1781,780,10,9,0,0,0,690,111,2,0,2,0,0,801,104,100,101,162,48,41,70,19,24,13,5,21,3,10,3,56
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School de Egelantier,0034::SB74,,1669,832,7,2,0,0,0,735,106,0,0,0,0,0,841,123,106,130,129,51,35,59,23,42,31,11,19,13,9,9,42
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurtcentrum de Cobra,0034::SB75,,1303,257,1,0,0,0,0,237,21,0,0,0,0,0,258,27,22,51,30,12,23,21,21,10,9,0,3,3,7,0,18
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Brede school Het Meesterwerk,0034::SB76,,1417,509,0,3,0,0,0,452,60,0,0,0,0,0,512,75,58,84,85,30,28,41,12,32,16,12,4,5,6,1,20
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Archipel II,0034::SB77,,1740,662,2,6,0,0,0,584,86,0,0,0,0,0,670,79,74,108,117,33,48,50,23,34,19,3,15,10,3,8,38
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurtontmoetingscentrum Het Boegbeeld,0034::SB78,,1764,861,2,3,0,1,0,793,72,0,1,0,0,0,865,109,102,130,141,50,66,65,36,31,30,13,15,14,17,3,39
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Brede School De Compositie,0034::SB79,,1136,659,2,1,0,0,0,598,64,0,0,0,0,0,662,64,76,92,149,36,30,57,37,19,13,14,26,5,12,4,25
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Het Avontuur,0034::SB80,,1527,837,9,3,0,0,0,751,98,0,0,0,0,0,849,115,68,110,156,67,54,60,37,34,28,13,20,11,12,8,44
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurtcentrum De Cartoon,0034::SB81,,1651,681,1,2,0,0,0,613,71,0,0,0,0,0,684,78,60,84,170,40,44,54,33,36,20,0,17,7,6,3,29
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Windwijzer,0034::SB82,,1645,1060,3,2,0,0,0,920,145,0,0,0,0,0,1065,115,165,98,344,50,28,47,40,45,21,7,15,22,6,4,53
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Het Kristal,0034::SB83,,1821,540,5,2,0,0,0,489,58,0,0,0,0,0,547,61,38,84,80,25,43,43,27,41,24,11,20,4,8,8,23
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Flevoziekenhuis,0034::SB84,,1458,826,11,4,0,1,0,756,84,0,1,0,0,0,840,99,83,123,128,55,56,69,42,26,36,5,12,21,11,6,54
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Huis van de Waterwijk,0034::SB85,,2022,874,6,3,0,0,0,781,102,0,0,0,0,0,883,135,80,88,115,84,73,74,47,26,34,5,19,16,21,7,50
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Kerkcentrum Goede Rede,0034::SB86,,1798,935,3,7,0,0,0,866,79,0,0,0,0,0,945,148,58,121,70,106,103,77,34,44,36,8,14,20,11,3,82
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Waterspiegel,0034::SB87,,1265,270,1,3,0,0,0,241,33,0,0,0,0,0,274,34,27,40,29,22,8,18,12,44,11,2,4,2,8,0,9
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Dukdalf,0034::SB89,,1917,601,0,2,0,0,0,543,60,0,0,0,0,0,603,87,60,79,104,30,57,30,23,47,8,9,10,9,13,1,34
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Gezondheidscentrum Archipel,0034::SB91,,1730,646,1,5,0,0,0,586,66,0,0,0,0,0,652,81,67,113,85,39,41,47,37,31,35,8,15,7,2,5,33
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Aurora II,0034::SB92,,1918,935,4,0,0,0,0,846,93,0,0,0,0,0,939,106,112,117,162,71,36,73,55,68,17,7,21,18,13,3,56
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Nautilus College (v/h Dep. De Optimist),0034::SB93,,1213,431,2,3,0,0,0,397,39,0,0,0,0,0,436,60,30,81,72,20,35,26,9,32,18,14,5,2,3,5,19
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Het Palet II,0034::SB94,,1819,787,4,7,0,2,0,702,94,0,2,0,0,0,796,120,67,128,90,60,60,60,34,40,37,4,21,14,5,3,44
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Architect,0034::SB95,,1792,758,2,5,0,0,0,698,67,0,0,0,0,0,765,128,77,102,69,73,80,45,23,35,22,8,19,13,11,3,50
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Restaurant De Kapitein (v/h Waterlinie),0034::SB96,,1696,816,3,4,0,0,0,729,94,0,0,0,0,0,823,100,135,85,248,44,32,42,24,22,9,6,12,11,2,3,41
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Station NS Almere Muziekwijk,0034::SB97,,0,883,7,4,0,0,0,822,72,0,0,0,0,0,894,85,101,138,120,58,74,90,27,37,29,11,19,17,9,7,61
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Hal Station NS Almere Centrum I,0034::SB98,,0,762,7,3,0,0,0,722,50,0,0,0,0,0,772,74,105,149,112,26,42,102,25,36,11,14,6,15,10,1,34
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Stadhuis II,0034::SB100,,0,571,1,1,0,0,0,518,55,0,0,0,0,0,573,74,74,93,95,45,26,54,20,19,12,9,5,10,6,0,29
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Het Buitenhuis,0034::SB101,,0,215,1,3,0,0,0,201,18,0,0,0,0,0,219,23,22,34,26,10,18,17,3,15,4,5,10,1,4,5,18
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Gezondheidscentrum Castrovalva,0034::SB102,,1406,597,7,3,0,0,0,543,64,0,0,0,0,0,607,79,46,97,66,36,52,62,36,31,28,8,16,7,1,5,27
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Hal Station NS Almere Centrum II,0034::SB104,,0,749,4,5,0,0,0,710,48,0,0,0,0,0,758,68,84,142,114,41,61,73,19,33,12,12,6,10,16,5,53
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Polygoon,0034::SB105,,1536,1049,7,5,0,2,0,981,82,0,0,2,0,0,1063,104,117,164,138,72,59,129,49,42,26,9,21,27,10,4,78
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau IKC Aquamarijn II,0034::SB109,,1769,930,1,5,0,0,0,845,91,0,0,0,0,0,936,120,115,100,143,82,54,79,44,29,37,3,16,18,17,10,63
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurtcentrum Amerika II,0034::SB110,,2014,520,6,6,0,0,0,481,51,0,0,0,0,0,532,44,77,79,86,32,20,55,14,27,10,12,5,10,4,11,34
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurtcentrum De Ruimte,0034::SB111,,2010,938,3,6,0,1,0,835,114,1,0,2,0,0,949,92,113,186,180,46,25,89,23,33,20,14,18,19,18,10,52
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Gymzaal Vrijmark (t/o School de Loofhut),0034::SB112,,1887,977,6,3,0,0,0,901,85,0,0,0,0,0,986,133,83,107,104,97,92,105,41,29,38,2,11,47,12,6,70
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Hogeschool Windesheim Flevoland,0034::SB113,,0,180,2,0,0,0,0,169,13,0,0,0,0,0,182,10,28,25,31,16,13,17,7,8,3,1,0,6,1,2,12
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau ROC Flevoland locatie Almere Buiten,0034::SB114,,0,95,0,0,0,0,0,87,8,0,0,0,0,0,95,16,10,14,16,6,9,7,4,4,1,1,0,1,0,1,5
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Zeeraket,0034::SB115,,1832,577,2,1,0,0,0,507,73,0,0,0,0,0,580,42,75,67,182,19,31,50,20,22,5,6,9,6,14,4,25
