contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen,CDA,VVD,Lokaal Alternatief,Democraten 66 (D66),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),BurgerBelangen,GROENLINKS,Raalte Natuurlijk
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Gemeenschapscentrum Elckerlyc,0177::SB11,8105 AR,1705,1185,5,3,0,0,0,1071,122,0,0,0,0,0,1193,343,484,167,1,19,12,17,96,24,22
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Gemeenschapscentrum De Schalm,0177::SB12,8106 AD,1228,762,1,1,0,0,0,686,78,0,0,0,0,0,764,191,126,187,2,21,7,11,198,17,2
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau MFA De Belte,0177::SB13,8112 AD,932,604,5,2,0,0,0,564,47,0,0,0,0,0,611,306,214,25,1,12,5,8,21,8,4
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Kulturhus Trefpunt,0177::SB14,8111 AD,1438,1095,2,1,0,3,0,1004,97,0,0,3,0,0,1101,526,268,60,7,29,14,20,95,58,18
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau ZGR Stevenskamp,0177::SB15,8111 AR,1459,774,1,4,0,0,0,710,69,0,0,0,0,0,779,401,226,36,0,10,10,10,60,13,8
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Café De Hoppe,0177::SB16,8107 AD,1025,660,1,0,0,0,0,601,60,0,0,0,0,0,661,173,235,121,3,15,5,26,40,39,3
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau KBS De Rietkraag,0177::SB17,8103 BM,1799,852,5,1,0,0,0,794,64,0,0,0,0,0,858,200,123,102,11,50,28,52,196,52,38
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Dorpshuis het Trefpunt,0177::SB18,8055 PZ,487,356,1,1,0,0,0,331,27,0,0,0,0,0,358,36,63,29,40,8,6,12,127,29,6
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau De Veldhoek restaurant - zalen,0177::SB19,8141 PS,800,486,1,0,0,3,0,436,48,0,3,0,0,0,484,95,111,48,94,16,9,9,72,25,7
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Woonzorglocatie Het Wooldhuis,0177::SB20,8141 RV,1429,922,3,6,0,0,0,868,63,0,0,0,0,0,931,151,121,45,290,34,34,21,192,25,9
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Dorpshuus Heino,0177::SB21,8141 GA,1622,1183,5,1,0,2,0,1105,86,0,0,2,0,0,1191,177,166,67,378,52,28,32,202,50,31
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Sporthal Hoogerheyne,0177::SB22,8141 HN,1718,1244,4,5,0,0,0,1149,105,1,0,1,0,0,1254,217,112,63,430,64,14,40,234,51,19
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Mobiel stembureau Station Raalte,0177::SB23,8102 WZ,1,237,0,2,0,0,0,219,20,0,0,0,0,0,239,30,42,47,3,31,13,7,44,15,5
