contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Heerhugowaardse Onafhankelijke Partij (HOP),CDA,VVD,Democraten 66 (D66),Senioren HHW,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Nederland Duurzaam,GROENLINKS,Partij voor Iedereen,PP Recht & Eerlijk
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Buurthuis De Ezel,0398::SB12,,1137,721,1,1,0,0,0,705,18,0,0,0,0,0,723,198,97,81,53,150,33,19,34,32,5,19
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau BS De Zevensprong,0398::SB13,,1426,655,4,4,0,0,0,601,59,0,3,0,3,0,660,146,99,76,56,92,46,16,32,57,9,26
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Dorpshuis De Noord,0398::SB14,,2184,1128,3,5,0,0,0,1009,127,0,0,0,0,0,1136,139,493,185,47,104,34,22,43,40,2,19
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Centrum 31,0398::SB15,,1011,692,1,3,0,0,0,649,47,0,0,0,0,0,696,139,83,97,52,153,38,17,42,59,3,9
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau De Vonder,0398::SB16,,1454,573,0,1,0,0,0,535,39,0,0,0,0,0,574,134,59,73,22,140,39,21,33,27,4,21
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Wijkcentrum De Horst,0398::SB17,,1445,773,5,6,0,0,0,726,59,1,0,1,0,0,785,144,92,86,46,191,57,36,36,51,13,21
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Gymzaal De Kleine En Grote Beer,0398::SB18,,1453,609,5,2,0,0,0,567,48,0,0,0,1,0,615,133,62,76,46,112,43,36,43,43,4,11
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau BS De Familieschool,0398::SB19,,2010,1188,2,2,0,1,0,1059,132,0,1,0,0,0,1191,312,133,211,106,141,51,23,116,71,8,16
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Het Trefpunt (Apartenmentencomplex),0398::SB20,,2106,910,5,2,0,0,0,830,87,0,0,0,0,0,917,191,99,129,89,117,50,34,89,75,9,28
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau BS De Zeppelin,0398::SB21,,2062,983,8,5,0,0,0,914,80,0,2,0,0,0,994,221,94,180,108,91,47,23,83,83,30,23
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Sporthal Heerhugowaard-Zuid,0398::SB22,,1922,962,7,1,0,0,0,866,104,0,0,0,0,0,970,194,108,169,131,81,57,29,66,77,24,26
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Wijkcentrum De Zon,0398::SB23,,2460,1056,10,1,0,0,0,965,102,0,0,0,0,0,1067,176,101,211,112,116,66,28,93,99,28,26
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Campus Columbus,0398::SB24,,1015,442,3,1,0,0,0,403,42,0,1,0,1,0,445,85,44,127,65,32,13,6,37,23,7,3
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau O.b.s. Helix,0398::SB25,,1456,492,4,3,0,0,0,441,58,0,0,0,0,0,499,84,54,125,72,19,39,10,46,29,6,8
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,"Stembureau Unit NS Station, Parkeerterrein Stationsplein",0398::SB26,,0,386,3,0,0,0,0,368,21,0,0,0,0,0,389,71,39,42,39,68,25,18,36,38,2,8
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,"Stembureau Unit Vote and Ride, Parkeerterrein Oostangent",0398::SB27,,0,189,1,1,0,0,0,176,15,0,0,0,0,0,191,41,28,51,17,8,7,4,15,9,4,5
