contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SP (Socialistische Partij),Essentie,Partij van de Arbeid (P.v.d.A.),D66/GROENLINKS,VVD
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau WZV Naesenhof (Broekhuizen),1507::SB12,5872 CK,647,417,0,0,0,0,0,372,45,0,0,0,0,0,417,97,47,131,22,77,43
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau De Smetenhof (Lottum),1507::SB13,5973 PL,1608,918,9,1,0,1,0,832,97,0,0,1,0,0,929,320,115,149,81,206,47
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau MFC 't Haeren (Gr. vorst),1507::SB14,5971 BS,1771,940,6,1,1,0,0,859,89,0,0,1,0,0,948,255,173,57,87,236,132
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Zorgc. La Providence (Gr. vorst),1507::SB15,5971 ED,2136,1126,4,4,0,2,0,1031,105,0,0,2,0,0,1136,335,209,80,85,290,127
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Sporthal De Kruisweide (Sevenum),1507::SB16,5975 AN,1568,1073,13,1,0,0,0,970,117,0,0,0,0,0,1087,383,99,353,81,112,45
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Verzorgingshuis Sevenheym (Sevenum),1507::SB17,5975 BN,2194,1302,5,5,0,1,0,1149,164,0,0,1,0,0,1313,471,158,349,99,168,57
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau De Torrekoel (Kronenberg),1507::SB18,5976 NS,1175,640,6,0,0,0,0,578,68,0,0,0,0,0,646,254,70,143,78,59,36
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau 't Brugeind (Meerlo),1507::SB19,5864 BZ,1509,823,7,0,0,0,0,742,88,0,0,0,0,0,830,283,78,187,92,114,69
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Café-Zaal Wilhelmina (Swolgen),1507::SB20,5866 BH,1012,605,2,1,0,1,0,528,79,0,1,0,0,0,607,345,57,100,27,44,32
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Dienstencentrum Zonnehof (Tienray),1507::SB21,5865 BL,957,469,1,1,0,0,0,427,44,0,0,0,0,0,471,145,69,137,47,41,30
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,"Stembureau Kapel ""de Schuilplaats"" (Horst)",1507::SB22,5961 JX,1415,555,4,0,0,0,0,494,65,0,0,0,0,0,559,180,79,82,93,89,32
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Clubgebouw TV Apollo '69 (Sevenum),1507::SB23,5975 XP,1521,714,3,0,0,0,0,633,84,0,0,0,0,0,717,237,71,259,55,59,33
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Mobiel stembureau NS station en gemeenschapshuis Smêlentôs,1507::SB24,5963 AA,0,205,1,0,0,0,0,188,18,0,0,0,0,0,206,93,10,36,19,34,13
