contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,STADSPARTIJ,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,Ouderenpartij AOV Purmerend,CDA,Leefbaar Purmerend 2001,GROENLINKS,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Groep HOP,TOP,Lijst Van Damme (LVD)
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,"Stembureau Prinsenstichting, loc.Rudolf Garrel",0439::SB13,1443 LH,1246,411,1,2,0,0,0,379,35,0,0,0,0,0,414,68,26,29,27,34,54,34,48,44,31,1,7,8
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau OBS Wheermolen,0439::SB14,1443 WT,1479,597,1,6,0,0,0,558,46,0,0,0,0,0,604,130,74,40,46,51,60,23,68,41,43,8,2,11
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Hengelsportvereniging HSV XI,0439::SB15,1443 WJ,1512,561,1,0,1,0,0,508,53,0,1,0,0,0,561,109,39,62,23,43,54,25,51,62,59,15,8,11
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Waterlandschool,0439::SB16,1441 SZ,1783,925,9,2,0,0,0,840,96,0,0,0,0,0,936,113,120,84,87,80,76,70,148,70,55,0,12,10
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Waterlandziekenhuis,0439::SB17,1441 RN,1742,1087,4,7,0,7,0,994,111,0,0,7,0,0,1105,185,119,87,86,79,101,75,139,103,70,4,26,13
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,"Stembureau Prinsenstichting, loc. Hoornblad",0439::SB18,1441 VS,1913,912,4,4,0,0,0,838,82,0,0,0,0,0,920,134,84,94,70,70,75,73,103,72,77,5,30,25
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Korfbalvereniging Purmer,0439::SB19,1446 HC,1721,577,3,1,0,0,0,530,50,0,1,0,1,0,580,118,26,44,31,62,29,64,56,43,71,2,26,5
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Buurtcentrum Gildeplein,0439::SB20,1445 CW,1838,1072,7,7,0,1,0,991,96,0,0,1,0,0,1087,239,71,80,59,102,64,81,94,126,98,5,27,26
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Obs De AkkerDijk,0439::SB21,1445 HC,1714,803,4,6,0,0,0,731,82,0,0,0,0,0,813,187,67,73,45,76,55,61,68,73,61,4,20,13
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Kinderdagverblijf Kabouterbos,0439::SB22,1446 CX,1913,675,1,0,0,3,0,604,69,0,3,0,0,0,673,172,72,56,42,57,38,52,43,49,72,1,15,6
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Oec. Basisschool De Toermalijn,0439::SB23,1445 KD,1423,426,1,0,0,1,0,390,38,0,0,1,0,0,428,102,37,37,17,38,20,42,35,27,48,0,13,10
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Oec. Basisschool De Toermalijn,0439::SB24,1445 KD,1398,619,3,3,0,0,0,550,75,0,0,0,0,0,625,155,68,54,55,37,40,46,58,44,41,2,12,7
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau OBS De Boemerang,0439::SB25,1445 NM,1518,587,0,4,0,0,0,545,46,0,0,0,0,0,591,127,38,57,25,67,25,58,54,66,45,4,12,9
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Obs De Delta,0439::SB26,1447 AV,1466,708,4,4,0,1,0,647,70,0,0,1,0,0,717,133,66,63,67,54,26,103,40,54,63,5,24,10
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Oec. Basisschool Het Baken,0439::SB27,1447 AS,1349,776,7,4,0,1,0,726,62,0,0,1,0,0,788,150,86,71,93,47,60,74,54,55,41,2,28,15
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Squash en Fitness Purmerend,0439::SB28,1447 CP,1456,766,3,2,0,0,0,686,85,0,0,0,0,0,771,124,99,63,133,41,65,69,69,30,46,1,21,5
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Kinderopvang Zuidpool,0439::SB29,1447 HX,1915,742,3,1,0,0,0,669,76,0,1,0,0,0,745,142,86,64,87,64,59,68,76,32,44,2,13,5
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Oec. Basisschool De Vlieger,0439::SB30,1447 EN,2189,1082,4,5,0,1,0,964,128,0,0,1,0,0,1092,163,124,108,132,84,73,125,81,56,90,3,30,13
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,"Stembureau De Zorgcirkel, locatie Molentocht",0439::SB31,1447 EG,2088,1243,2,4,0,1,0,1105,145,0,0,1,0,0,1250,200,96,104,151,113,116,145,109,105,61,3,19,21
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Obs De Koempoelan,0439::SB32,1448 BV,1928,1060,5,4,0,2,0,955,116,0,0,2,0,0,1071,164,113,74,146,81,105,91,98,56,81,5,30,16
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,"Stembureau De Zorgcirkel, locatie Zuidland",0439::SB33,1448 NL,1514,637,1,2,0,0,0,568,72,0,0,0,0,0,640,92,71,56,70,77,54,59,45,35,50,2,13,13
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Oec. Basisschool De Marimba,0439::SB34,1448 TP,1665,776,2,2,0,0,0,698,82,0,0,0,0,0,780,121,121,48,85,42,67,76,86,31,62,2,23,12
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Obs De Nieuwe Wereld,0439::SB35,1448 XW,1887,924,2,8,0,1,0,838,97,0,0,1,0,0,935,146,109,78,151,65,84,67,89,39,49,2,20,25
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Gebouw De Nijl,0439::SB36,1448 NZ,1750,1004,1,2,0,0,0,867,141,1,0,1,0,0,1008,178,124,60,174,43,81,99,97,41,57,1,36,13
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,"Stembureau De Zorgcirkel, locatie Woonstate",0439::SB37,1448 PJ,2095,787,2,4,0,0,0,711,85,0,0,3,0,0,796,102,120,68,123,36,79,91,51,38,43,5,17,14
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Brede School De Weide,0439::SB38,1448 JJ,2496,1009,5,4,0,3,0,903,110,0,5,0,2,0,1013,161,123,61,160,72,87,87,106,50,69,4,14,15
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Mobiel Stembureau  (Verkiezingsbus),0439::SB39,,0,123,1,0,0,0,0,115,9,0,0,0,0,0,124,17,22,13,8,4,11,8,11,12,7,0,3,7
