contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GBWP,Lijst Linssen,VVD,Democraten 66 (D66),BSD,CDA,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Steunpunt Bergen op Zoom,SP (Socialistische Partij)
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau School Anton van Duinkerken,0748::SB18,4623 XP,1994,818,4,3,0,0,0,737,88,0,0,0,0,0,825,186,80,87,115,67,85,97,43,15,43
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Woonzorgcentrum Jacqueline,0748::SB19,4624 AK,933,387,1,0,0,0,0,341,47,0,0,0,0,0,388,105,51,41,34,15,69,28,12,10,22
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Steunpunt Zonneplein,0748::SB20,4624 BA,1586,803,11,6,0,0,0,711,109,0,0,0,0,0,820,245,89,83,59,65,82,63,40,26,51
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Ontmoetingsc. het Hoofdkwartier,0748::SB21,4625 CC,1681,737,4,2,0,0,0,677,66,0,0,0,0,0,743,197,62,113,91,41,62,53,51,24,43
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Zalencentrum de Raayberg,0748::SB22,4624 JH,1598,756,0,6,0,0,0,671,91,0,0,0,0,0,762,174,109,124,83,47,69,34,47,38,31
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau School de Kreek,0748::SB23,4617 NC,2144,1046,3,2,0,0,0,906,145,0,0,0,0,0,1051,189,140,280,147,36,104,39,61,29,21
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Residentie Aquacite,0748::SB24,4617 AX,1965,1055,8,4,0,0,0,952,115,0,0,0,0,0,1067,227,116,227,108,65,124,60,60,36,32
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Wijkgebouw Bergse Plaat,0748::SB25,4617 LT,1917,1244,4,2,0,0,0,1112,138,0,0,0,0,0,1250,258,182,249,110,80,139,75,68,44,39
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Ontmoetingscentrum De Wittenhorst,0748::SB26,4661 JK,1163,706,4,3,0,0,0,622,91,0,0,0,0,0,713,324,43,55,32,36,107,25,33,13,38
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Verzorgingstehuis St. Elisabeth,0748::SB27,4661 JG,1149,557,1,5,0,0,0,499,64,0,0,0,0,0,563,279,60,36,13,11,76,17,26,5,34
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Brandweerkazerne Halsteren,0748::SB28,4661 VM,1310,458,2,0,0,0,0,410,50,0,0,0,0,0,460,185,38,68,40,10,57,13,13,9,25
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau School De Springplank,0748::SB29,4661 CJ,1818,914,3,2,0,0,0,827,92,0,0,0,0,0,919,476,71,82,51,22,104,21,33,18,36
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Intratuin Halsteren,0748::SB30,4661 KM,1253,594,1,1,0,0,0,534,62,0,0,0,0,0,596,218,55,92,37,27,88,8,34,10,25
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau SKW 't Weike,0748::SB31,4664 BS,1608,848,6,5,0,0,0,763,96,0,0,0,0,0,859,479,54,80,27,31,126,6,18,17,10
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau de Sprenge,0748::SB32,4661 AA,392,170,1,1,0,0,0,157,15,0,0,0,0,0,172,30,14,15,16,21,24,20,17,2,11
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau De Toermalijn,0748::SB33,4661 TS,1450,958,2,2,0,0,0,835,127,0,0,0,0,0,962,408,86,151,58,22,117,28,43,22,23
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Grand Cafe  de Kannebuis,0748::SB34,4661 LR,1554,1114,2,3,0,0,0,984,135,0,0,0,0,0,1119,464,80,131,72,41,158,30,69,20,49
