contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal Belang,CDA,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Basisschool Op Koers, Oranjestraat 72, Varsseveld",1509::SB13,7051 AK,1608,928,1,1,0,0,0,850,80,0,0,0,0,0,930,450,165,87,45,31,150
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Zorgcentrum De Bettekamp, de Egge 63, Varsseveld",1509::SB14,7051 AK,1646,1024,4,2,0,0,0,949,80,0,1,0,1,0,1029,465,191,106,77,36,149
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Kulturhus De Rietborgh, Borgsche Rieten 15, Terborg",1509::SB15,7061 ZM,1595,841,3,4,0,0,0,774,74,0,0,0,0,0,848,254,124,187,157,39,80
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau St. Antonia Verpleeghuis, Industrieweg 115, Terborg",1509::SB16,7061 AP,1605,837,6,1,0,0,0,770,74,0,0,0,0,0,844,284,163,143,102,52,93
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Zorgcentrum De Schuylenburgh, Laan van Schuylenburch 10, Silvolde",1509::SB17,7064 AL,1580,863,1,3,0,0,0,777,90,0,0,0,0,0,867,341,146,91,108,48,129
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Ons Pakhuus, Molenberg 2, Silvolde",1509::SB18,7064 GK,1613,948,3,0,0,0,0,847,104,0,0,0,0,0,951,389,119,165,139,55,81
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Basisschool De Drie Linden, Schoolstraat 2A, Silvolde",1509::SB19,7064 GP,1648,862,2,3,0,0,0,820,47,0,0,0,0,0,867,379,116,126,118,63,60
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Buurtschapshuis, Sinderenseweg 112, Sinderen",1509::SB20,7065 BM,804,454,2,0,0,0,0,414,42,0,0,0,0,0,456,204,128,30,35,26,31
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Buurtschapshuus Heelweg, Molenweg 17, Heelweg",1509::SB21,7055 AH,812,452,1,0,0,0,0,396,57,0,0,0,0,0,453,277,66,41,9,22,37
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Kulturhus De Vos, Halseweg 2, Westendorp",1509::SB22,7054 BH,932,573,2,2,0,0,0,515,62,0,0,0,0,0,577,283,106,54,21,26,83
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Zorgcentrum Debbeshoek, Kempermanstraat 1 Ulft",1509::SB23,7071 XL,1723,844,4,4,0,0,0,794,58,0,0,0,0,0,852,235,203,150,153,36,67
