contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),Verenigde Communistische Partij (VCP),Partij van de Arbeid (P.v.d.A.),CDA,Partij voor het Noorden,VVD,Democraten 66 (D66),ChristenUnie,Oldambt Aktief,Burgerbelangen Oldambt,GROEP HOP,Gemeentebelangen Oldambt
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau 't Vondelhuys,1895::SB11,9673 JH,1793,782,9,5,0,0,0,733,64,1,0,1,0,0,797,119,79,133,57,81,79,40,78,26,8,2,80
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Brasserie Slag bij Heiligerlee,1895::SB12,9677 PB,1174,564,2,1,0,0,0,523,44,0,0,0,0,0,567,77,71,82,18,64,67,35,41,28,10,9,62
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Dorpshuis De Tille,1895::SB13,9678 PR,1169,637,4,2,0,1,0,586,58,0,0,1,0,0,644,62,37,68,54,86,77,55,109,25,9,4,51
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Eextahal Scheemda,1895::SB14,9679 HA,1571,730,5,1,0,2,0,671,67,0,0,2,0,0,738,98,50,123,73,71,104,52,52,28,14,1,64
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Nieuw Vredenhoven,1895::SB15,9679 AX,1243,502,5,3,0,0,0,468,42,0,0,0,0,0,510,64,49,94,72,33,51,28,44,26,3,2,36
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Dependance gemeentehuis,1895::SB16,9679 BR,1255,958,12,0,0,0,0,883,87,0,0,0,0,0,970,143,80,168,94,93,103,65,69,30,16,7,90
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Kantine vv Oldambtster Boys,1895::SB17,9943 PA,366,228,2,0,0,0,0,206,24,0,0,0,0,0,230,27,50,22,17,27,14,18,17,3,3,13,17
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Dorpshuis 't Trefpunt,1895::SB18,9944 AG,1116,525,1,3,0,0,0,479,49,0,1,0,1,0,528,76,58,62,100,37,71,42,12,12,7,5,43
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Gasterij Smits,1895::SB19,9681 AL,1712,898,3,5,0,0,0,809,96,0,1,0,1,0,905,91,112,126,169,67,102,36,95,23,22,1,54
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Café De Twee Oldambten,1895::SB20,9682 RB,1021,573,2,6,0,0,0,529,52,0,0,0,0,0,581,60,108,62,94,41,45,31,46,34,15,0,37
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Party Centrum Finnewold,1895::SB21,9684 CL,1332,574,4,2,0,0,0,507,73,0,0,0,0,0,580,96,137,61,27,27,52,30,10,55,16,0,63
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau MFC De Hardenberg,1895::SB22,9684 AM,1111,522,6,4,0,0,0,482,50,0,0,0,0,0,532,61,94,61,18,47,121,34,17,9,7,0,53
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau De Tjamme,1895::SB23,9686 PC,1698,815,4,6,0,0,0,741,84,0,0,0,0,0,825,112,170,97,33,38,60,31,16,30,16,1,211
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Noorderlicht,1895::SB24,9688 RV,544,261,0,0,0,0,0,237,24,0,0,0,0,0,261,41,46,23,26,12,47,6,7,7,4,0,42
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Akkerschans,1895::SB25,9693 BS,1194,528,3,4,0,0,0,482,53,0,0,0,0,0,535,83,95,65,30,84,34,20,20,15,16,6,60
