contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),GROENLINKS,Partij voor de Dieren,CDA,Partij van de Ouderen (P.v.d.O.),DENK,Platform Amsterdam,destemvandestraat,Piratenpartij Amsterdam,Staatkundig Gereformeerde Partij (SGP),Forum voor Democratie,U-Buntu Connected Front UCF,Basisinkomen Partij (BIpartij),"blanco (van Oudenallen, H.F.M.)",Partij voor Iedereen,ChristenUnie,Amsterdam BIJ1,SAMEN Alle Mensen Één Nederland (SAMEN),Anti-Scooter Partij,Blije Burgers,Carryonthemove,QUEER,50PLUS,De Republikeinse Politieke Partij,28
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Umsjatka VOF,0363::SB16,,653,305,0,0,0,1,0,285,21,0,0,1,0,0,306,68,44,33,18,71,37,9,3,0,0,0,3,0,7,0,1,0,1,1,6,0,0,0,0,0,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Jeugdtheater De Krakeling,0363::SB18,,1183,704,2,2,0,0,0,645,65,2,0,2,0,0,710,147,86,128,40,153,57,13,10,1,0,1,11,3,37,1,0,2,0,3,5,0,1,0,0,0,5,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Kensho Premium Fitness,0363::SB20,,1038,703,2,3,0,0,0,662,45,0,1,0,0,0,707,118,96,74,62,193,47,10,5,31,0,2,8,2,22,1,2,0,0,9,15,1,1,1,0,0,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Balie,0363::SB21,,942,896,5,4,0,2,0,845,62,0,0,2,0,0,907,205,82,159,45,224,60,23,3,6,0,1,9,1,50,0,1,5,1,9,6,1,0,1,0,1,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Stichting De Onderwijskamer,0363::SB22,,690,285,0,1,0,0,0,270,17,1,0,1,0,0,287,53,32,36,33,49,37,6,3,0,0,2,6,0,20,0,2,3,0,0,1,0,0,0,0,1,1,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Westerkerk,0363::SB23,,1174,783,0,3,0,1,0,719,68,0,0,1,0,0,787,169,112,109,64,151,68,33,10,2,0,1,9,1,30,0,2,2,0,6,6,2,2,0,0,0,4,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Het Claverhuis,0363::SB24,,1257,1216,3,8,0,0,0,1127,99,0,0,0,0,0,1226,230,131,180,109,278,90,16,23,6,1,4,17,1,81,0,4,1,1,8,15,1,7,0,0,0,12,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Huis van de Buurt De Boomsspijker,0363::SB25,,1361,798,1,2,0,1,0,666,136,0,0,1,0,0,802,99,114,59,98,234,77,16,8,4,0,2,17,1,31,0,1,1,1,4,18,3,0,2,0,1,7,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Kerk De Duif,0363::SB26,,1077,883,0,2,0,0,0,827,61,3,0,3,0,0,888,228,122,172,47,158,64,29,7,1,0,1,4,1,29,0,0,1,0,7,8,1,3,0,0,0,0,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Kerk De Duif,0363::SB27,,1072,862,2,1,0,2,0,792,75,0,0,2,0,0,867,193,128,180,49,146,60,28,3,1,0,0,12,1,44,2,1,0,0,4,6,1,0,0,0,2,1,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Grand Hotel Amrath,0363::SB28,,845,519,1,1,0,3,0,486,32,0,3,0,0,0,518,100,85,53,45,123,50,10,5,1,0,2,11,0,14,0,1,0,0,8,8,1,0,0,0,1,1,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Posthoornkerk,0363::SB29,,683,666,3,4,0,0,0,633,44,0,0,4,0,4,677,114,84,78,56,165,85,8,6,1,0,4,4,0,32,0,1,0,0,7,15,1,3,0,0,0,2,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Posthoornkerk,0363::SB30,,711,602,4,4,0,0,0,579,36,5,0,5,0,0,615,100,74,50,58,155,66,9,6,5,0,1,11,0,43,3,2,0,0,4,1,0,2,1,0,0,7,1,3
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Atria Kennisinstituut,0363::SB31,,1043,671,0,3,0,7,0,606,61,0,7,0,0,0,667,166,60,185,28,91,41,25,5,3,1,0,4,1,42,0,0,1,0,7,7,0,0,0,0,2,1,1,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau School De Eilanden,0363::SB32,,1386,731,0,2,0,11,0,679,65,0,0,11,0,0,744,105,99,65,91,189,78,9,16,4,1,4,7,2,28,1,2,4,0,8,8,1,2,0,0,1,6,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau School De Eilanden,0363::SB33,,1351,640,3,2,0,3,0,606,42,0,0,3,0,0,648,99,85,52,62,168,76,13,10,1,1,0,13,1,26,0,3,2,0,4,10,3,0,0,0,1,7,1,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Crea Cultureel Studentencentrum,0363::SB34,,905,712,1,4,0,0,0,676,41,0,0,0,0,0,717,166,67,67,48,225,61,9,7,0,0,1,10,0,27,0,2,1,0,6,12,0,0,0,0,1,2,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Doopsgezinde Singelkerk,0363::SB35,,868,461,2,3,0,0,0,461,3,0,2,0,2,0,464,116,36,99,10,94,28,17,3,0,0,0,8,0,36,0,0,2,0,3,4,0,1,0,0,1,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau ASVO school,0363::SB36,,770,639,0,3,0,0,0,586,56,0,0,0,0,0,642,135,71,135,33,124,43,28,8,0,0,0,7,0,29,0,2,3,0,0,8,0,6,0,0,0,7,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Dr. Sarphatihuis,0363::SB38,,1164,874,3,3,11,0,0,802,67,0,11,0,0,0,869,162,114,103,86,205,80,17,13,2,0,3,10,0,43,1,2,1,0,8,16,0,0,0,0,0,6,1,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Dr. Sarphatihuis,0363::SB39,,1171,817,3,3,11,3,0,763,74,0,0,14,0,0,837,148,112,97,64,197,72,15,16,6,0,1,9,1,43,0,1,1,0,16,5,2,4,0,0,0,7,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Museum Het Grachtenhuis,0363::SB40,,869,535,1,2,0,2,0,486,54,0,0,2,0,0,540,120,67,109,18,77,41,39,7,0,0,1,1,0,29,0,0,1,1,4,9,0,3,0,1,1,6,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Key,0363::SB41,,1045,796,5,6,0,0,0,725,83,1,0,1,0,0,808,111,118,70,96,206,78,17,8,12,0,2,8,0,35,1,0,0,0,15,9,1,2,1,1,0,5,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Level Eleven,0363::SB42,,1000,201,1,2,0,0,0,190,14,0,0,0,0,0,204,40,20,27,10,57,17,3,1,4,0,2,2,0,13,0,0,0,0,1,4,0,0,0,0,0,0,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Witte Boei,0363::SB43,,1126,655,2,1,0,0,0,603,55,0,0,0,0,0,658,71,84,39,94,155,70,7,23,17,0,1,10,2,25,2,2,1,0,14,32,0,0,1,0,0,5,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Witte Boei,0363::SB44,,1147,528,0,5,0,0,0,477,56,0,0,0,0,0,533,72,51,27,69,142,43,4,20,16,0,1,7,0,25,0,2,1,0,10,24,5,0,1,0,0,7,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau NH Caransa,0363::SB45,,1249,498,0,2,0,0,0,453,47,0,0,0,0,0,500,117,43,88,29,116,32,8,9,3,2,0,12,1,28,0,2,2,0,4,1,0,1,0,0,0,0,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Roode Bioscoop,0363::SB46,,644,596,2,4,0,2,0,566,38,0,0,2,0,0,604,95,70,48,61,137,70,14,11,4,1,6,17,0,38,1,2,1,0,5,11,0,1,1,0,1,0,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Zuidpool,0363::SB47,,1130,608,1,2,1,0,0,564,48,0,0,1,0,0,612,76,86,42,72,163,58,13,17,8,1,1,11,1,15,1,2,0,0,18,14,1,0,2,2,0,4,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Zuidpool,0363::SB48,,1117,597,1,0,4,0,0,549,45,0,4,0,0,0,594,75,82,50,68,142,63,8,12,17,1,4,10,0,27,1,0,0,0,8,18,6,1,0,1,0,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Crea Cultureel Studentencentrum,0363::SB49,,891,765,2,2,0,4,0,722,51,0,0,4,0,0,773,160,90,77,41,247,55,10,6,1,0,0,11,0,18,0,2,3,0,10,22,1,4,4,0,0,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Woon-en Zorgcentrum De Rietvinck,0363::SB50,,914,620,6,7,0,1,0,600,35,0,0,2,3,0,635,90,75,62,76,139,58,12,10,7,0,2,8,0,43,0,4,2,4,2,13,0,2,0,0,0,9,2,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Toneelmakerij,0363::SB51,,1326,648,0,4,0,0,0,627,25,0,0,0,0,0,652,114,75,71,81,143,68,15,11,6,0,3,1,2,36,0,3,0,0,5,7,0,0,1,0,0,3,0,3
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Galerie Fontana,0363::SB52,,1221,518,0,0,0,0,0,479,40,1,0,1,0,0,519,102,66,67,39,118,42,7,7,0,1,2,12,0,33,0,0,1,1,3,10,0,1,2,0,0,3,1,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Basisschool de Kleine Reus,0363::SB53,,1158,632,0,5,0,0,0,569,68,0,0,0,0,0,637,136,70,136,31,125,56,15,11,0,0,1,5,0,28,1,4,1,0,1,4,1,1,0,0,1,4,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Basisschool de Kleine Reus,0363::SB54,,1138,678,1,6,0,0,0,585,100,0,0,0,0,0,685,150,68,150,40,147,35,19,3,0,1,1,12,0,28,0,0,2,0,4,8,0,3,0,0,0,5,1,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Frascati,0363::SB55,,1166,629,3,2,0,0,0,594,42,1,0,2,0,1,636,122,65,76,38,169,62,14,3,4,0,2,10,0,38,0,0,2,0,3,12,1,1,1,0,1,5,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Het Marnix,0363::SB56,,1360,872,8,7,0,0,0,845,43,1,0,1,0,0,888,147,106,94,85,209,85,14,15,4,2,3,14,1,56,0,4,0,0,10,13,1,2,1,0,0,4,0,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Centraal Station - Wurst & Schnitzelhaus,0363::SB57,,0,583,1,2,0,0,0,562,24,0,0,0,0,0,586,132,33,53,35,203,42,8,8,4,3,2,9,1,26,0,0,0,0,12,9,2,1,0,0,0,0,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Centraal Station - Restaurant 1e klas Heineken Bar,0363::SB58,,0,583,3,1,0,0,0,547,40,0,0,0,0,0,587,136,59,73,29,162,43,9,5,5,2,2,8,0,29,0,1,1,0,11,7,0,0,0,0,0,1,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Hampshire Hotel - Amsterdam American,0363::SB59,,749,366,1,1,0,3,0,345,20,0,3,0,0,0,365,63,40,82,37,75,23,2,3,1,0,1,4,0,19,0,0,1,2,3,5,1,0,0,0,0,4,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Westerkerk,0363::SB60,,1221,679,3,1,0,1,0,622,62,0,0,1,0,0,684,115,99,111,55,127,56,21,13,0,0,2,12,1,38,0,0,0,0,11,8,2,3,0,0,0,4,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Westerkerk,0363::SB61,,1228,780,2,4,0,0,0,740,46,0,0,0,0,0,786,152,127,109,58,148,71,25,12,2,1,1,11,2,36,0,1,0,2,6,8,2,2,1,1,0,2,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Noorderkerk,0363::SB62,,1013,613,4,2,0,1,0,578,42,0,0,1,0,0,620,101,84,74,65,134,63,12,11,1,0,1,9,1,35,0,2,1,1,8,4,0,2,0,0,1,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau NH Grand Hotel Krasnapolsky,0363::SB63,,1075,736,4,1,0,1,0,694,48,0,0,1,0,0,742,162,68,122,46,158,59,21,7,7,1,2,14,1,36,0,1,0,0,12,7,5,0,1,1,3,2,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau UvA - locatie P.C. Hoofthuis,0363::SB64,,1237,838,0,0,0,3,0,786,59,1,0,7,3,0,845,145,91,119,40,225,78,16,8,4,1,1,23,0,46,0,1,0,0,4,25,0,2,0,0,0,7,1,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Gymzaal,0363::SB65,,1219,458,2,1,6,0,0,428,40,1,0,7,0,0,468,65,62,56,33,112,46,8,12,1,0,0,14,0,29,0,1,0,0,5,8,0,3,0,0,0,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Rode Hoed,0363::SB66,,1177,706,11,14,0,2,0,625,108,0,0,2,0,0,733,162,102,129,31,125,49,21,10,0,0,1,7,0,47,1,0,1,0,1,7,1,4,0,0,1,5,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Noorderkerk,0363::SB67,,1009,764,2,1,0,3,0,682,82,0,3,0,0,0,764,127,95,81,84,168,75,18,18,0,0,1,15,0,48,0,5,2,0,8,13,0,1,0,0,0,4,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Museumwerf 't Kromhout,0363::SB68,,1240,497,2,1,0,0,0,450,50,0,0,0,0,0,500,78,76,39,44,156,50,7,5,0,0,1,0,0,25,0,0,0,0,2,8,0,1,0,0,0,3,0,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Museumwerf 't Kromhout,0363::SB69,,1210,645,3,1,0,0,0,595,54,0,0,0,0,0,649,95,84,56,81,183,56,13,9,2,3,1,13,2,26,0,2,0,0,8,7,0,0,0,0,1,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Amsterdam Museum,0363::SB70,,582,404,0,2,0,0,0,383,23,0,0,0,0,0,406,54,44,55,36,103,37,7,5,4,0,2,7,0,21,1,2,4,0,9,11,0,0,2,0,0,0,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Centraal Station - Restaurant 1e klas Heineken Bar,0363::SB71,,0,599,3,4,0,5,0,593,18,0,0,5,0,0,611,127,48,65,37,184,41,12,0,6,1,1,16,0,28,1,0,0,0,16,11,0,1,0,0,0,4,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Bezoekerscentrum De Nederlandsche Bank,0363::SB72,,920,551,1,1,0,1,0,503,49,0,1,0,0,0,552,149,66,105,24,110,31,15,2,2,0,0,7,1,21,0,0,1,0,2,7,1,5,0,0,0,2,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Academie voor Theater en Dans,0363::SB73,,1305,827,2,8,1,1,0,777,58,0,2,0,0,0,835,114,117,71,92,239,70,14,15,2,1,1,9,0,45,0,1,1,0,4,21,2,3,0,0,3,2,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Conservatorium van Amsterdam,0363::SB74,,882,474,2,2,0,2,0,447,29,0,2,0,0,0,476,85,60,56,30,126,42,9,6,4,0,1,6,1,22,0,1,0,0,10,11,0,0,0,1,2,0,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Ateliers Westerdok,0363::SB76,,1509,1008,3,4,1,2,0,921,93,0,2,0,0,0,1014,186,140,170,86,190,59,22,16,8,0,1,9,3,74,4,3,0,0,6,18,3,0,1,0,0,6,0,3
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Noorderspeeltuin,0363::SB80,,855,679,7,3,3,0,0,640,52,0,0,3,0,0,692,95,92,89,69,114,85,9,25,8,0,3,6,1,48,0,0,1,0,4,11,0,2,1,0,1,12,1,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Nowhere,0363::SB81,,1145,419,5,1,0,0,0,394,31,0,0,0,0,0,425,80,39,27,16,123,40,5,3,42,1,3,7,0,8,1,0,0,0,6,8,1,0,0,1,1,6,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Kindervreugd,0363::SB82,,1303,590,3,4,0,0,0,556,41,0,0,0,0,0,597,64,67,30,69,128,29,9,25,73,0,3,7,0,28,4,2,0,1,13,14,0,1,5,1,0,17,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Nowhere,0363::SB83,,1105,448,2,5,0,0,0,419,36,0,0,0,0,0,455,74,39,29,28,148,41,6,6,23,1,0,5,1,20,3,0,0,1,8,14,1,0,0,0,0,0,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Het JAV'ART Huis,0363::SB84,,1151,702,12,2,0,1,0,636,82,1,0,2,0,0,718,105,60,42,56,188,49,15,7,97,0,0,19,0,21,5,3,2,1,11,9,3,1,1,0,0,6,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Kindervreugd,0363::SB85,,1313,529,1,6,0,1,0,478,57,0,1,0,0,0,535,43,68,29,45,102,38,8,16,92,2,1,5,0,28,3,0,0,1,14,23,2,3,2,0,0,4,0,0
