contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SP (Socialistische Partij),Lokale Onafhankelijke Fractie (LOF),PK (Progressieve Kombinatie),VDB/LO,VVD
,Boxmeer,GR2018_Boxmeer,Gemeenteraad Boxmeer 2018,0756,Boxmeer,2018-03-21,Stembureau Plein 27,0756::SB13,5823 AB,727,442,1,1,0,0,0,401,41,0,2,0,2,0,442,124,72,4,33,191,18
,Boxmeer,GR2018_Boxmeer,Gemeenteraad Boxmeer 2018,0756,Boxmeer,2018-03-21,Stembureau Koningskerkje,0756::SB14,5821 BB,1002,675,6,1,0,0,0,602,80,0,0,0,0,0,682,174,106,14,71,281,29
,Boxmeer,GR2018_Boxmeer,Gemeenteraad Boxmeer 2018,0756,Boxmeer,2018-03-21,Stembureau Café de Zandpoort,0756::SB15,5826 AD,355,236,2,0,0,0,0,216,22,0,0,0,0,0,238,66,30,2,15,109,14
,Boxmeer,GR2018_Boxmeer,Gemeenteraad Boxmeer 2018,0756,Boxmeer,2018-03-21,Stembureau Gemeenschapshuis De Pit (1),0756::SB16,5825 CC,1572,828,8,2,0,0,0,754,84,0,0,0,0,0,838,155,71,8,64,505,25
,Boxmeer,GR2018_Boxmeer,Gemeenteraad Boxmeer 2018,0756,Boxmeer,2018-03-21,Stembureau Gemeenschapshuis De Pit (2),0756::SB17,5825 CC,1496,1034,5,3,0,0,0,926,116,0,0,0,0,0,1042,227,78,4,76,607,42
,Boxmeer,GR2018_Boxmeer,Gemeenteraad Boxmeer 2018,0756,Boxmeer,2018-03-21,Stembureau ABAB-kantoor,0756::SB18,5831 PJ,1221,693,7,1,0,0,0,637,64,0,0,0,0,0,701,284,152,75,81,8,93
,Boxmeer,GR2018_Boxmeer,Gemeenteraad Boxmeer 2018,0756,Boxmeer,2018-03-21,Stembureau Zaal  't Drummerke,0756::SB19,5831 GK,1343,572,6,0,0,0,0,523,55,0,0,0,0,0,578,194,148,43,84,4,99
,Boxmeer,GR2018_Boxmeer,Gemeenteraad Boxmeer 2018,0756,Boxmeer,2018-03-21,Stembureau Gemeenschapshuis Joffershof,0756::SB20,5821 AW,1055,564,1,0,0,1,0,515,51,0,0,1,0,0,566,153,101,7,56,216,31
,Boxmeer,GR2018_Boxmeer,Gemeenteraad Boxmeer 2018,0756,Boxmeer,2018-03-21,Stembureau Gemeentehuis,0756::SB21,5831 JX,0,408,3,0,0,0,0,378,33,0,0,0,0,0,411,108,116,51,76,5,52
,Boxmeer,GR2018_Boxmeer,Gemeenteraad Boxmeer 2018,0756,Boxmeer,2018-03-21,Stembureau Mobiel stembureau,0756::SB22,,0,108,2,2,0,0,0,103,9,0,0,0,0,0,112,73,17,5,3,4,6
