contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,SP (Socialistische Partij),ieders Belang,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),CDA,Verenigde Senioren Partij,ChristenUnie,GROENLINKS,Stadspartij Núwegein,LOKALE VERNIEUWING
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau 't Veerhuis,0356::SB24,3434 AZ,1602,721,3,4,0,0,0,667,61,0,0,0,0,0,728,159,68,25,43,67,67,122,52,45,27,46
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Kerkelijk Centrum De Rank,0356::SB25,3434 HA,987,643,3,5,0,0,0,596,55,0,0,0,0,0,651,110,67,43,46,53,55,91,57,51,20,50
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Buurtplein Zuid,0356::SB26,3434 EW,1288,826,4,1,0,0,0,740,91,0,0,0,0,0,831,127,93,40,66,70,75,130,68,82,27,48
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Locatie Prins Hendriklaan 27,0356::SB27,3433 EH,1260,623,2,4,0,0,0,546,83,0,0,0,0,0,629,141,47,18,58,41,44,59,93,61,21,40
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Dorpshuis Fort Vreeswijk,0356::SB28,3433 ZZ,1506,844,6,5,0,0,0,783,72,0,0,0,0,0,855,125,96,39,63,78,97,91,109,76,24,46
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,"Stembureau Gemeenschapsruimte ""boerderij Bos""",0356::SB29,3437 KN,1320,778,7,4,0,0,0,727,62,0,0,0,0,0,789,201,64,39,69,79,75,83,24,61,30,53
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau PC Basisschool Kon. Juliana,0356::SB30,3437 KB,957,687,5,1,0,0,0,631,62,0,0,0,0,0,693,184,36,61,46,69,57,68,42,44,26,54
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Basisschool de Toonladder,0356::SB31,3437 PJ,1079,729,1,0,0,0,0,638,92,0,0,0,0,0,730,241,54,55,72,57,66,47,24,48,21,44
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Galecopperboog I,0356::SB32,3437 JT,1443,801,3,3,0,0,0,733,74,0,0,0,0,0,807,158,124,59,54,77,64,77,35,73,41,39
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Galecopperboog II,0356::SB33,3437 JT,2009,643,6,0,0,0,0,594,55,0,0,0,0,0,649,149,78,18,45,58,75,83,23,43,37,34
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau MeetingDistrict,0356::SB34,3438 LC,1094,497,5,0,0,0,0,457,45,0,0,0,0,0,502,154,23,29,70,38,47,22,21,35,17,41
