contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Senioren Hollands Kroon,LADA (Democratie Anders),VVD,CDA,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ANDERS !,ChristenUnie,GROENLINKS,OHK (Onafhankelijk Hollands Kroon)
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Dorpshuis De Lutters,1911::SB14,1732 LS,591,311,4,0,0,0,0,288,27,0,0,0,0,0,315,43,40,65,35,41,26,10,14,26,11
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Dorpshuis de Oude School,1911::SB15,1766 JD,1776,838,3,3,0,0,0,819,26,0,0,1,0,0,845,112,62,174,227,73,40,30,19,75,26
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau St. Tree (voormalige Ankerkerk),1911::SB16,1779 EC,1344,683,4,1,0,0,0,612,76,0,0,0,0,0,688,182,6,38,43,52,26,9,19,52,256
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau RSG Wiringherlant,1911::SB17,1771 AB,2796,851,3,4,0,0,0,786,72,0,0,0,0,0,858,129,12,217,149,43,60,74,73,29,65
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Verenigingsgebouw De Schakel,1911::SB18,1774 AJ,1473,682,4,1,0,1,0,686,0,0,1,0,0,0,686,101,41,86,160,37,35,57,70,17,78
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau MFC De Doorbraak,1911::SB19,1773 AK,805,278,1,1,0,0,0,247,32,0,1,0,0,0,279,33,30,40,54,7,8,34,34,9,29
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau De Roode Eenhoorn,1911::SB20,1733 AH,2231,715,4,3,0,0,0,671,51,0,0,0,0,0,722,104,95,165,106,69,64,14,20,63,15
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Café Beentjes,1911::SB21,1731 RJ,1244,826,4,1,0,0,0,761,70,0,0,0,0,0,831,162,107,219,76,67,59,20,25,60,31
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau MFA,1911::SB22,1761 AB,1247,1129,8,5,0,0,0,1061,81,0,0,0,0,0,1142,293,43,203,159,113,92,40,54,72,60
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Dorpshuis Harmonie,1911::SB23,1735 GK,1832,958,6,8,0,0,0,889,86,3,0,3,0,0,975,223,108,185,217,35,59,27,16,64,24
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Rijvereniging Bucephalus,1911::SB24,1768 BL,951,424,2,0,0,0,0,380,46,0,0,0,0,0,426,41,19,79,54,45,33,34,13,74,32
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Woon- en Zorgcomplex De Trambaan,1911::SB25,1733 BG,1460,788,4,2,0,6,0,712,76,0,6,0,0,0,788,159,123,148,116,74,49,26,21,50,22
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Dorpshuis De Nieuwe Horn,1911::SB26,1767 CJ,805,403,1,4,0,0,0,381,27,0,0,0,0,0,408,66,20,68,24,109,17,22,12,51,14
