contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar Rotterdam,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),SP (Socialistische Partij),VVD,CDA,GROENLINKS,NIDA Rotterdam,ChristenUnie-SGP,Partij voor de Dieren,De Broederschapspartij,50PLUS,PVV (Partij voor de Vrijheid),DENK,JEZUS LEEFT,Stadsinitiatief Rotterdam,U-Buntu Connected Front (UCF),De Nieuwe Rotterdamsche Partij (NRP),Beweging Armoedebestrijding Rotterdam,Jong Rotterdam
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Statensingel 103,0599::SB11,3039 LH,1480,943,0,3,0,0,0,860,86,0,0,0,0,0,946,114,106,176,38,139,40,181,6,25,41,1,21,14,1,1,29,2,3,5,0
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Bergwegplantsoen 10,0599::SB12,3037 SK,971,727,3,6,0,1,0,659,76,0,1,0,0,0,735,112,89,81,50,50,25,97,44,13,28,1,24,29,48,2,19,2,5,4,4
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau De Vliegerstraat 55 links,0599::SB13,3021 ZN,1746,835,3,9,0,0,0,757,92,2,0,2,0,0,849,65,91,133,45,88,20,192,41,17,29,0,12,12,35,0,20,5,9,10,11
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Achillesstraat 290,0599::SB14,3054 RL,1503,796,1,9,0,3,0,732,77,0,0,3,0,0,809,253,81,42,31,124,69,47,24,17,23,0,27,26,7,4,8,0,4,5,4
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Dempostraat 143,0599::SB15,3029 CL,2259,769,1,10,1,0,0,667,114,0,0,1,0,0,781,70,93,43,56,9,11,43,137,12,6,0,22,17,205,0,7,1,2,34,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Spartastraat 3,0599::SB16,3027 VW,1810,623,5,8,1,0,0,518,119,0,0,1,0,0,637,26,59,36,36,12,13,51,102,26,21,0,7,14,202,1,5,0,1,9,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Vrijenbansestraat 50,0599::SB17,3037 VZ,734,373,1,6,0,0,0,325,57,0,0,2,0,2,382,37,29,33,19,11,4,42,54,6,16,0,4,6,97,0,7,0,4,2,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Snauwstraat 7,0599::SB18,3028 HV,1598,417,5,11,0,0,0,394,33,0,6,0,6,0,427,71,45,42,29,22,10,39,23,18,21,0,13,12,48,0,4,7,8,3,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Oostzeedijk 276,0599::SB19,3063 CA,2167,1060,1,13,0,0,0,980,94,0,0,0,0,0,1074,218,91,144,41,256,50,93,27,16,35,0,15,13,19,1,27,1,5,4,4
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Hoogstraat 110 links,0599::SB20,3011 PV,1921,985,3,5,0,0,0,912,81,0,0,0,0,0,993,195,96,157,36,190,35,121,19,14,31,0,24,9,15,0,22,2,12,4,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Maria Wesselingstraat 14 links,0599::SB21,3065 GA,1496,714,1,2,1,2,0,648,72,0,0,3,0,0,720,201,59,98,20,130,42,58,8,22,16,0,22,27,2,0,1,0,0,3,5
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Schommelstraat 69 links,0599::SB22,3035 CG,722,615,1,10,2,0,0,547,81,0,0,2,0,0,628,75,46,52,45,52,9,84,65,16,27,0,14,15,88,0,10,4,4,5,4
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Westerstraat 10,0599::SB23,3016 DH,1160,755,4,0,0,4,0,668,95,0,0,4,0,0,763,160,60,125,23,176,48,59,8,18,31,0,14,13,7,0,9,0,1,1,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Noorderhavenkade 8 links,0599::SB24,3038 XG,2002,810,4,5,0,3,0,770,52,0,0,3,0,0,822,107,77,132,43,112,21,147,6,21,41,0,11,25,14,2,36,1,4,5,5
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Meidoornstraat 55 links,0599::SB25,3036 WC,1423,598,2,13,0,2,0,505,106,0,2,0,0,0,611,52,59,44,43,20,10,76,79,7,27,1,9,8,142,2,10,0,0,6,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Pergolesilaan 7,0599::SB26,3055 SK,862,594,1,0,0,3,0,529,69,0,3,0,0,0,598,125,20,89,3,222,46,50,0,11,11,0,5,6,0,0,4,0,0,1,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Josephstraat 10 links,0599::SB27,3014 TP,1146,381,7,11,3,2,0,342,62,0,0,5,0,0,404,15,51,29,30,12,3,58,62,4,15,0,8,9,68,2,8,0,0,7,0
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Ruivenstraat 81,0599::SB28,3036 DD,1318,610,0,11,0,1,0,532,88,0,1,0,0,0,620,64,59,67,28,35,16,75,89,15,26,0,13,17,70,1,21,1,3,7,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Engelsestraat 40 links,0599::SB29,3028 CH,1539,451,4,5,0,3,0,413,50,0,0,3,0,0,463,96,59,20,31,21,17,37,21,13,17,0,16,18,62,0,3,0,6,9,5
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau 's-Gravenwetering 98,0599::SB30,3062 SJ,1321,709,0,2,0,0,0,628,83,0,0,0,0,0,711,106,32,122,8,342,39,32,0,12,6,0,1,1,0,0,7,0,0,0,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Hooglandstraat 67,0599::SB31,3036 PD,1560,594,0,1,0,8,0,523,80,0,0,8,0,0,603,40,54,50,47,29,9,63,107,7,26,0,9,17,112,1,9,1,1,8,4
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Ringvaartweg 125 links,0599::SB32,3065 AC,1398,741,1,1,4,0,0,637,102,0,4,0,0,0,739,179,75,114,12,181,49,45,2,27,12,0,17,8,8,0,9,0,0,0,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Schouwburgplein 25 links,0599::SB33,3012 CL,1033,489,3,4,0,2,0,459,39,0,0,2,0,0,498,83,63,80,30,75,11,69,7,6,30,1,8,9,0,1,8,1,2,3,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Kleine Schoolstraat 9,0599::SB34,3151 AD,1512,871,2,5,0,1,0,772,107,0,0,1,0,0,879,219,59,47,47,174,102,44,2,24,44,0,41,54,2,5,3,0,1,2,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Maria Wesselingstraat 14 midden,0599::SB35,3065 GA,1304,775,3,1,0,2,0,689,92,0,0,2,0,0,781,267,72,80,22,92,57,65,14,28,11,0,18,16,5,5,15,2,4,0,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Boompjes 680,0599::SB36,3011 XZ,1000,671,2,0,0,0,0,602,54,0,17,0,0,0,656,150,79,113,16,139,39,61,3,5,27,0,11,12,3,0,9,0,1,0,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Tochtenweg 37,0599::SB37,3069 XZ,1594,749,7,5,0,0,0,663,85,0,13,0,0,0,748,252,91,49,51,54,32,40,9,24,21,0,36,38,24,3,6,1,3,3,12
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Van Speykstraat 109,0599::SB38,3014 VG,1319,596,5,15,0,0,0,524,92,0,0,0,0,0,616,36,65,39,38,16,9,51,141,4,16,0,13,11,138,0,10,1,2,5,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Woelwijkstraat 39 links,0599::SB39,3035 VL,831,487,9,3,0,2,0,436,61,0,2,0,0,0,497,46,36,46,36,21,9,72,81,5,20,0,5,10,69,3,11,3,2,10,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Rijnwaterstraat 11 links,0599::SB40,3063 HC,1871,955,6,4,0,2,0,879,88,0,0,2,0,0,967,199,110,102,77,90,34,103,23,24,54,0,39,28,28,3,21,3,6,8,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Ben Websterstraat 9,0599::SB41,3069 XJ,1491,593,1,1,0,0,0,549,48,0,0,2,0,2,597,194,41,51,24,42,34,74,7,20,16,0,37,21,4,1,4,1,6,4,12
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Jan Greshoffstraat 3 links,0599::SB42,3069 WG,1429,519,1,3,0,0,0,487,36,0,0,0,0,0,523,148,56,32,28,47,19,60,14,17,15,1,31,15,13,0,6,0,7,5,5
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Larikslaan 200 links,0599::SB43,3053 LG,1134,971,1,2,0,3,0,867,104,0,3,0,0,0,971,157,97,142,39,161,63,156,7,32,39,0,31,17,3,0,18,0,4,3,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Bramanteplein 2,0599::SB44,3066 BH,1342,700,7,5,0,0,0,652,59,0,0,1,1,0,711,261,92,25,35,40,32,50,7,27,22,0,42,33,15,1,2,0,5,8,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Paradijsplein 1 links,0599::SB45,3034 SL,1054,621,2,6,0,0,0,540,89,0,0,0,0,0,629,78,74,84,33,64,10,76,80,7,34,0,6,20,24,1,22,0,3,3,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Apollostraat 311-561,0599::SB46,3054 TC,1350,719,1,2,0,2,0,644,80,0,0,2,0,0,724,188,64,52,24,147,39,48,11,18,27,2,35,28,12,2,6,0,2,7,7
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Isaäc Hubertstraat 153 links,0599::SB47,3034 CS,1684,665,4,14,0,2,0,581,100,0,2,0,0,0,681,67,64,37,38,14,9,54,148,5,16,0,10,28,146,1,19,2,0,6,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Schepenstraat 69,0599::SB48,3039 NC,1116,982,1,0,0,0,0,900,83,0,0,0,0,0,983,99,104,190,49,119,41,202,24,32,48,0,20,10,8,1,26,0,6,0,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Boezemsingel 100,0599::SB49,3034 CA,1485,638,1,10,1,0,0,594,56,0,0,1,0,0,650,102,54,59,38,38,28,62,63,32,30,0,32,28,47,3,8,3,1,7,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Tattistraat 23,0599::SB50,3066 CE,1543,791,1,3,0,0,0,712,83,0,0,0,0,0,795,277,100,59,29,62,44,69,12,12,19,0,36,23,29,0,7,2,6,3,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Nieuwe Ommoordseweg 99,0599::SB51,3068 BS,1140,865,2,5,0,0,0,773,99,0,0,0,0,0,872,304,80,45,32,93,48,54,10,33,25,0,52,49,10,4,8,1,10,1,6
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Hamakerstraat 77,0599::SB52,3052 JA,1393,462,8,2,0,0,0,426,46,0,0,0,0,0,472,85,59,34,36,17,17,31,50,17,10,0,17,21,52,3,2,2,4,3,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Melanchtonweg 70,0599::SB53,3052 KV,776,293,1,0,0,0,0,256,38,0,0,0,0,0,294,60,26,48,5,37,16,21,20,9,4,0,14,9,7,3,12,1,0,0,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Thomas Mannplaats 150,0599::SB54,3069 NE,1299,852,2,12,0,2,0,776,88,0,2,0,0,0,864,293,75,68,33,85,71,62,7,29,24,0,56,21,8,3,4,3,4,3,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Jan Kruijffstraat 230,0599::SB55,3026 VP,908,540,9,13,0,0,0,504,58,0,0,0,0,0,562,54,78,66,33,40,12,94,44,13,28,1,9,6,28,1,16,4,7,5,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Hofdijk 651,0599::SB56,3032 CG,1396,806,2,2,0,0,0,726,81,0,3,0,0,0,807,179,93,95,49,108,19,100,37,16,40,0,18,12,14,1,16,2,2,0,5
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Adriaan Kluitstraat 170,0599::SB57,3052 RJ,1052,422,2,7,0,1,0,397,35,0,0,1,0,0,432,75,42,35,28,18,25,51,28,24,12,2,15,12,39,1,4,2,0,4,5
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Goudseweg 15 rechts,0599::SB58,3031 XH,1631,594,2,16,0,0,0,548,64,0,0,0,0,0,612,107,54,72,28,54,12,61,56,4,21,0,19,25,54,1,13,0,8,1,4
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Van Vlooswijkstraat 2A links,0599::SB59,3039 TP,1596,888,2,2,0,0,0,827,65,0,0,0,0,0,892,116,89,148,36,129,30,172,5,22,62,0,15,8,2,3,35,1,9,0,6
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Michelangelostraat 98,0599::SB60,3066 NM,1346,645,5,4,0,0,0,604,50,0,0,0,0,0,654,198,39,34,34,48,29,37,16,122,14,2,23,21,12,1,6,0,7,1,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Hesseplaats 441 links,0599::SB61,3069 EA,1358,621,2,3,0,0,0,575,51,0,0,0,0,0,626,193,52,35,24,36,60,61,15,23,20,0,48,18,14,3,6,1,3,4,5
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Paulus Potterstraat 76 links,0599::SB62,3061 ZW,1151,587,1,4,0,1,0,512,81,0,0,1,0,0,593,75,70,73,26,117,20,45,62,10,17,0,4,21,20,1,15,2,7,2,0
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Valenciadreef 6,0599::SB63,3067 WL,1401,551,0,6,2,0,0,501,58,0,0,2,0,0,559,185,62,34,26,20,18,49,23,28,19,0,19,21,28,2,2,4,2,4,5
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Merkelbachstraat 4 links,0599::SB64,3067 AL,1545,525,1,2,0,0,0,489,40,0,0,1,0,0,529,140,70,46,25,36,40,49,13,16,13,0,30,23,8,0,9,0,2,1,4
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Stresemannplaats 8,0599::SB65,3068 JL,865,493,1,1,0,2,0,458,39,0,0,2,0,0,497,183,39,20,26,31,31,45,17,22,19,0,18,17,6,5,6,5,2,0,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Slaak 15 links,0599::SB66,3061 CR,1313,577,3,7,1,0,0,522,66,0,1,0,0,0,588,89,62,62,29,62,22,61,72,5,20,0,11,13,51,1,13,1,1,2,0
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Vaasahof 75,0599::SB67,3067 DX,1380,712,3,2,0,1,0,649,67,0,1,0,0,0,716,283,74,41,28,55,21,52,9,28,24,0,31,33,14,3,7,0,5,1,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Jaffahof 75 links,0599::SB68,3061 KZ,1583,727,5,4,0,2,0,651,87,0,0,2,0,0,738,88,70,117,24,109,31,75,66,11,34,0,12,23,43,0,9,1,7,6,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Van Bassenstraat 19 links,0599::SB69,3067 XC,1406,591,1,3,0,0,0,547,48,0,0,0,0,0,595,159,54,50,14,69,38,64,11,27,30,2,18,20,14,0,14,1,4,1,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Jaffahof 75 rechts,0599::SB70,3061 KZ,1571,796,1,6,2,0,0,706,99,0,0,2,0,0,805,85,94,116,30,134,29,79,86,17,28,0,7,25,40,0,12,1,5,5,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Josephstraat 10 rechts,0599::SB71,3014 TP,1342,436,2,10,0,1,0,359,88,0,1,0,0,0,447,27,66,30,32,23,8,60,49,6,11,0,4,16,86,3,2,1,0,12,0
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Taborstraat 40-42 links,0599::SB72,3061 EW,1344,696,7,7,0,3,0,647,66,0,0,3,0,0,713,100,61,117,25,167,31,64,35,8,15,1,3,16,29,0,17,1,4,1,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Schimmelpenninckstraat 31,0599::SB73,3039 KS,1007,641,4,2,0,0,0,596,51,0,0,0,0,0,647,82,77,104,24,72,31,103,16,16,44,1,18,5,11,3,18,1,6,7,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Weteringstraat 225,0599::SB74,3061 PN,1270,740,2,4,0,0,0,650,96,0,0,0,0,0,746,92,77,104,45,66,29,70,103,17,20,1,7,20,67,2,5,5,4,4,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Pieter de Hoochstraat 52,0599::SB75,3024 CS,1273,673,4,13,0,7,0,655,42,0,0,7,0,0,697,85,70,100,40,47,25,126,41,12,33,0,4,8,46,0,15,2,13,3,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Westzeedijk 5,0599::SB76,3015 AA,1320,754,0,1,0,1,0,693,63,0,0,1,0,0,756,91,82,136,27,189,22,120,6,12,35,0,2,2,4,1,17,2,4,0,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Sionstraat 42,0599::SB77,3061 ES,1285,538,0,7,0,0,0,490,56,1,0,1,0,0,546,75,58,72,30,89,27,55,31,24,29,0,16,3,5,0,13,0,5,2,4
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Oranjestraat 6 links,0599::SB78,3043 TN,1149,457,5,1,0,0,0,403,59,0,1,0,0,0,462,165,21,34,15,43,40,40,7,18,13,0,14,24,2,1,3,1,14,0,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Sint-Jobskade 14,0599::SB79,3024 EN,1250,728,2,2,0,2,0,654,80,0,0,2,0,0,734,125,70,139,27,102,29,114,18,11,33,0,11,11,6,2,28,0,0,0,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Kerkdreef 2,0599::SB80,3054 GS,1378,895,2,2,1,0,0,809,91,0,0,1,0,0,900,153,67,150,17,299,47,81,0,16,21,0,14,8,0,2,16,0,2,0,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Vredehofweg 30 links,0599::SB81,3062 EP,1081,717,0,1,0,1,0,640,79,0,0,1,0,0,719,70,54,152,7,262,32,69,4,11,24,0,6,1,4,2,13,0,4,0,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Tinbergenlaan 50-52,0599::SB82,3045 BJ,1649,1098,4,8,3,0,0,960,153,0,0,3,0,0,1113,180,93,209,21,250,70,112,16,34,33,0,18,14,16,1,22,1,7,0,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Waterloostraat 164,0599::SB83,3062 TX,1782,942,3,1,0,0,0,853,93,0,0,0,0,0,946,119,65,194,23,296,52,83,6,23,37,0,5,8,6,0,18,1,4,1,1
