contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Gemeente Belangen,Democraten 66 (D66),SP (Socialistische Partij),GROENLINKS
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Woonzorgvoorziening Anholtskamp,1735::SB14,7475 CZ,1137,699,0,1,0,1,0,656,45,0,0,1,0,0,701,179,153,114,152,65,19,17
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau gemeenschapscentrum de Pol,1735::SB15,7497 LD,1514,986,1,1,0,0,0,866,122,0,0,0,0,0,988,647,213,22,21,43,23,17
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Gemeenschapscentrum Esbrook,1735::SB16,7495 TC,397,222,0,2,0,0,0,182,42,0,0,0,0,0,224,99,55,17,22,13,9,7
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Gemeenschapscentrum  't Kempke,1735::SB17,7495 RL,472,362,3,0,0,0,0,326,39,0,0,0,0,0,365,206,83,17,31,12,6,7
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Gemeenschapscentrum De Marke,1735::SB18,7496 PP,978,760,2,1,0,0,0,700,63,0,0,0,0,0,763,562,89,19,31,12,31,16
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Gemeenschapscentrum De Hoff,1735::SB19,7495 TW,251,151,0,0,0,0,0,140,11,0,0,0,0,0,151,83,38,3,6,15,0,6
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Parochiehuis,1735::SB20,7491 AB,1095,831,3,2,0,0,0,788,48,0,0,0,0,0,836,299,201,72,71,73,58,57
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau PC Basisschool Rannink,1735::SB21,7491 EA,1523,960,2,4,0,0,0,891,75,0,0,0,0,0,966,342,183,131,58,94,64,88
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Basisschool Erve Hooyerinck,1735::SB22,7491 DP,1161,996,3,0,0,0,0,945,54,0,0,0,0,0,999,322,172,145,80,109,68,100
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Woonzorgcentrum De Wieken,1735::SB23,7491 BD,1005,602,5,2,0,2,0,563,44,0,2,0,0,0,607,248,94,62,57,51,33,57
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Woonzorgcentrum Herfstzon,1735::SB24,7471 RG,1114,382,0,0,0,0,0,353,29,0,0,0,0,0,382,71,36,123,31,52,40,29
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Cultureel centrum Herberg de Pol,1735::SB25,7478 AG,836,545,2,0,0,0,0,503,44,0,0,0,0,0,547,103,68,77,147,83,30,37
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau RK Petrusschool,1735::SB26,7496 AH,836,431,1,0,0,0,0,388,44,0,0,0,0,0,432,323,46,18,18,11,8,7
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Basisschool De Toonladder,1735::SB27,7491 EA,1313,539,3,2,0,0,0,493,51,0,0,0,0,0,544,169,117,77,51,68,24,33
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Mobiel stembureau,1735::SB28,7471 DK,0,81,0,0,0,0,0,71,10,0,0,0,0,0,81,30,15,4,22,3,3,4
