contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Voor De Gemeenschap (V.D.G.),SP (Socialistische Partij),CDA,VVD,Democraten 66 (D66),Beter Oss,Partij van de Arbeid (P.v.d.A.),GROENLINKS,VZS (Verantwoordelijk voor Zelf en Samen)
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Gemeenschapshuis De Hoeve,0828::SB31,5397 BJ,2431,1248,1,4,0,0,0,1101,152,0,0,0,0,0,1253,323,279,240,195,57,82,32,38,2
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Gemeenschapshuis Avanti,0828::SB32,5396 PN,835,573,0,1,0,0,0,486,88,0,0,0,0,0,574,150,66,278,31,19,9,13,7,0
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Gemeenschapshuis Hart van Oijen,0828::SB33,5394 AK,994,590,0,2,0,0,0,525,67,0,0,0,0,0,592,281,88,77,58,28,29,9,18,2
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Gemeenschaphuis De Nolder,0828::SB34,5398 HK,1098,612,4,2,0,0,0,530,88,0,0,0,0,0,618,274,75,117,73,15,19,13,24,2
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Basisschool De Fonkeling,0828::SB35,5351 LB,1682,1206,6,2,0,0,0,1056,158,0,0,0,0,0,1214,595,188,50,189,41,83,15,42,3
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Basisschool De Fonkeling,0828::SB36,5351 MA,1709,390,2,1,0,0,0,350,43,0,0,0,0,0,393,174,59,18,58,31,14,9,23,4
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau MFC De Koppellinck,0828::SB37,5386 AS,2000,1087,2,1,0,0,0,953,138,1,0,1,0,0,1091,443,228,198,99,35,32,21,31,0
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Café Zaal 't Haasje,0828::SB38,5386 AM,2041,811,3,1,0,0,0,706,110,1,0,1,0,0,816,354,181,128,71,32,21,10,14,0
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Daltonschool De Evenaar,0828::SB39,5346 JH,1749,859,0,1,0,0,0,775,85,0,0,0,0,0,860,152,204,74,133,87,106,52,49,2
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Restaurant Zaal 't Putje,0828::SB40,5342 LG,586,303,2,0,0,0,0,264,41,0,0,0,0,0,305,68,33,32,74,27,53,9,7,0
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Golfbaan Oijense Zij,0828::SB41,5346 JG,1375,500,0,1,0,0,0,434,67,0,0,0,0,0,501,96,117,70,83,37,44,20,31,2
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau IKC Regenboog,0828::SB42,5348 HL,2273,560,0,1,0,0,0,488,73,0,0,0,0,0,561,63,222,28,39,54,94,37,20,3
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Brabantzorg Katwijk,0828::SB43,5341 HB,1726,637,5,1,0,0,0,578,65,0,0,0,0,0,643,92,274,50,44,46,74,28,27,2
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Brabantzorg De Ruwaard,0828::SB44,5344 BT,1283,410,3,2,0,4,0,379,40,0,0,4,0,0,419,84,171,45,19,25,36,14,14,2
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Brabantzorg Loovelt,0828::SB45,5345 LH,1519,327,3,0,0,0,0,298,32,0,0,0,0,0,330,39,136,19,28,24,30,20,27,4
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Brabantzorg Sterrebos,0828::SB46,5344 AR,1347,324,1,1,0,0,0,296,30,0,0,0,0,0,326,34,135,29,28,13,37,27,20,1
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Brabantzorg Maasland,0828::SB47,5373 AD,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Brabantzorg Wilberthof,0828::SB48,5351 EV,1538,496,2,1,0,0,0,443,56,0,0,0,0,0,499,228,95,46,53,13,35,9,16,1
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Residence Sibelius,0828::SB49,5343 BK,633,307,0,0,0,0,0,282,25,0,0,0,0,0,307,37,62,41,93,23,26,15,9,1
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau ROC De Leijgraaf,0828::SB50,5344 CS,838,361,1,1,0,0,0,337,26,0,0,0,0,0,363,65,88,35,48,38,33,27,27,0
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,"Stembureau Unit Park Mikkeldonk, ingang bij straat: Inlaat",0828::SB51,,1714,736,0,3,0,0,0,665,76,0,0,0,0,0,741,135,212,55,111,57,79,37,41,9
,Oss,GR2018_Oss,Gemeenteraad Oss 2018,0828,Oss,2018-03-21,Stembureau Mobiel stembureau,0828::SB52,,0,166,1,1,0,0,0,145,23,0,0,0,0,0,168,33,37,15,16,12,23,15,15,0
