contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),GB Heerenveen,CDA,VVD,Democraten 66 (D66),FNP,ChristenUnie,GROENLINKS,9,SP (Socialistische Partij)
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Wijkcentrum De Kempenaer,0074::SB15,8442 EM,1124,538,2,0,0,0,0,497,44,0,0,1,0,1,541,131,47,54,59,36,48,33,58,23,49
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Tellepark,0074::SB16,8442 EZ,1219,573,2,1,0,0,0,540,36,0,0,0,0,0,576,149,55,65,55,52,54,24,40,30,49
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Sint Jozefschool,0074::SB17,8442 AT,1034,405,5,2,0,0,0,378,34,0,0,0,0,0,412,99,52,44,38,18,37,9,45,25,38
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau de Heerenveense school,0074::SB18,8442 CE,1239,534,4,1,0,0,0,504,35,0,0,0,0,0,539,150,51,54,35,28,49,26,64,38,39
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Kantine VV Heerenveen,0074::SB19,8448 MT,1371,1007,2,0,0,0,0,929,80,0,0,0,0,0,1009,119,114,145,237,116,90,49,76,27,34
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau De Spil,0074::SB20,8448 RP,771,647,4,4,0,1,0,587,69,0,0,1,0,0,656,93,45,81,117,118,79,30,44,23,17
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau it Trefpunt,0074::SB21,8454 KG,1041,648,0,1,0,0,0,599,50,0,0,0,0,0,649,88,65,115,117,60,74,41,57,12,19
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Dorpshuis de Kiekenhof,0074::SB22,8414 LJ,1191,502,0,1,2,0,0,476,29,0,0,2,0,0,505,105,115,72,44,19,50,30,35,9,23
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Dorpshuis de Kiekenhof,0074::SB23,8414 LJ,859,677,2,2,0,0,0,618,63,0,0,0,0,0,681,162,134,103,60,26,73,25,62,15,17
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau het Streekcentrum,0074::SB24,8411 ZD,851,394,2,1,0,0,0,364,33,0,0,0,0,0,397,70,30,65,32,10,57,9,40,33,48
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Dorpshuis it Pipegaeltsje,0074::SB25,8411 ZE,647,341,2,1,0,0,0,298,46,0,0,0,0,0,344,46,18,91,42,16,44,7,34,16,27
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau De Kompenije,0074::SB26,8411 VK,950,353,0,1,0,0,0,323,31,0,0,0,0,0,354,61,15,27,18,11,58,7,33,20,103
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau De Kompenije,0074::SB27,8411 VK,845,413,0,0,0,0,0,376,37,0,0,0,0,0,413,74,9,33,21,12,90,4,26,41,103
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau De Barte,0074::SB28,8456 HR,1240,893,2,2,0,0,0,834,63,0,0,0,0,0,897,165,86,111,144,75,110,64,57,40,41
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau MFA Aenwirden,0074::SB29,8458 CA,1327,764,2,2,0,0,0,697,70,0,1,0,1,0,767,102,74,85,140,61,121,55,70,17,39
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Verzorgingscentrum Leppehiem,0074::SB30,8491 GJ,1045,638,2,3,0,0,0,604,39,0,0,0,0,0,643,106,57,94,84,49,70,7,131,4,36
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Obs Akkrum,0074::SB31,8491 HA,1315,854,3,2,0,0,0,791,68,0,0,0,0,0,859,85,67,159,181,127,55,20,123,7,30
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Dorpshuis De Jister,0074::SB32,8495 KJ,1188,637,5,0,0,0,0,590,52,0,0,0,0,0,642,53,56,184,103,38,73,31,52,12,35
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau It Deelshûs Haskerdijken,0074::SB33,8468 BJ,591,324,0,1,0,0,0,300,25,0,0,0,0,0,325,49,19,55,38,42,55,19,19,9,19
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Lantearne,0074::SB34,8491 CR,1051,544,4,0,0,1,0,503,44,0,1,0,0,0,547,81,44,82,77,56,54,18,107,7,18
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Meester Duisterhoutschool,0074::SB35,8448 GK,1033,357,0,1,0,0,0,325,33,0,0,0,0,0,358,48,30,50,67,39,51,15,30,20,7
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau De Spil,0074::SB36,8448 RP,781,383,2,1,0,0,0,350,35,0,1,0,0,0,385,63,30,56,76,61,38,29,19,5,6
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Mobiel stembureau,0074::SB37,,0,35,0,0,0,0,0,31,4,0,0,0,0,0,35,6,2,2,3,3,1,1,13,2,2
