contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Onafhankelijke Partij Alkmaar (OPA),Partij van de Arbeid (P.v.d.A.),VVD,CDA,Democraten 66 (D66),GROENLINKS,Leefbaar Alkmaar,SeniorenPartij Alkmaar (SPA) ouderen,Democratische Partij Alkmaar,B.A.S.,DENK,Partij voor Iedereen,ChristenUnie,Partij voor de Dieren
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Buurthuis 't Ambacht,0361::SB33,,1202,634,3,3,0,0,0,596,44,0,0,0,0,0,640,134,56,60,34,66,111,18,31,9,41,5,2,23,44
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Basisschool De Burijn,0361::SB34,,1405,675,11,2,0,1,0,648,39,0,1,0,0,0,687,133,64,68,58,91,95,33,21,10,54,1,2,14,31
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Basisschool 't Baeken 1,0361::SB35,,1365,535,3,3,0,0,0,498,43,0,0,0,0,0,541,112,46,57,21,72,75,14,36,7,29,12,3,15,36
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau DURV! school Elgerweg,0361::SB36,,1452,725,1,3,0,2,0,683,44,0,2,0,0,0,727,156,74,49,20,51,133,17,72,7,50,2,8,31,55
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Café The Rose,0361::SB37,,1118,475,0,0,0,1,0,425,51,0,0,1,0,0,476,74,39,128,48,57,46,12,12,5,29,0,0,10,15
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau 't Rekerheem,0361::SB38,,1434,866,7,2,0,0,0,837,38,0,0,0,0,0,875,204,96,62,71,57,96,41,87,13,50,2,10,30,47
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Basisschool Het Kompas,0361::SB39,,1425,674,4,0,0,0,0,620,58,0,0,0,0,0,678,109,77,74,47,94,101,66,28,3,31,0,6,13,25
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau 1e Montessorischool Alkmaar,0361::SB40,,1357,643,1,2,0,0,0,617,31,0,0,2,0,0,648,120,67,30,41,73,108,34,47,7,34,3,4,23,52
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Basisschool De Vlieger,0361::SB41,,1407,756,2,4,0,0,0,705,57,0,0,0,0,0,762,150,88,72,25,71,95,31,79,9,49,6,5,35,41
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Rudolf Steinerschool,0361::SB42,,1343,573,1,3,0,1,0,527,49,0,1,0,0,0,576,100,64,49,22,42,117,21,41,5,26,1,7,33,45
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau 't Baeken 2 v/h De Gondelier,0361::SB43,,1459,550,2,3,0,1,0,524,30,0,1,0,0,0,554,124,60,40,12,32,81,22,77,10,26,2,3,27,34
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau De Hofstaete,0361::SB44,,1434,833,3,3,0,1,0,792,46,0,1,0,0,0,838,183,77,117,54,84,83,30,86,11,45,2,3,31,27
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Wijkcentrum Daalmeer 1,0361::SB45,,1529,658,3,2,0,0,0,622,44,3,0,3,0,0,666,142,69,76,42,56,70,33,68,15,33,1,2,23,28
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau O.B.S. De Cocon,0361::SB46,,1574,862,4,2,0,0,0,789,79,0,0,0,0,0,868,153,72,137,65,99,105,53,36,10,50,4,6,42,30
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Wijkcentrum Daalmeer 2,0361::SB47,,1425,789,2,4,0,1,0,741,55,0,0,1,0,0,796,137,86,92,47,62,102,28,101,12,38,5,2,25,52
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau De Oldeburgh,0361::SB48,,1398,1017,9,12,0,0,0,953,85,0,0,0,0,0,1038,158,96,143,143,78,113,75,69,8,52,8,13,32,29
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Lauwershof,0361::SB49,,1346,886,3,0,0,4,0,821,64,0,4,0,0,0,885,124,91,134,143,89,84,75,46,6,35,0,0,27,32
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Basisschool De Regenboog,0361::SB50,,1240,494,1,5,0,0,0,460,40,0,0,0,0,0,500,69,50,81,60,59,47,34,25,5,33,3,1,9,18
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Brandweerkazerne Koedijk,0361::SB51,,1620,779,1,4,0,1,0,725,60,0,0,1,0,0,785,140,70,116,56,78,88,28,75,7,52,2,3,19,45
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau De Rietschoot,0361::SB52,,1534,708,3,1,0,0,0,683,29,0,0,0,0,0,712,114,63,95,41,62,98,20,74,5,53,0,2,30,51
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Appartementencomplex Biesboschstraat 1-103,0361::SB53,,1351,256,1,0,0,0,0,241,16,0,0,0,0,0,257,44,38,23,19,27,33,11,15,6,18,0,2,7,13
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Stedelijk Museum,0361::SB54,,1225,918,3,0,0,1,0,855,65,0,1,0,0,0,920,150,111,87,50,93,183,55,50,6,40,0,7,25,61
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Brandweerkazerne De Rijp,0361::SB61,,1226,876,9,3,0,2,0,808,78,0,2,0,0,0,886,71,177,188,177,53,64,44,20,11,26,0,2,0,43
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau School De Balein / De Pauw,0361::SB62,,1377,891,2,2,0,0,0,815,80,0,0,0,0,0,895,70,186,220,174,56,49,41,24,9,17,3,1,6,35
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau De Mieuwijdt,0361::SB63,,1285,587,3,2,0,0,0,526,66,0,0,0,0,0,592,21,112,125,159,35,47,18,19,7,13,0,1,2,28
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau OBS Vinckhuysen,0361::SB64,,875,477,1,2,0,3,0,431,52,0,0,3,0,0,483,23,153,107,48,30,40,25,16,1,10,0,0,3,21
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau 't Trefpunt,0361::SB65,,422,257,0,0,0,0,0,257,0,0,0,0,0,0,257,8,38,93,33,19,18,15,8,5,1,0,2,3,14
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Brandweerkazerne Stompetoren,0361::SB71,,1388,850,1,1,0,1,0,777,74,0,1,0,0,0,851,85,66,219,119,74,62,91,43,7,34,0,1,16,33
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau De Woeste Hoeve,0361::SB72,,554,306,3,0,1,0,0,296,14,0,0,1,0,0,310,27,20,84,50,16,20,41,17,2,7,0,1,6,15
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Café 's Lands Welvaren,0361::SB73,,1051,640,1,0,0,2,0,611,32,0,0,2,0,0,643,37,38,99,208,33,37,121,24,4,14,0,1,7,17
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau 't Wavertje,0361::SB74,,585,386,4,0,0,1,0,355,34,0,1,0,0,0,389,37,31,68,118,29,35,21,5,2,12,0,0,1,27
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Cafe 't Torenerf,0361::SB76,,750,508,1,1,0,0,0,468,43,1,1,0,0,0,511,20,23,154,180,27,34,31,7,2,6,0,0,10,14
