contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Studenten Techniek In Politiek (STIP),Onafhankelijk Delft,GROENLINKS,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,CDA,Stadsbelangen,ChristenUnie
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Laurentius Praktijkschool,0503::SB13,2613 XP,1694,1177,8,1,0,4,0,1074,116,0,0,4,0,0,1190,222,97,129,214,85,63,135,110,50,72
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Seniorencomplex Parkzicht,0503::SB14,2613 LC,1651,840,4,6,0,0,0,784,65,0,1,0,1,0,849,110,46,127,133,64,70,69,120,53,48
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Freinetschool Delft,0503::SB15,2613 LE,1909,787,0,3,0,0,0,639,144,0,7,0,0,0,783,127,78,75,167,61,58,62,57,52,50
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Freinetschool Delft,0503::SB16,2613 LE,1920,926,4,2,0,7,0,857,82,0,0,7,0,0,939,160,98,103,183,66,76,73,73,38,56
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau TU Fac Elektrotechn Wisk & Informat,0503::SB17,2628 CD,1291,1380,16,5,0,2,0,1395,4,0,2,0,0,0,1399,186,665,27,240,34,17,103,36,15,57
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Wijkcentrum Delft Noord,0503::SB18,2612 CB,1701,749,6,3,0,0,0,700,58,0,0,0,0,0,758,74,54,147,119,45,108,37,60,70,35
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Historisch Joris,0503::SB19,2612 GA,1233,818,1,3,0,0,0,750,72,0,0,0,0,0,822,100,88,77,143,47,69,100,75,55,64
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Verpleeghuis De Bieslandhof,0503::SB20,2612 VC,2095,1067,8,2,0,0,0,1076,1,0,0,0,0,0,1077,148,77,179,159,67,99,90,98,83,67
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Montessorischool Jan Vermeer,0503::SB21,2612 SR,1340,622,3,0,0,1,0,583,43,0,0,1,0,0,626,63,138,76,115,33,42,58,34,25,38
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,"Stembureau Gemeente Delft, Staalweg",0503::SB22,2612 KK,1623,706,3,5,0,2,0,683,29,0,2,0,0,0,712,58,36,163,81,50,110,37,49,82,40
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Buurthuis Onder de Schie,0503::SB23,2628 AJ,1686,1195,7,5,0,0,0,1205,2,0,0,0,0,0,1207,196,141,92,247,105,71,123,107,38,75
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau TU Fac Elektrotechn Wisk & Informat,0503::SB24,2628 CD,1292,1356,12,8,0,0,0,1327,49,0,0,0,0,0,1376,192,670,29,191,42,21,106,43,14,48
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Prins Mauritsschool,0503::SB25,2628 GJ,1890,1036,7,1,0,1,0,964,79,0,1,0,0,0,1043,110,167,148,157,80,95,50,57,74,98
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Vrijetijdscentrum De Wipmolen,0503::SB26,2628 JR,1697,665,5,4,0,0,0,642,32,0,0,0,0,0,674,77,76,106,58,44,64,43,62,87,48
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Het Kristal,0503::SB27,2614 SH,1440,929,7,2,0,0,0,819,119,0,0,0,0,0,938,148,48,83,140,81,54,159,90,61,65
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Wijkwerk Wippolder,0503::SB28,2628 JN,1958,592,1,4,0,2,0,561,34,0,2,0,0,0,595,67,57,107,79,46,65,43,45,51,32
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Buurthuis De Wending,0503::SB29,2613 RW,1856,1039,6,2,0,1,0,975,73,0,0,1,0,0,1048,139,160,82,219,66,107,68,68,75,55
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Delftse Montessorischool,0503::SB30,2613 JK,1636,785,1,1,0,1,0,739,49,0,0,1,0,0,788,94,248,62,98,50,63,56,59,21,34
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Woonzorgcentrum Delfshove,0503::SB31,2624 DS,1931,651,11,4,0,2,0,615,53,0,0,2,0,0,668,79,70,86,89,54,70,50,76,29,48
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Marcuskerk,0503::SB32,2624 TH,1828,1050,4,7,0,0,0,995,67,1,0,1,0,0,1062,128,317,81,127,51,53,70,72,49,102
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Praktijkschool Grotius College,0503::SB33,2624 LD,1374,593,0,3,0,0,0,559,37,0,0,0,0,0,596,75,34,83,70,60,49,70,69,41,42
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Wijkcentrum De Vleugel,0503::SB34,2624 LD,2073,762,12,10,0,1,0,709,74,0,1,0,0,0,783,101,116,75,111,65,56,55,85,46,52
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Buurthuis Het Voorhof,0503::SB35,2624 XL,1678,731,9,7,0,8,0,684,55,0,8,0,0,0,739,80,128,112,90,57,51,55,65,41,52
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Basisschool De Bron,0503::SB36,2622 EA,2231,837,1,0,0,0,0,753,85,0,0,0,0,0,838,105,34,171,90,55,80,93,86,76,47
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Woonzorgcentrum Stefanna,0503::SB37,2624 LW,1435,745,10,1,1,0,0,706,49,0,1,0,0,0,755,85,46,113,85,57,74,72,110,46,57
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Woonzorgcentrum Vijverhof,0503::SB38,2625 PM,1562,972,5,1,0,1,1,903,73,0,1,0,0,0,977,144,93,162,102,70,93,86,80,89,53
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Delftse Daltonschool,0503::SB39,2625 KX,1499,915,0,5,0,0,0,834,87,1,0,1,0,0,921,150,58,84,138,68,49,134,113,47,74
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Jongerencentrum The Culture,0503::SB40,2625 CZ,1334,491,0,7,0,0,0,450,48,0,0,0,0,0,498,35,9,120,45,58,76,23,55,43,27
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Wooncentrum Die Buytenweye,0503::SB41,2625 TD,1583,641,10,9,0,10,0,598,52,0,10,0,0,0,650,72,30,113,76,74,82,20,71,53,50
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Wijkcentrum Het Buitenhuis,0503::SB42,2625 RE,1188,608,11,7,0,1,0,589,36,0,1,0,0,0,625,58,117,73,87,64,74,32,50,30,23
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Bewonersruimte Lisztflat,0503::SB43,2625 BJ,1672,639,13,4,0,1,0,604,53,0,0,1,0,0,657,170,85,61,68,49,86,25,40,26,29
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Rkbs  De Bonte Pael,0503::SB44,2622 EE,2384,1420,3,5,0,0,0,1275,153,0,0,0,0,0,1428,135,80,326,161,121,143,117,113,145,79
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Vierhovenkerk,0503::SB45,2625 XN,1744,556,7,6,0,0,0,532,37,0,0,0,0,0,569,46,37,125,62,40,69,30,73,43,31
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Simon Carmiggeltschool,0503::SB46,2623 MX,1750,1062,3,5,0,1,0,969,102,0,0,1,0,0,1071,85,60,209,164,91,124,78,100,100,51
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Basisschool De Regenboog,0503::SB47,2623 MZ,1558,795,6,1,0,1,1,738,62,0,1,0,0,0,801,96,58,161,109,64,69,66,49,76,47
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau School De Ark,0503::SB48,2623 NW,1719,904,5,8,0,0,0,831,86,0,0,0,0,0,917,88,43,139,125,87,80,67,97,76,102
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau School De Eglantier Tanthof,0503::SB49,2622 HB,2070,1029,7,3,0,1,0,910,128,0,1,0,0,0,1038,124,61,201,145,83,104,87,72,76,76
