contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Inwoners Partij Lelystad,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,CDA,GROENLINKS,Leefbaar Lelystad,Lelystads Belang,DENK,PVV (Partij voor de Vrijheid),JongLelystad,Forum voor de Ouderen
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Buurtcentrum De Windhoek,0995::SB29,8244 BJ,1371,873,1,2,0,0,0,804,73,1,0,1,0,0,877,110,93,76,67,73,39,34,48,110,28,11,116,55,13
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Tennispark I.T.L.,0995::SB30,8243 MX,757,457,3,0,0,0,0,417,43,0,0,0,0,0,460,97,43,25,18,36,33,35,21,71,14,8,21,27,8
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School De Tjotter,0995::SB31,8245 ER,2125,1268,5,5,0,0,0,1166,112,0,0,0,0,0,1278,299,107,114,46,86,89,82,79,161,39,14,54,81,17
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Aeres VMBO Lelystad,0995::SB32,8232 MB,1194,693,0,2,0,0,0,628,67,0,0,0,0,0,695,141,76,58,41,41,51,39,32,91,23,1,39,43,17
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School De Lispeltuut,0995::SB33,8226 TA,1963,1006,2,2,0,0,0,894,116,0,0,0,0,0,1010,223,86,73,28,83,62,57,63,137,22,14,88,55,15
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Stadhuis Lelystad,0995::SB34,8232 ZX,874,1064,7,13,0,0,0,1005,79,0,0,0,0,0,1084,150,97,109,73,58,61,56,93,117,20,24,90,86,30
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Kerkcentrum Lichtbron,0995::SB35,8226 TA,1316,1045,0,8,0,0,0,954,99,0,0,0,0,0,1053,232,80,64,25,76,136,88,61,81,30,6,73,60,33
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School De Meander,0995::SB36,8219 AT,1498,653,3,6,0,0,0,587,75,0,0,0,0,0,662,169,49,42,16,62,63,52,43,73,8,4,39,24,9
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School De Sluis,0995::SB37,8244 AE,1377,391,2,0,0,0,0,360,33,0,0,0,0,0,393,73,43,39,22,28,17,22,22,35,14,4,29,31,12
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau MBO College Lelystad,0995::SB38,8224 KP,0,93,0,1,0,0,0,85,9,0,0,0,0,0,94,16,1,13,4,12,2,2,6,11,2,3,8,13,0
