contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Burgerbelangen Enschede (BBE),SP (Socialistische Partij),CDA,VVD,GROENLINKS,ChristenUnie,OPA,EnschedeAnders.nl,DENK,PVV (Partij voor de Vrijheid),Democratisch Platform Enschede,Liberaal053
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Saxion,0153::SB11,,2028,1373,6,5,0,2,0,1264,118,0,2,0,0,0,1382,277,123,133,73,103,217,249,57,13,26,16,44,38,4
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Noordmolen,0153::SB12,,1892,1071,9,2,0,0,0,998,84,0,0,0,0,0,1082,188,86,103,84,105,151,193,30,12,26,23,44,23,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Wijkvoorziening Lumen,0153::SB101,,1900,902,3,3,0,2,0,810,96,0,2,0,0,0,906,68,65,131,94,71,55,106,45,16,30,90,100,25,6
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Servicecentrum Oost,0153::SB102,,1623,591,2,3,0,0,0,530,66,0,0,0,0,0,596,62,50,96,53,59,61,51,45,12,14,21,50,16,1
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Het Wooldrik,0153::SB103,,1659,823,0,2,0,1,0,738,88,0,0,1,0,0,826,105,69,148,26,105,176,64,46,9,25,5,31,13,1
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Prinseschool,0153::SB104,,1157,896,2,1,0,0,0,833,66,0,0,0,0,0,899,107,80,163,57,80,98,80,68,36,32,20,57,15,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau De Roef,0153::SB105,,1664,772,3,2,0,0,0,699,77,0,1,0,0,0,776,76,68,160,59,79,90,82,48,11,31,1,34,29,4
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Speeltuin 't Varvik,0153::SB106,,1849,987,0,0,0,0,0,973,14,0,0,0,0,0,987,78,85,171,98,74,94,68,59,27,27,40,96,65,5
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Zorgcentrum de Bleekhof,0153::SB201,,1626,695,6,5,0,1,0,651,56,0,0,1,0,0,707,62,61,95,45,45,61,72,71,18,41,48,49,25,2
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Europa,0153::SB202,,1515,769,2,4,0,1,0,709,67,0,0,1,0,0,776,46,72,122,73,39,45,75,75,19,19,91,58,31,4
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Geert de Leeuwhuis,0153::SB203,,1579,749,7,2,0,1,0,686,73,0,0,1,0,0,759,73,54,107,78,74,51,80,86,21,23,41,49,12,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau CBS de Koning,0153::SB204,,1496,628,1,0,0,0,0,576,53,0,0,0,0,0,629,47,69,98,73,42,26,50,50,15,35,21,83,15,4
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Speeltuin Stevenfenne,0153::SB205,,1615,402,0,3,0,0,0,376,29,0,0,0,0,0,405,43,34,68,34,27,36,22,59,7,17,6,31,17,1
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Pathmosschool,0153::SB206,,1575,538,6,5,0,0,0,499,50,0,0,0,0,0,549,51,39,74,67,12,16,69,32,10,25,68,59,16,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Speeltuin Stadsveld,0153::SB207,,1623,512,2,1,0,2,0,471,42,0,2,0,0,0,513,32,37,104,58,33,32,37,47,19,26,13,61,12,1
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Het Stadsveld,0153::SB208,,1813,759,10,7,0,0,0,720,56,0,0,0,0,0,776,85,69,116,71,40,57,85,42,13,28,65,65,23,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau De Triangel,0153::SB209,,1649,953,1,3,0,1,0,861,97,0,0,1,0,0,958,87,79,139,83,85,87,77,60,19,31,113,78,13,2
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Zorgcentrum de Hatteler,0153::SB210,,1578,1232,5,4,0,3,0,1116,122,0,3,0,0,0,1238,145,137,174,69,145,136,94,95,39,39,39,75,41,4
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau SBO de Spinaker,0153::SB211,,1639,538,0,5,0,1,0,505,39,0,0,1,0,0,544,76,40,77,41,45,33,67,45,6,19,35,30,22,2
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau ROC van Twente,0153::SB212,,0,159,1,0,0,0,0,141,19,0,0,0,0,0,160,29,7,25,4,16,27,12,10,4,4,8,8,5,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau vv Rigtersbleek,0153::SB301,,1622,910,4,0,0,2,0,817,99,0,0,2,0,0,916,144,124,82,62,63,105,158,46,10,26,26,34,27,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Stichting de Melkweg,0153::SB302,,1626,755,4,1,0,0,0,689,71,0,0,0,0,0,760,66,77,139,74,51,37,99,22,19,34,34,79,19,5
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Twekkelerveld,0153::SB303,,1331,634,1,1,0,0,0,592,44,0,0,0,0,0,636,53,90,118,62,53,43,67,34,11,12,6,69,15,1
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Zorgcentrum Twekkelerveld,0153::SB304,,1815,730,3,1,0,1,0,683,52,0,0,1,0,0,735,81,86,85,92,44,28,75,54,17,14,70,60,19,5
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Stichting Enschedese Speeltuinen,0153::SB305,,1547,604,2,2,0,0,0,555,53,0,0,0,0,0,608,78,42,58,47,46,45,77,51,16,23,53,54,11,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau U.T. De Bastille (Atrium),0153::SB306,,2026,1907,54,1,0,1,0,1883,80,0,0,1,0,0,1963,622,132,69,51,97,233,524,72,12,19,8,24,39,5
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Het Roessingh/Revalidatiecentrum,0153::SB401,,1824,1054,5,5,0,1,0,979,84,0,1,0,0,0,1063,176,85,141,68,93,120,192,61,13,36,5,39,19,6
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Clubgebouw EMOS,0153::SB402,,1648,1120,6,0,0,0,0,1033,93,0,0,0,0,0,1126,181,107,99,56,181,208,147,46,12,31,1,37,14,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Basisschool Anna van Buren,0153::SB403,,1808,1310,7,3,0,3,0,1211,106,0,3,0,0,0,1317,205,123,135,68,136,147,191,123,10,43,48,53,26,2
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,"Stembureau Liberein, locatie Ariënsstaete",0153::SB404,,1792,945,8,4,0,0,0,878,79,0,0,0,0,0,957,92,108,102,75,146,94,102,40,24,31,68,44,17,2
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Basisschool Roombeek (dep),0153::SB405,,1685,666,2,5,0,0,0,617,56,0,0,0,0,0,673,53,59,96,51,79,44,61,48,9,24,89,46,7,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Ons Huis De Dollard,0153::SB406,,1911,821,8,5,0,0,0,761,73,0,0,0,0,0,834,71,80,106,81,76,51,81,56,13,30,110,46,14,6
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Enschedese Schoolvereniging,0153::SB407,,1675,716,3,3,0,0,0,656,66,0,0,0,0,0,722,74,58,106,54,80,104,57,48,7,40,12,51,22,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Ons Huis Het Achtervoort,0153::SB408,,1524,700,2,1,0,0,0,626,77,0,0,0,0,0,703,56,36,96,65,98,70,58,30,10,35,100,38,5,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Voetbalvereniging VOSTA,0153::SB501,,1498,575,5,2,0,0,0,540,42,0,0,0,0,0,582,42,48,69,62,61,52,62,44,11,18,25,58,9,14
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Het Stedelijk Lyceum-ISK,0153::SB502,,1536,562,3,1,0,0,0,514,52,0,0,0,0,0,566,41,70,87,62,44,40,55,22,11,26,23,58,19,4
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Park Stokhorst,0153::SB503,,1637,1047,5,3,0,0,0,952,103,0,0,0,0,0,1055,118,115,159,71,125,158,119,43,20,33,10,47,21,8
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,"Stembureau Liberein, locatie Het Florapark",0153::SB504,,1599,370,1,3,0,0,0,352,22,0,0,0,0,0,374,27,48,55,36,39,34,25,32,15,20,2,33,4,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Paus Joannesschool,0153::SB505,,1288,1268,4,2,0,1,0,1164,111,0,0,1,0,0,1275,141,86,200,45,192,328,94,57,18,22,2,40,43,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Het Vastert,0153::SB601,,1703,1083,2,0,0,0,0,980,105,0,0,0,0,0,1085,83,97,280,65,107,102,75,101,25,43,5,63,33,4
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Wooncentrum Het Veldhof,0153::SB602,,1698,1186,0,5,0,2,0,1071,118,0,2,0,0,0,1189,87,103,234,102,122,131,87,88,46,79,16,70,18,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Het Stroink,0153::SB603,,1854,483,0,1,0,1,0,434,51,0,0,1,0,0,485,29,39,102,51,34,28,28,22,9,43,31,53,9,5
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Stroinkshuis,0153::SB604,,1735,742,4,5,0,0,0,651,100,0,0,0,0,0,751,58,50,163,84,67,65,38,59,13,38,19,75,12,1
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau De Regenboog,0153::SB606,,1666,791,3,1,0,0,0,692,103,0,0,0,0,0,795,41,57,175,67,80,64,61,75,16,42,27,70,13,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Bonhoeffer College,0153::SB607,,1604,391,2,0,0,1,0,358,36,0,0,1,0,0,394,12,45,68,38,27,19,26,37,11,10,38,46,14,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau De Zuidsprong,0153::SB608,,1642,761,0,12,0,1,0,682,92,0,0,1,0,0,774,30,95,126,80,46,51,42,57,19,39,92,64,20,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Zorgcentrum De Posten,0153::SB609,,1603,918,7,15,0,0,0,834,106,0,0,0,0,0,940,43,79,127,75,153,116,32,98,14,30,50,95,6,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS De Broekheurne,0153::SB610,,1762,836,0,8,0,1,0,706,137,0,1,0,0,0,843,55,70,91,60,155,83,32,114,22,30,49,61,14,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Zorgcentrum Broekheurnerstede,0153::SB611,,1156,656,4,5,0,0,0,604,61,0,0,0,0,0,665,49,76,93,39,94,54,40,69,17,35,16,57,17,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Het Bijvank,0153::SB612,,1613,578,4,10,0,0,0,509,83,0,0,0,0,0,592,23,29,63,46,52,40,41,66,9,31,105,55,13,5
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Victoria '28,0153::SB613,,1733,778,0,3,0,0,0,688,90,0,3,0,0,0,778,37,64,135,71,91,82,34,69,12,29,62,64,28,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Mediant Helmerzijde,0153::SB614,,1883,1052,4,3,0,0,0,948,111,0,0,0,0,0,1059,100,95,187,61,118,140,93,81,19,47,7,69,35,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau CBS Willem van Oranje,0153::SB615,,1872,643,2,0,0,0,0,644,1,0,0,0,0,0,645,45,44,128,57,72,67,43,75,16,28,8,47,12,1
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Weth. v.d. Heijdenschool,0153::SB616,,1591,705,2,2,0,3,0,645,61,0,3,0,0,0,706,61,70,139,63,60,68,55,71,21,19,3,45,27,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS de Sterrenborgh,0153::SB617,,1672,1023,1,0,0,0,0,919,105,0,0,0,0,0,1024,109,101,205,68,100,87,115,67,21,59,8,53,28,2
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,"Stembureau Liberein, locatie Dr. Ariënshuis",0153::SB801,,1621,672,3,0,0,0,0,656,19,0,0,0,0,0,675,30,43,178,72,115,35,42,10,24,40,2,72,8,1
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau De Troubadour,0153::SB802,,1699,405,0,1,0,0,0,359,47,0,0,0,0,0,406,17,19,156,21,49,17,21,17,7,27,4,45,5,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Glanerbrug Zuid,0153::SB803,,1570,536,0,1,0,0,0,479,58,0,0,0,0,0,537,27,48,156,56,49,34,35,21,8,35,8,48,9,2
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau CBS Ouverture,0153::SB804,,1618,864,2,1,0,1,0,764,104,0,0,1,0,0,868,29,59,223,67,117,71,51,49,29,33,18,93,25,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,"Stembureau Liberein, locatie Bruggerbosch",0153::SB805,,1740,816,5,2,0,0,0,741,82,0,0,0,0,0,823,72,78,214,65,76,80,48,43,21,28,11,61,18,1
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS De Esmarke,0153::SB806,,1879,1087,0,0,0,2,0,963,122,0,2,0,0,0,1085,87,89,350,52,88,108,60,31,35,44,23,89,30,1
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau BSO 't Kraaiennest,0153::SB807,,1581,544,3,0,0,0,0,493,54,0,0,0,0,0,547,31,44,180,34,62,37,30,12,11,14,2,75,11,1
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Parochiehuis,0153::SB808,,1269,645,2,1,0,1,0,588,61,0,0,1,0,0,649,16,39,221,34,124,36,21,12,20,26,2,82,12,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Molenbeek Usselo,0153::SB901,,808,459,0,0,0,0,0,408,51,0,0,0,0,0,459,47,19,58,25,60,109,24,22,15,21,0,50,9,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Molenbeek Boekelo,0153::SB902,,1615,1157,2,0,0,1,0,1075,83,0,1,0,0,0,1158,119,96,133,58,200,228,115,33,10,34,2,88,36,5
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Marcellinusschool Boekelo,0153::SB903,,1141,662,0,1,0,1,0,597,65,0,1,0,0,0,662,84,37,75,48,156,91,71,40,12,18,0,19,9,2
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Dorpshuis Lonneker,0153::SB904,,1226,934,2,3,0,2,0,856,81,0,2,0,0,0,937,90,76,104,32,271,149,78,28,11,32,0,38,22,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau St. Liduinaschool,0153::SB905,,1081,535,3,0,0,0,0,471,67,0,0,0,0,0,538,35,42,55,16,162,100,34,19,7,21,2,27,15,0
