contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SGP-ChristenUnie,Lokale Partij Borsele,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),OPA Borsele
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Ovezande,0654::SB11,4441 AE,942,558,0,4,0,0,0,514,48,0,0,0,0,0,562,271,14,64,68,44,62,35
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Oudelande,0654::SB12,4436 AC,570,354,0,0,0,0,0,309,45,0,0,0,0,0,354,53,17,126,45,50,37,26
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Baarland,0654::SB13,4435 AD,491,309,2,3,0,0,0,288,26,0,0,0,0,0,314,46,57,77,50,30,28,21
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Hoedekenskerke,0654::SB14,4433 AL,547,366,4,0,0,0,0,341,29,0,0,0,0,0,370,79,100,76,33,21,31,26
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Kwadendamme,0654::SB15,4434 AC,783,462,0,0,0,0,0,428,34,0,0,0,0,0,462,249,20,81,34,31,34,13
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Nisse,0654::SB16,4443 AE,508,352,1,2,0,0,0,321,35,1,0,1,0,0,356,90,67,44,49,32,51,19
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau 's-Heer Abtskerke,0654::SB17,4444 AG,423,269,1,0,0,0,0,245,25,0,0,0,0,0,270,71,21,53,29,53,31,11
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau 's-Gravenpolder (Zaal A),0654::SB18,4431 BP,1066,773,3,2,0,0,0,688,90,0,0,0,0,0,778,118,452,78,29,41,32,23
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau 's-Gravenpolder (Zaal B),0654::SB19,4431 BP,1119,725,0,2,0,0,0,622,105,0,0,0,0,0,727,88,392,53,49,60,41,42
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau 's-Gravenpolder 20,0654::SB20,4431 EK,1239,904,2,4,0,0,0,795,115,0,0,0,0,0,910,108,590,58,39,44,38,27
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Lewedorp (B),0654::SB21,4456 AL,694,354,0,5,0,0,0,321,38,0,0,0,0,0,359,114,42,39,49,37,32,41
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau 's-Heerenhoek (Zaal B),0654::SB22,4453 BE,772,443,3,0,0,0,0,393,53,0,0,0,0,0,446,100,14,68,123,76,32,30
