contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Haagse Stadspartij,VVD,CDA,Groep de Mos / Hart voor Den Haag,SP (Socialistische Partij),GROENLINKS,Islam Democraten,Partij van de Eenheid,ChristenUnie-SGP,Partij voor de Dieren,14,50PLUS,NIDA,Dynamo Den Haag,Bond voor Studenten Actie,Haagse Toekomst,Samen070
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Koos Meindertsschool,0518::SB113,2552 HW,984,551,2,1,0,2,0,481,75,0,0,2,0,0,556,48,28,42,20,65,39,155,24,41,4,0,27,27,0,14,12,3,1,1,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau WZH Nieuw Berkendael,0518::SB114,2552 TX,1701,605,2,2,0,2,0,546,65,0,0,2,0,0,611,38,68,41,22,73,34,189,15,28,9,2,20,29,1,24,7,0,1,1,3
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Florence Woonzorgcentrum Houthaghe,0518::SB117,2552 SB,1461,830,1,19,0,8,0,750,92,0,8,0,0,0,842,57,62,43,23,93,68,270,21,44,16,5,39,32,1,41,9,1,1,1,3
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Verpleeghuis Houtwijk,0518::SB118,2552 ZV,1283,850,1,1,0,0,0,774,78,0,0,0,0,0,852,76,43,59,45,121,93,173,31,83,5,4,24,56,0,28,0,3,2,0,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau CBS Leyenburg,0518::SB119,2547 VR,2709,689,0,1,0,0,0,609,87,0,0,6,0,0,696,39,57,52,30,54,53,218,25,58,8,1,26,32,1,29,2,0,0,2,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Tuincentrum Onings,0518::SB122,2555 JL,1984,1179,6,4,0,0,0,1080,111,0,0,2,2,0,1191,134,42,57,97,185,68,271,32,119,1,7,35,86,1,31,4,1,2,4,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijkcentrum De Geest,0518::SB125,2551 ZC,1697,770,5,2,0,0,0,679,99,1,0,1,0,0,778,41,66,32,28,43,33,273,44,56,16,2,30,48,1,34,10,3,1,2,7
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Florence WZC Wijndaelercentrum,0518::SB126,2551 GM,1415,691,2,2,0,1,0,639,57,0,0,1,0,0,696,39,31,40,36,125,62,208,17,47,3,1,13,33,1,30,3,0,1,1,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Cardia Woonzorgcentrum Tabitha,0518::SB127,2555 KZ,1449,1107,6,5,0,3,0,1031,90,0,0,3,0,0,1121,75,55,46,50,201,118,310,33,71,0,3,36,60,2,41,1,0,0,2,3
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Eerste Nederlandse Montessori School,0518::SB130,2566 DA,1814,1142,2,2,0,4,0,995,147,0,4,0,0,0,1142,204,21,49,68,373,81,103,23,96,0,0,32,61,1,22,2,6,0,0,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Serviceflat Dekkershaghe,0518::SB131,2551 GA,880,623,4,7,0,0,0,585,49,0,0,0,0,0,634,51,39,34,32,98,58,155,12,55,1,0,20,38,0,23,1,3,0,0,3
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Centrum Bokkefort,0518::SB132,2552 KW,1035,563,0,2,0,0,0,503,62,0,0,0,0,0,565,28,48,44,25,44,35,173,15,37,16,16,12,24,1,15,24,1,1,3,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Middin AC Waldeck,0518::SB134,2551 WK,1537,503,0,0,0,1,0,462,42,0,0,1,0,0,504,28,42,27,22,29,37,162,30,39,4,0,10,32,1,23,7,2,1,4,3
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau CBS De Eshof,0518::SB135,2552 KL,696,435,0,2,0,0,0,390,47,0,0,0,0,0,437,34,39,22,8,41,28,142,15,38,6,1,16,25,1,8,9,0,0,2,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijkcentrum Het Eiland,0518::SB136,2553 VK,1883,693,2,2,0,0,0,653,44,0,0,0,0,0,697,38,71,36,28,58,36,279,26,36,1,4,12,28,5,30,3,0,0,1,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau HV & CV Quick,0518::SB138,2566 BZ,723,425,0,0,0,1,0,383,41,0,1,0,0,0,424,44,9,16,20,136,39,70,4,37,0,0,7,19,0,18,1,2,1,2,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Scoutinggroep Ferguson,0518::SB139,2555 NB,900,491,4,0,0,1,0,452,44,0,0,1,0,0,496,67,8,18,28,102,24,115,11,48,0,0,12,34,0,22,1,1,0,0,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Hofstad Lyceum,0518::SB140,2555 HA,2177,1121,2,2,0,5,0,1037,94,1,0,6,0,0,1131,141,32,65,81,181,102,241,14,124,1,1,23,64,0,40,2,3,1,1,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau OBS De la Reyschool,0518::SB202,2571 GH,2390,1057,5,10,0,2,0,895,175,0,2,0,0,0,1070,63,33,65,39,41,121,188,25,91,195,44,32,18,1,4,60,0,6,5,26
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau OBS De Gelderlandschool,0518::SB204,2573 BA,2891,931,7,9,0,1,0,828,121,1,0,2,0,0,949,71,69,54,49,38,64,260,21,95,82,13,40,30,1,14,13,1,1,6,9
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Middin Steinmetz de Compaan,0518::SB206,2574 VS,2878,996,6,7,0,5,0,877,127,0,5,0,0,0,1004,73,111,53,48,42,45,279,53,61,40,18,43,45,5,23,38,0,1,8,10
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau OBS Het Galjoen,0518::SB209,2525 ZV,2631,1255,7,19,0,0,0,990,301,0,0,10,0,0,1291,93,21,223,14,28,189,120,22,63,301,57,16,17,0,11,59,0,1,4,16
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Musicon,0518::SB211,2574 AL,2759,1047,7,10,0,7,0,958,113,0,0,7,0,0,1071,101,96,54,62,72,46,242,33,118,38,7,46,71,4,28,11,3,7,7,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau OBS De la Reyschool Voorthuizenstraat,0518::SB212,2573 AH,2911,712,4,4,0,0,0,636,85,1,0,1,0,0,721,68,53,35,43,36,43,180,26,58,44,4,36,49,3,11,10,4,2,3,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Sportzaal Andre Castens,0518::SB213,2546 XE,2278,912,6,3,0,0,0,829,93,0,0,1,0,0,922,56,110,50,30,62,53,283,29,87,16,7,37,44,2,32,5,3,2,2,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau CBS De Ark,0518::SB215,2546 SP,1999,908,2,14,0,2,0,818,104,0,2,0,0,0,922,63,68,46,28,60,47,318,27,66,20,12,31,66,3,30,12,1,0,4,6
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Daltonbasisschool Helen Parkhurst,0518::SB216,2546 SK,1381,587,1,3,0,2,0,514,79,0,0,2,0,0,593,65,48,35,18,38,17,168,24,53,16,10,29,35,1,18,5,1,2,1,3
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Tamarschool,0518::SB217,2545 NL,2049,596,0,5,0,0,0,548,53,0,0,0,0,0,601,40,57,46,8,18,37,127,35,51,35,14,70,24,0,17,13,0,0,1,3
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau CBS Leyenburg,0518::SB218,2547 VR,38,680,3,0,0,0,0,608,76,0,0,1,0,0,684,72,40,39,30,71,35,205,25,46,8,1,33,37,1,22,6,2,0,5,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau WoonZorgPark Swaenesteijn,0518::SB219,2547 JG,2087,1063,7,3,0,1,0,982,92,0,0,1,0,0,1074,85,70,81,43,95,72,282,38,101,4,5,60,64,3,50,0,5,0,3,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau WoonZorgPark Swaenehove,0518::SB221,2547 KX,1506,705,3,3,0,1,0,648,64,0,0,1,0,0,712,55,53,42,36,55,54,221,23,56,8,3,20,32,0,30,5,3,2,1,6
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijkcentrum Bouwlust,0518::SB225,2544 VS,2268,1000,6,17,0,0,0,835,190,0,0,0,0,0,1025,73,44,129,19,23,64,110,36,59,161,102,20,27,2,29,87,1,0,5,9
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau RKBS De Zuidwester,0518::SB227,2544 ME,2409,768,4,9,0,3,0,679,105,0,0,3,0,0,784,50,53,60,10,42,62,165,32,64,73,28,27,17,0,31,41,0,0,2,11
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Verpleeghuis De Lozerhof,0518::SB228,2544 RP,2894,808,4,12,0,15,0,719,120,0,0,15,0,0,839,48,82,76,22,32,61,184,41,49,69,19,15,32,6,24,37,0,0,4,7
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Florence Expertisecentrum Gulden Huis,0518::SB229,2542 AA,2071,744,4,7,0,0,0,628,127,0,0,0,0,0,755,52,58,60,24,20,51,172,33,61,45,41,12,32,2,15,48,0,0,4,14
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Centrum Carel van den Oever,0518::SB231,2542 TP,1335,390,4,4,0,0,0,344,55,1,0,1,0,0,399,33,36,41,6,14,23,76,25,25,24,14,8,16,0,7,36,1,3,0,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau SBO De Springplank,0518::SB232,2542 XH,2402,984,4,9,0,0,0,853,144,0,0,0,0,0,997,65,63,70,29,92,109,176,23,73,65,46,24,34,0,25,73,4,0,3,10
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau PartyCentrum Ons Huis,0518::SB233,2531 XE,2837,751,4,8,0,3,0,651,115,0,0,3,0,0,766,56,68,49,22,24,61,131,17,58,95,42,44,26,0,16,21,2,0,7,12
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Blokpoelschool,0518::SB234,2543 VS,2839,931,1,2,0,20,0,776,138,0,20,0,0,0,914,70,63,85,16,43,51,176,35,79,103,63,15,28,3,26,48,0,1,4,22
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Verpleeghuis Vrederust-West,0518::SB235,2542 XA,2311,719,4,6,0,1,0,636,94,0,0,1,0,0,730,38,59,67,17,45,63,176,29,41,51,17,32,19,0,24,23,2,0,3,13
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Stadsdeelkantoor Escamp,0518::SB239,2545 HA,1446,1190,7,27,0,0,0,1075,152,3,0,3,0,0,1227,81,68,112,35,65,108,176,59,118,109,63,32,56,3,20,57,0,1,7,20
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Ontmoetingscentrum Morgenstond,0518::SB242,2541 JG,1508,391,2,4,0,0,0,362,35,0,0,0,0,0,397,23,25,38,8,28,37,90,17,36,26,7,8,8,3,8,19,1,0,2,7
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau AC Sparring - Gemiva SVG Groep,0518::SB244,2545 HP,1237,249,2,2,0,0,0,239,15,1,0,1,0,0,254,14,20,26,4,13,13,56,12,23,19,7,2,21,0,12,5,0,0,2,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Middin Drentheplantsoen,0518::SB245,2545 BV,958,376,0,1,0,3,0,339,41,0,0,3,0,0,380,23,38,31,7,21,34,90,19,40,11,6,5,16,0,23,5,0,0,5,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau ROC Mondriaan,0518::SB246,2545 VX,2815,1099,4,16,0,2,0,944,173,0,2,0,0,0,1117,101,63,64,36,103,71,266,34,83,93,16,31,53,2,40,24,1,0,7,11
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Woonzorgcentrum Moerwijk,0518::SB254,2531 RB,2748,813,8,23,0,2,0,714,128,0,2,0,0,0,842,50,49,72,22,31,78,138,51,52,69,86,24,23,2,20,33,0,0,4,9
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijkcentrum Moerwijk,0518::SB259,2533 TG,2728,934,3,18,0,0,0,825,130,0,0,0,0,0,955,55,61,89,31,23,70,156,43,82,109,67,28,26,0,24,39,0,1,8,22
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Verzorgingshuis Waterhof,0518::SB261,2548 MC,1456,354,3,5,0,0,0,335,27,0,0,0,0,0,362,29,30,33,8,38,28,76,21,18,7,8,10,12,2,17,4,2,0,5,6
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Maria Montessorischool,0518::SB262,2548 NT,1633,852,2,1,0,0,0,712,143,0,0,0,0,0,855,131,41,33,14,171,61,190,4,76,22,11,23,23,0,21,19,2,1,5,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Openbare Daltonschool De Vijver,0518::SB264,2548 WJ,3422,595,1,1,0,35,0,504,58,0,35,0,0,0,562,57,33,28,6,72,44,192,6,46,20,5,17,24,2,15,17,0,1,2,8
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau RKBS De Fontein,0518::SB265,2548 CK,2246,886,3,6,19,0,0,710,166,0,19,0,0,0,876,86,41,56,12,170,67,232,23,51,22,13,18,28,3,23,25,1,0,10,5
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau RKBS De Fontein,0518::SB266,2548 CK,580,777,1,3,5,0,0,643,133,0,5,0,0,0,776,76,42,47,11,104,60,246,21,46,21,5,9,30,1,21,22,4,3,3,5
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau WZH Hoge Veld,0518::SB268,2548 CG,2362,777,6,3,0,1,0,677,110,0,0,1,0,0,787,72,35,46,20,103,34,242,16,46,29,11,11,25,2,38,39,0,0,4,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau CBS De Gantel,0518::SB270,2548 BR,2338,1231,9,3,0,0,0,1075,169,1,0,1,0,0,1244,166,64,62,14,202,79,352,12,70,36,3,35,39,3,42,22,4,3,7,16
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Openbare Daltonschool De Vijver,0518::SB271,2548 WJ,147,905,3,7,0,39,0,804,150,0,0,39,0,0,954,79,68,85,18,124,63,244,15,54,30,15,25,19,0,34,26,0,0,1,5
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Roemer Visscher College,0518::SB275,2533 VG,2096,474,1,5,0,4,0,417,67,0,0,4,0,0,484,22,30,50,15,21,20,95,33,21,62,35,21,10,2,12,15,0,0,1,9
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau OBS De Drentse Hoek,0518::SB277,2545 SL,1821,688,4,4,0,0,0,578,118,0,0,0,0,0,696,50,29,66,7,22,47,132,27,49,96,26,22,16,2,17,50,0,3,13,14
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Haga Ziekenhuis,0518::SB278,2545 AA,805,912,4,2,0,1,0,830,89,0,0,1,0,0,919,126,46,69,45,102,50,174,27,106,33,4,27,43,0,26,26,0,3,1,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau OBS De Wissel,0518::SB280,2541 RL,904,399,0,5,0,0,0,350,54,0,0,0,0,0,404,35,27,29,5,18,21,77,21,16,60,24,7,14,0,14,18,1,0,1,11
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau ISV Kameleon,0518::SB281,2543 RT,1502,321,3,2,0,0,0,285,41,0,0,0,0,0,326,12,22,33,10,13,22,63,18,27,18,19,13,14,1,8,26,0,0,1,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau The Student Hotel,0518::SB283,2526 BN,2621,755,6,13,0,0,0,682,94,2,0,2,0,0,776,107,26,67,51,34,47,31,21,113,67,45,30,39,0,4,46,5,8,8,6
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Nutsschool Morgenstond,0518::SB284,2545 VC,983,340,2,3,0,0,0,295,50,0,0,0,0,0,345,25,24,34,5,20,21,85,9,22,28,12,4,11,0,7,28,0,1,4,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Stadsboerderij Op den Dijk,0518::SB286,2548 AX,2534,1127,3,4,0,1,0,991,142,0,0,0,0,0,1133,138,45,67,35,213,61,280,24,101,14,7,23,55,4,41,4,3,1,2,9
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Vereniging Jeugd en Paard de Eendenkooi,0518::SB291,2533 SX,770,232,0,2,0,0,0,205,29,0,0,0,0,0,234,14,27,20,6,21,15,50,17,18,1,3,10,22,0,5,2,1,0,0,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Hart van Moerwijk,0518::SB296,2531 KA,2008,620,1,3,0,5,0,534,96,0,0,6,1,0,630,24,40,45,10,37,55,127,32,40,60,33,31,25,1,12,32,0,2,3,11
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijkberaad Leyenburg,0518::SB299,2547 LK,1625,472,1,3,0,1,0,424,53,0,0,1,0,0,477,41,46,17,12,32,30,136,34,38,11,9,17,21,0,20,5,0,0,3,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Zorghuis Dr. W. Drees,0518::SB301,2517 PM,2393,1090,10,3,0,0,0,1003,100,0,0,0,0,0,1103,193,30,67,111,165,46,128,34,149,1,2,28,91,0,26,6,8,1,4,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau OBS De Klimop,0518::SB303,2562 SK,2694,987,4,6,0,10,0,895,112,0,0,10,0,0,1007,120,47,63,118,58,56,109,45,154,42,13,11,69,4,5,38,6,3,9,17
