contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Roosendaalse Lijst,CDA,SP (Socialistische Partij),VRIJE LIBERALE PARTIJ (V.L.P.),VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Nieuwe Democraten (ND),GROENLINKS,Pleijdooi Voor Cultuur (PVC),ChristenUnie
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau RSC Alliance,1674::SB16,4707 XD,1186,493,3,0,0,0,0,444,52,0,0,0,0,0,496,79,60,51,107,59,17,37,25,42,4,12
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Levensschool,1674::SB17,4707 TZ,1362,554,4,2,0,0,0,495,64,0,0,0,0,0,559,123,75,45,68,60,25,41,24,48,7,38
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Saffier,1674::SB18,4706 HM,1435,609,3,6,0,0,0,550,68,0,0,0,0,0,618,99,74,70,92,81,42,41,19,74,4,13
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Saffier,1674::SB19,4706 HM,1508,671,5,2,0,0,0,606,73,0,0,1,0,1,679,94,86,58,127,107,52,46,14,65,7,15
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Bloemschevaert,1674::SB20,4706 GH,1484,713,0,6,0,0,0,666,53,0,0,0,0,0,719,116,103,79,118,77,40,32,36,90,6,16
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Klimroos,1674::SB21,4706 LK,1322,663,3,5,0,0,0,584,87,0,0,0,0,0,671,129,82,51,104,113,50,37,19,54,3,21
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Klimroos,1674::SB22,4706 LK,1946,692,0,4,0,0,0,615,81,0,0,0,0,0,696,120,75,46,127,128,52,42,9,68,6,19
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Nisipa,1674::SB23,4709 AN,1394,812,1,2,0,0,0,718,97,0,0,0,0,0,815,370,159,25,60,117,14,14,4,34,5,10
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Vondelschool,1674::SB24,4707 AG,1577,740,4,2,0,0,0,681,65,0,0,0,0,0,746,146,84,86,150,68,41,43,29,60,3,30
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Heiberg,1674::SB25,4708 EC,1876,669,4,3,0,0,0,617,59,0,0,0,0,0,676,165,66,60,148,69,48,17,17,53,3,23
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Bergspil,1674::SB26,4708 HK,1415,1084,5,9,0,0,0,1001,97,0,0,0,0,0,1098,228,136,82,249,154,67,50,12,78,6,22
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Bergspil,1674::SB27,4708 HK,1339,565,3,4,0,0,0,507,65,0,0,0,0,0,572,92,76,35,129,85,43,28,16,49,5,7
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Wingerd,1674::SB28,4708 KC,1264,683,8,1,0,0,0,618,75,1,0,1,0,0,693,159,86,30,122,135,47,40,11,33,6,14
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Wingerd,1674::SB29,4708 KC,1228,675,0,0,1,0,0,609,65,0,1,0,0,0,674,143,92,28,133,117,62,32,8,43,2,15
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Lantaarn,1674::SB30,4706 LN,1438,840,9,5,0,0,0,767,88,0,0,0,0,0,855,184,122,51,126,157,51,41,14,66,6,22
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Werkplein Hart van West-Brabant,1674::SB31,4701 GZ,1722,554,4,3,0,0,0,511,50,0,0,0,0,0,561,81,24,74,88,75,43,41,22,81,5,20
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Huis van de Westrand,1674::SB32,4703 HX,1387,640,3,9,0,1,0,584,67,0,1,0,0,0,651,104,37,96,119,51,43,62,47,57,4,20
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Wieken,1674::SB33,4707 CC,1521,726,6,3,0,0,0,649,86,0,0,0,0,0,735,160,64,80,112,53,35,61,40,86,12,23
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Levensschool,1674::SB34,4707 TZ,1198,573,4,6,0,0,0,526,57,0,0,0,0,0,583,106,88,66,67,58,41,38,24,39,5,41
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Heerma State,1674::SB35,4708 AW,1194,738,0,4,0,0,0,646,96,0,0,0,0,0,742,164,77,44,126,187,37,21,30,35,2,15
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Weihoek,1674::SB36,4708 AV,1276,521,1,0,0,0,0,472,50,0,0,0,0,0,522,120,71,46,84,88,25,27,19,29,3,9
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau NS Station,1674::SB37,4702 VX,593,628,3,2,0,0,0,588,45,0,0,0,0,0,633,98,56,36,59,114,59,46,27,116,3,14
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Leonardushof,1674::SB101,4724 BJ,1210,684,3,2,0,1,0,619,69,0,1,0,0,0,688,273,88,45,112,69,34,17,3,40,1,2
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Geerhoek,1674::SB102,4724 EE,1386,768,0,2,0,0,0,694,76,0,0,0,0,0,770,301,79,36,119,101,49,19,12,41,2,9
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Geerhoek,1674::SB103,4724 EE,1223,598,1,4,0,0,0,541,62,0,0,0,0,0,603,245,66,34,90,55,42,14,9,31,1,11
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau ParelMoer,1674::SB104,4727 SJ,602,262,0,2,0,0,0,235,29,0,0,0,0,0,264,61,43,24,28,55,11,9,3,18,2,8
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Schalm,1674::SB105,4726 AH,1393,696,2,2,0,0,0,634,66,0,0,0,0,0,700,166,118,91,80,150,19,21,6,24,4,17
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Spil,1674::SB106,4725 AC,986,540,2,2,0,0,0,478,66,0,0,0,0,0,544,246,116,29,48,49,16,9,3,18,4,2
