contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,GemeenteBelangen,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),PWF Progressief West-Friesland,PW 2010,ChristenUnie,GROENLINKS,BAMM
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Dorpshuis De Torenschouw,0420::SB12,1674 NE,1510,820,6,1,0,0,0,732,95,0,0,0,0,0,827,247,118,85,27,41,51,4,175,58,14
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Gemeentehuis  Medemblik,0420::SB13,1687 CD,1556,1025,4,2,0,1,0,938,92,0,1,0,0,0,1030,281,295,75,137,66,66,6,14,72,13
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Sweelinckhof,0420::SB14,1687 BV,1404,686,11,1,0,1,0,648,49,0,1,0,0,0,697,229,185,36,80,57,39,2,1,49,8
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Sporthal De Dres,0420::SB15,1688 BE,1894,1103,3,2,0,2,0,1020,86,0,2,0,0,0,1106,445,191,50,202,34,118,6,14,33,10
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau De Wildebras,0420::SB17,1685 PN,445,266,2,0,0,0,0,238,30,0,0,0,0,0,268,63,44,5,6,5,128,1,0,12,2
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau De Bloesem,0420::SB18,1687 RA,1821,1148,9,5,0,0,0,1062,100,0,0,0,0,0,1162,261,360,85,162,74,86,5,10,96,9
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Verzorgingshuis Sorghvliet,0420::SB20,1619 XC,1486,835,5,2,0,1,0,779,64,0,0,1,0,0,843,222,134,26,34,46,36,10,141,68,118
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Basisschool De Bangert,0420::SB21,1619 CT,1383,763,1,2,0,1,0,701,66,0,0,1,0,0,767,190,167,23,40,74,52,22,18,92,85
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Idenburgschool,0420::SB22,1619 HB,948,513,0,0,0,0,0,464,49,0,0,0,0,0,513,127,91,9,15,37,26,1,83,62,62
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Basisschool De Piramide,0420::SB23,1619 VC,1491,758,2,0,0,0,0,690,70,0,0,0,0,0,760,155,145,19,31,58,46,6,115,63,120
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Verzorgingshuis St. Jozef,0420::SB25,1693 DC,1484,811,5,5,0,1,0,748,74,0,0,1,0,0,822,210,188,81,58,18,28,163,12,35,18
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau De Dijkwerkers,0420::SB26,1693 KT,1606,829,8,2,0,1,0,774,66,0,0,1,0,0,840,175,160,63,57,30,41,226,4,42,31
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Cafe De Hoek,0420::SB28,1693 AA,1810,945,7,4,0,0,0,878,78,0,0,0,0,0,956,255,181,78,57,34,39,230,13,33,25
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Dorpshuis De Onderdijk,0420::SB29,1693 CZ,1421,748,6,2,0,0,0,690,66,0,0,0,0,0,756,78,91,364,51,16,32,51,17,31,17
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Dorpshuis Zwaagdijk,0420::SB30,1682 NP,938,537,1,1,0,0,0,480,59,0,0,0,0,0,539,39,105,283,15,8,33,29,5,15,5
