contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelang,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,CDA,GROENLINKS,Deventer Belang,ChristenUnie,DeventerNU,DENK,ASP (Atheïstisch Seculiere Partij),Deventer Sociaal,NIEUW-LINKS
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau De Paladijn,0150::SB13,,2122,1044,3,11,0,0,0,954,104,0,0,0,0,0,1058,51,231,85,87,37,221,49,21,16,158,26,37,25
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Speeltuin De Driehoek,0150::SB14,,1936,925,7,1,0,0,0,866,67,0,0,0,0,0,933,53,164,89,91,28,185,72,51,43,85,8,38,18
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Basisschool De Kleine Planeet,0150::SB15,,1166,404,1,7,0,1,0,385,26,0,1,0,0,0,411,43,86,31,61,16,50,41,25,10,18,8,10,5
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Woon- en zorgcentrum De Bloemendal,0150::SB16,,1467,701,5,5,0,0,0,600,111,0,0,0,0,0,711,58,181,55,91,65,71,71,32,19,14,10,27,7
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Thomas Wildey,0150::SB17,,1990,962,5,3,0,0,0,904,66,0,0,0,0,0,970,109,192,76,156,45,110,153,33,22,19,12,25,10
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Wijkcentrum De Schalm,0150::SB18,,1281,706,1,4,0,2,0,673,40,0,0,2,0,0,713,79,158,49,74,40,70,83,46,21,29,13,37,7
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Woonzorgcentrum Ludgerus,0150::SB19,,1988,892,5,9,0,0,0,858,48,0,0,0,0,0,906,78,168,73,107,96,89,122,31,26,41,8,40,13
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Woon- en zorgcentrum Humanitas,0150::SB20,,1454,717,6,3,0,1,0,671,56,0,0,1,0,0,727,75,131,55,64,41,71,70,20,20,119,12,24,15
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau De Kroon,0150::SB21,,1620,613,2,3,0,0,0,579,39,0,0,0,0,0,618,61,125,46,56,32,74,88,34,20,36,7,22,12
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau De Finse Hof,0150::SB22,,1746,747,6,5,0,0,0,705,53,0,0,0,0,0,758,64,148,52,75,22,96,112,32,33,49,9,44,11
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,"Stembureau Grand Café, Sint Jozef Verpleeghuis",0150::SB23,,1331,692,1,1,0,0,0,629,65,0,0,0,0,0,694,55,106,100,129,53,117,55,29,9,7,9,15,8
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Speeltuin Rivierenwijk,0150::SB24,,1594,436,6,0,0,0,0,405,37,0,0,0,0,0,442,9,56,30,30,6,54,38,14,11,161,9,12,6
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Huis van de Wijk,0150::SB25,,1710,812,5,3,0,0,0,722,98,0,0,0,0,0,820,48,81,53,47,20,67,67,30,12,353,11,16,7
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Saxion Hogeschool,0150::SB26,,989,601,0,0,0,1,0,551,49,0,1,0,0,0,600,48,104,107,89,17,122,36,16,15,16,14,13,4
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Buurthuis Wijk 16,0150::SB27,,1157,646,7,2,0,0,0,588,67,0,0,0,0,0,655,57,106,54,80,31,79,148,28,5,41,5,8,4
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau PW Janssen Verpleeghuis,0150::SB28,,1461,733,3,1,0,3,0,687,53,0,0,3,0,0,740,98,99,35,66,36,100,104,59,32,38,11,44,11
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Kunstcircuit Deventer,0150::SB29,,1950,1272,11,4,0,1,0,1178,110,0,0,1,0,0,1288,159,206,111,126,42,143,183,124,60,38,18,47,15
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau SV Colmschate'33,0150::SB30,,1570,657,1,4,0,0,0,608,54,0,0,0,0,0,662,79,111,63,134,53,69,57,35,28,10,3,9,6
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Wijkcentrum De Vijfhoek,0150::SB31,,1582,924,5,0,0,0,0,844,85,0,0,0,0,0,929,113,148,100,162,37,95,90,56,24,52,12,26,9
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Openbare basisschool De Wiz@rd,0150::SB32,,1388,956,3,2,0,3,0,870,88,0,3,0,0,0,958,91,156,132,183,50,120,67,54,46,18,6,20,13
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Gezondheidscentrum Spikvoorde,0150::SB33,,1966,1022,1,2,0,0,0,911,114,0,0,0,0,0,1025,78,162,112,222,44,126,83,58,32,61,8,28,8
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Sam & Pluk,0150::SB34,,877,456,4,0,0,0,0,415,45,0,0,0,0,0,460,38,65,63,83,20,56,36,31,17,37,2,7,1
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Deventer Ziekenhuis,0150::SB35,,0,443,2,0,0,0,0,405,40,0,0,0,0,0,445,79,69,58,64,22,54,42,13,10,11,4,13,4
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau De Vijf-er,0150::SB36,,1117,645,2,0,0,0,0,592,55,0,0,0,0,0,647,74,86,89,173,26,66,38,28,15,36,3,7,4
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Huize Salland,0150::SB37,,1373,798,3,3,0,0,0,740,64,0,0,0,0,0,804,139,109,73,166,79,81,59,33,25,2,4,26,2
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Basisschool Het Roessink,0150::SB38,,1651,784,8,5,0,0,0,726,73,0,0,2,0,0,799,122,129,65,107,40,92,92,44,41,10,11,21,10
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau ICB Wereldwijzer,0150::SB39,,1501,908,0,0,0,0,0,838,70,0,0,0,0,0,908,115,179,63,138,39,100,128,60,35,16,7,16,12
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Gemeenschapshuis De Kuip,0150::SB40,,1298,829,8,1,0,0,0,768,70,0,0,0,0,0,838,133,111,69,111,66,114,97,46,39,11,4,25,3
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Gebouw voetbalvereniging Helios,0150::SB41,,1736,831,2,1,0,1,0,755,78,0,1,0,0,0,833,113,133,90,149,63,70,107,46,30,0,2,22,6
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Bej.centrum 't Dijkhuis,0150::SB42,,1968,1295,5,1,0,0,0,1301,0,0,0,0,0,0,1301,749,76,60,183,106,49,25,21,7,1,1,9,8
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Noaber LOOkaal,0150::SB43,,778,521,0,0,0,0,0,484,37,0,0,0,0,0,521,328,17,22,54,64,17,3,8,2,0,1,5,0
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Cultuurhuus Braakhekke,0150::SB44,,1748,1335,2,0,0,0,0,1252,85,0,0,0,0,0,1337,789,85,52,173,97,57,23,22,10,1,5,7,14
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Zorgcentrum Park Braband,0150::SB45,,1862,1071,0,3,0,0,0,985,90,0,0,1,0,1,1075,242,110,112,203,158,95,69,42,17,4,8,9,2
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Zorgcentrum Sparrenheuvel,0150::SB46,,1790,1226,2,1,0,0,0,1115,114,0,0,0,0,0,1229,357,166,102,191,77,133,87,47,36,4,7,13,6
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Kulturhus De Spil,0150::SB47,,1147,800,6,0,0,0,0,800,6,0,0,0,0,0,806,461,32,29,40,140,50,22,8,11,1,1,4,1
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Hof van Salland,0150::SB48,,1796,1364,5,2,0,0,0,1271,100,0,0,0,0,0,1371,373,137,167,247,108,175,69,34,18,2,4,27,3
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Restaurant Nunu,0150::SB49,,412,295,0,0,0,0,0,295,0,0,0,0,0,0,295,127,14,9,35,39,26,37,6,0,0,1,1,0
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Ons Centrum,0150::SB50,,388,241,1,0,0,2,0,225,15,0,2,0,0,0,240,112,22,4,23,50,11,6,10,0,0,1,2,0
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Brasserie De Lindeboom,0150::SB51,,2018,1479,1,2,0,0,0,1356,126,0,0,0,0,0,1482,330,164,150,236,156,161,138,52,25,35,7,21,4
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau De Ulebelt,0150::SB52,,1553,682,4,2,0,0,0,627,61,0,0,0,0,0,688,105,109,77,83,39,93,52,47,21,25,3,21,7
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Station Deventer,0150::SB53,,0,699,8,3,0,0,0,678,32,0,0,0,0,0,710,28,91,142,73,14,195,23,35,24,20,18,27,9
