contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal Belang Lingewaard,SP (Socialistische Partij),CDA,B06,lingewaard.NU,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Ontmoetingscentrum Doornenburg,1705::SB20,6686 BS,1254,662,5,2,0,0,0,614,55,0,0,0,0,0,669,168,73,30,75,24,209,26,11,46
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Cultureel centrum de Kinkel 2,1705::SB21,6681 AK,1488,817,6,5,0,0,0,734,94,0,0,0,0,0,828,66,126,107,35,42,200,88,60,93
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Dorpshuis de Tichel,1705::SB23,6685 BC,1614,701,2,2,0,0,0,640,65,0,0,0,0,0,705,58,167,114,74,39,134,43,22,50
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Ontmoetingscentrum Doornenburg 2,1705::SB25,6686 BS,964,693,2,2,0,0,0,615,82,0,0,0,0,0,697,146,76,32,53,21,300,19,16,30
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,"Stembureau OBC Bemmel, locatie Essenpas",1705::SB26,6681 CX,1302,682,1,1,0,0,0,603,81,0,0,0,0,0,684,43,82,56,35,52,204,76,35,99
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Café / Zaal De Klok,1705::SB29,6691 BK,2387,1203,11,3,0,0,0,1105,112,0,0,0,0,0,1217,227,209,98,114,58,307,42,64,84
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Hof van Breunissen,1705::SB36,6691 CX,1629,895,1,2,0,0,0,817,81,0,0,0,0,0,898,144,157,122,89,66,175,25,58,59
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Medisch Centrum Loovelden,1705::SB40,6852 RL,2948,1267,6,9,0,0,0,1149,133,0,0,0,0,0,1282,144,137,121,131,127,282,105,52,168
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Theaterkerk Bemmel,1705::SB41,6681 AE,2323,1156,9,3,0,0,0,1049,119,0,0,0,0,0,1168,74,260,128,61,52,222,115,93,151
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Brandweer Gendt,1705::SB42,6691 BA,1673,982,1,2,0,0,0,894,91,0,0,0,0,0,985,167,161,148,88,48,218,42,32,78
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Het Wapen,1705::SB43,6681 BP,1776,688,6,2,0,0,0,645,51,0,0,0,0,0,696,69,149,83,15,42,129,58,39,104
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Dorpshuis Angeren 2,1705::SB44,6687 BP,979,738,5,7,0,0,0,666,85,0,0,1,0,0,751,149,89,145,48,45,137,41,21,63
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Gemeentehuis,1705::SB45,,0,55,0,0,0,0,0,47,8,0,0,0,0,0,55,1,1,4,5,8,18,2,6,10
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Mobiele stembus,1705::SB46,,0,221,0,1,0,0,0,194,28,0,0,0,0,0,222,34,36,15,18,27,58,6,2,25
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau IKC 't Holthuus,1705::SB61,6852 EG,851,299,1,1,0,0,0,269,32,0,0,0,0,0,301,22,33,17,40,25,21,23,27,91
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Winkelcentrum Zilverkamp,1705::SB62,6852 EE,0,374,3,3,0,0,0,348,32,0,0,0,0,0,380,37,58,26,56,46,49,33,24,45
