contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),BURGERBELANGEN AMSTELVEEN,Partij van de Arbeid (P.v.d.A.),CDA,Ouderen Combinatie Amstelveen (OCA),ChristenUnie,Actief voor Amstelveen
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Schooltuinen Bankrasflora,0362::SB20,1183 BA,2330,928,3,9,0,0,0,858,82,0,0,0,0,0,940,190,176,177,74,91,73,38,27,41,41
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Wijkcentrum Alleman,0362::SB21,1183 JM,1623,1470,9,7,0,0,0,1369,122,5,0,5,0,0,1491,376,228,195,116,138,114,109,79,51,64
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Zorgcentrum Klaasje Zevenster,0362::SB22,1183 NK,1922,932,5,4,0,0,0,854,87,0,0,0,0,0,941,192,140,124,98,95,76,65,37,41,64
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau De Wending,0362::SB23,1187 SM,1744,726,2,1,0,0,0,624,105,0,0,0,0,0,729,258,125,70,33,91,26,53,13,26,31
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Het Zonnehuis Amstelveen,0362::SB24,1186 AA,2211,905,7,2,0,0,0,832,82,0,0,0,0,0,914,204,124,87,91,107,75,77,66,26,48
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Wijkcentrum de Bolder,0362::SB25,1186 EP,1643,1434,7,13,0,0,0,1334,120,0,0,0,0,0,1454,344,191,143,143,202,108,108,65,53,77
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Serviceflat De Seine,0362::SB26,1186 NR,1959,917,3,5,0,1,0,924,0,0,1,0,0,0,924,220,99,105,97,126,63,72,58,38,39
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Gebouw Goedereede,0362::SB27,1186 TJ,1819,1076,5,3,0,0,0,980,104,0,0,0,0,0,1084,189,164,123,107,167,75,90,31,43,87
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Vereniging Historisch Amstelveen,0362::SB28,1188 BZ,1573,738,7,4,0,0,0,688,62,1,0,1,0,0,750,131,110,92,68,98,76,27,17,49,70
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Ontmoetingscentrum De Meent,0362::SB29,1188 AM,1441,1089,3,2,0,0,0,983,111,0,0,0,0,0,1094,190,174,158,114,140,92,48,45,39,89
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Wijksteunpunt Middenhof 1,0362::SB30,1188 KD,1887,977,5,6,0,0,0,891,97,0,0,0,0,0,988,202,154,104,81,126,73,80,51,44,62
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Verpleeghuis Het Zonnehuis Westwijk,0362::SB32,1187 EL,1700,1292,2,3,0,0,0,1164,134,1,0,1,0,0,1298,384,240,122,61,173,62,94,30,39,87
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Wijksteunpunt Dignahof,0362::SB33,1187 LN,1284,667,4,3,0,0,0,607,67,0,0,0,0,0,674,190,88,41,46,87,57,58,35,28,37
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau o.b.s. De Westwijzer,0362::SB34,1187 ZS,956,597,2,2,0,0,0,545,56,0,0,0,0,0,601,171,85,65,42,58,48,33,23,26,46
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Boekhandel Libris Venstra,0362::SB35,1181 ZM,1465,1237,7,8,0,0,0,1112,140,0,0,0,0,0,1252,341,241,173,99,133,76,66,38,33,37
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Kruiskerk,0362::SB36,1181 RB,2005,1407,0,3,0,1,0,1288,121,0,1,0,0,0,1409,449,341,200,40,120,83,103,16,34,21
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Brede School Karelrijk,0362::SB37,1187 DA,1578,779,4,4,0,0,0,686,101,0,0,0,0,0,787,310,154,62,24,64,46,54,9,18,38
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Gymzaal Oostelijk Halfrond,0362::SB38,1183 EZ,1506,703,0,3,0,0,0,634,72,0,0,0,0,0,706,174,114,121,59,58,62,31,11,25,48
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Wijkcentrum Westend 1,0362::SB41,1187 LS,1380,938,4,2,0,0,0,818,126,0,0,0,0,0,944,262,157,104,55,123,38,65,35,38,61
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Gymzaal Montessorischool,0362::SB42,1181 NC,1660,763,3,3,0,0,0,695,74,0,0,0,0,0,769,164,132,129,79,65,62,56,29,25,22
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau BSO de korfkidz,0362::SB43,1182 GW,1450,863,0,2,0,1,0,755,109,0,1,0,0,0,864,212,180,149,41,102,60,40,27,27,25
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Space ToBe,0362::SB44,1186 ZV,1682,668,0,2,0,0,0,604,66,0,0,0,0,0,670,173,117,81,34,100,57,33,20,12,41
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau MBO College Amstelland,0362::SB45,1185 ZC,1304,60,1,0,0,0,0,57,4,0,0,0,0,0,61,13,10,5,5,7,6,1,3,6,4
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau OBS Piet Hein school,0362::SB46,1181 XW,1243,819,4,2,0,0,0,729,97,1,0,1,0,0,826,264,178,126,24,72,60,38,13,23,21
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Tulip Gakuen school,0362::SB47,1187 JD,1451,387,0,1,0,0,0,356,32,0,0,0,0,0,388,122,42,46,20,49,26,27,10,9,36
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Roelof Venema school,0362::SB48,1181 ER,1157,709,3,0,0,0,0,617,96,1,0,1,0,0,713,183,186,111,33,57,42,50,5,18,24
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Wijkcentrum Westend 2,0362::SB49,1187 LS,1379,971,2,3,0,1,0,880,95,0,1,0,0,0,975,246,168,112,68,116,62,82,38,21,58
